"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544600","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Glaziou AFM",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Rio Trinidade and Rio Gassu",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544600","NL-L0544600","2000",NA,NA,"Magnoliopsidae","07","01","isotype","96238642",NA,NA,NA,NA
"12","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857930","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Bornmüller",NA,"1906","10","10","Southern America","Brazil",NA,NA,"Rio Grande do Sul, Neu-Würthemberg, Arroio Alegre.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857930","NL-L1857930",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857931","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Osten C; Rojas",NA,"1915","09","09","Southern America","Argentina",NA,NA,"Misiones, Yguazu.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857931","NL-L1857931",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857932","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Osten C; Rojas",NA,"1915","09","10","Southern America","Argentina",NA,NA,"Misiones, Yguazu.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857932","NL-L1857932",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857933","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Regnell AF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Prov. Minas Geraes, Ribeirao da Caquiero.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857933","NL-L1857933",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857934","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Ule EHG",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Santha Catharina. Rio Capivare, in Serra Geral.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857934","NL-L1857934",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857935","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Rambo B",NA,"1947","01","01","Southern America","Brazil",NA,NA,"Rio Grande do Sul, Aparados da Serra (Bom Jezus), fasenda Bernardo Velho.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857935","NL-L1857935",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857936","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Gaudichaud-Beaupré C",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Prov. Sao Paulo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857936","NL-L1857936",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857937","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Reitz R; Klein RM",NA,"1959","02","20","Southern America","Brazil",NA,NA,"Santa Catarina, Rio do Oratório, Bom Jardim, S. Joaquim. No rio.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857937","NL-L1857937",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857938","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Reitz R",NA,"1957","01","16","Southern America","Brazil",NA,NA,"Santa Catarina, Mun. São Joaquim: Bed of Rio Taimbezinho, 1 km east of Bom Jardim da Serra (Cambajuva).",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857938","NL-L1857938",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857939","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Reitz R; Sufridini O",NA,"1956","12","29","Southern America","Brazil",NA,NA,"Santa Catarina, Mun. Dionisio Cerqueira: 2 km west of Rio Capetinga on the road to Dionisio Cerqueira.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857939","NL-L1857939",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857940","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Reitz R",NA,"1957","01","03","Southern America","Brazil",NA,NA,"Santa Catarina, Mun. Joaçaba: bed of the rio Irani, 23 km east of Ponte Serrada.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857940","NL-L1857940",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857941","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Reitz R",NA,"1957","01","03","Southern America","Brazil",NA,NA,"Santa Catarina, Mun. Joaçaba: bed of the rio Irani, 23 km east of Ponte Serrada.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857941","NL-L1857941",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857942","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Lindman CAM",NA,"1892","12","13","Southern America","Brazil",NA,NA,"Serra dos Tapes, Cascada de Hermenogilda.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857942","NL-L1857942",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857943","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Schenck",NA,"1886","10","09","Southern America","Brazil",NA,NA,"Prov. Santha Catharina. Rio Itayahy, near Blumenau.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857943 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857943","NL-L1857943",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857944","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Lindman CAM",NA,"1893","03","11","Southern America","Brazil",NA,NA,"Rio Grande so Sul, Silveira Marius*.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857944","NL-L1857944",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857945","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Reitz R",NA,"1958","12","30","Southern America","Brazil",NA,NA,"Santa Catarina - Alto Matador, Rio do Sul.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857945","NL-L1857945",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857946","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Ule EHG",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Santha Catharina. Rio Tubarao, near Pedras Grandes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857946","NL-L1857946",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857947","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Mosén CWH",NA,"1873","10","05","Southern America","Brazil",NA,NA,"Minas Geraes, Caldas, Rio Bugres.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857947","NL-L1857947",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857948","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Düsen P",NA,"1916","02","28","Southern America","Brazil",NA,NA,"Prov. Santha Catharina, Rio Capinzal, near Sta. Catharina.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857948","NL-L1857948",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857949","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Glaziou AFM",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Prov. Goyaz, Rio Carumba.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857949","NL-L1857949",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857950","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Reitz R",NA,"1958","12","30","Southern America","Brazil",NA,NA,"Santa Catarina - Alto Matador, Rio do Sul.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857950","NL-L1857950",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857951","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Dusén PKH",NA,"1916","02","28","Southern America","Brazil","Santa Catarina",NA,"Paraná, STa. Catharina, Rio Capinsal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857951 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857951","NL-L1857951",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857952","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Dusén PKH",NA,"1914","01","01","Southern America","Brazil",NA,NA,"Parana: Sta. Catharina.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857952","NL-L1857952",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857953","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Reitz R",NA,"1956","12","03","Southern America","Brazil",NA,NA,"Rio Grande do Sul, Mun. Vacaria: Pinheiral, ravine south of Rio Pelotas by Estrada de Rodagem Federal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857953","NL-L1857953",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857954","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Klein PR; Gevieski A",NA,"1956","11","13","Southern America","Brazil",NA,NA,"Santa Catarina, Mun Ibirama: Along Rio Itajai do Oeste above Ibirama.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857954 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857954","NL-L1857954",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857955","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Smith LB; Reitz R; Pereira DF",NA,"1956","12","31","Southern America","Brazil",NA,NA,"Santa Catarina, Mun. Dionisio Cerqueira: Zedge* in Rio P., by Rio Peperí-guaçu, 15 km south of Dionísio Cerqueira.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857955","NL-L1857955",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.4176553","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Krapovickas A",NA,"1994","10","18","Southern America","Paraguay","Cordillera",NA,"Depto, Cordillera. Salto Piraretá.","-56.916667","-25.5",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4176553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4176553","NL-L4176553",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-56.916667","-25.5",NA,NA
"39","2020-02-08 09:56:43-03","NBC","NL-BOTANY","U.1518100","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Rodriguez FM",NA,"1913","04","06","Southern America","Argentina","Misiones",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1518100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1518100","NL-U1518100","2000",NA,NA,"Magnoliopsidae","07","01",NA,"U 0084183",NA,NA,NA,NA
"40","2020-02-08 09:56:43-03","NBC","NL-BOTANY","U.1518101","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Dusén PKH",NA,"1916","02","28","Southern America","Brazil","Santa Catarina",NA,"Paraná, STa. Catharina, Rio Capinsal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1518101 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1518101","NL-U1518101",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"U 0081710",NA,NA,NA,NA
"41","2020-02-08 09:56:43-03","NBC","NL-BOTANY","U.1518102","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Dusén PKH",NA,"1916","02","28","Southern America","Brazil","Santa Catarina",NA,"Paraná, STa. Catharina, Rio Capinsal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1518102 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1518102","NL-U1518102",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"U 0081711",NA,NA,NA,NA
"42","2020-02-08 09:56:43-03","NBC","NL-BOTANY","U.1518103","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Dusén PKH",NA,"1916","02","28","Southern America","Brazil","Santa Catarina",NA,"Paraná, STa. Catharina, Rio Capinsal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1518103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1518103","NL-U1518103",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"U 0081712",NA,NA,NA,NA
"43","2020-02-08 09:56:43-03","NBC","NL-BOTANY","U.1518104","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.",NA,"Dusén PKH",NA,"1916","02","28","Southern America","Brazil","Santa Catarina",NA,"Paraná, STa. Catharina, Rio Capinsal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1518104 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1518104","NL-U1518104",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"U 0081713",NA,NA,NA,NA
