"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","county","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","minimumElevationInMeters","monthIdentified","dayIdentified","maximumElevationInMeters"
"19","2008-05-27 22:02:00-03","MO","MOBOT","407359","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","D. Faber-Langendoen","Donald Faber-Langendoen|Enrique Rentería A.","Faber-Langendoen 467","1987","5","4","South America","Colombia","Valle del Cauca",NA,NA,NA,NA,NA,"Bajo Calima Concession. Ca 16 km NW of Buenaventura, at end of Gasolina Rd, Juanchaco area, BV-82. Wet tropical forest on 20-45º slopes, yellow clay on alluvial substrate.","-77.16666","3.83333",NA,NA,"Buenaventura",NA,NA,NA,"3","87-8","50.00000000",NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","409411","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","T. Pennington (K)","Donald Faber-Langendoen|Enrique Rentería A.","Faber-Langendoen 566","1987","5","18","South America","Colombia","Valle del Cauca",NA,NA,NA,NA,NA,"Bajo Calima Concession. Ca 16 km NW of Buenaventura, at end of Gasolina Rd, Juanchaco area, BV-82. Wet tropical forest.","-77.16666","3.83333",NA,NA,"Buenaventura",NA,NA,NA,"2","87-16","50.00000000",NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","3376674","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"Douglas C. Daly","Daly 4406","1986","11","23","South America","Brazil","São Paulo",NA,NA,NA,NA,NA,"Estrada Bomfim , trail beyond road, 06 km S of town center. Lwo foerst on white sand, undulating terrain. Discontinous canopy 15 m. with emergents to 35 m. Relatively few trees more than 10 cm DBh. ALyer of Litter and humus.","-68.95","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-08-31 08:54:28-03","INPA","INPA","228367","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","Carvalho, TCR de","Silveira, M","1411","1996","11","15","Southern America","Brasil","Acre",NA,NA,"INPA0228367","INPA0228367 INPA0228367_e INPA0228367_e1","2016","Lago Novo., Rio Purus, colocação Lago Novo, próximo ao roçado.","-69.2596969604492","-8.83889007568359",NA,NA,"Manoel Urbano","223192","auto",NA,NA,NA,NA,"09","22",NA
"23","2020-08-31 08:54:28-03","INPA","INPA","158906","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","Pennington, TD","Fróes, RL","390","1941","11","24","Southern America","Brasil","Amazonas",NA,NA,"INPA0158906","INPA0158906 INPA0158906_e INPA0158906_e1","1988","Cucuí, Cucui; Ca-te Espera","-66.85","1.2","-66.85","1.2","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-08-31 08:54:28-03","INPA","INPA","36444","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","Carvalho, TCR de","Silva, MF da","353","1972","07","10","Southern America","Brasil","Amazonas",NA,NA,"INPA0036444","INPA0036444 INPA0036444_e INPA0036444_e1 INPA0036444_e2","2016","BR 319, Lago do Castanho, Estrada Manaus-Porto Velho, Rio Castanho, margem direita, estrada para o Careiro.","-60.36","-3.75","-60.36","-3.75",NA,NA,NA,NA,NA,NA,NA,"09","14",NA
"25","2020-08-31 08:54:28-03","INPA","INPA","153186","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","Carvalho, TCR de","Ferreira, CAC","8587A","1986","11","01","Southern America","Brasil","Amazonas",NA,NA,"INPA0153186","INPA0153186 INPA0153186_e","2016","Estrada para Bonfim, Alto Rio Solimões, platô ao sul da cidade, estrada para a localização Bom Fim, aproximadamente a 5 km da matriz, sub bosque do Inventário Fitossiológico parcelas 06, 08, 18, 22.","-68.8724975585938","-3.37832999229431",NA,NA,"São Paulo de Olivença","362329","auto",NA,NA,NA,NA,"09","14",NA
"26","2020-09-12 05:00:02-03","US","US","2622269","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","Pennington, T. D., (K)","J. A. Steyermark & G. S. Bunting","102925","1970","4","22","South America - Neotropics","Venezuela","Amazonas",NA,NA,"US00838192","US00838192_01",NA,"Yavita, 7-9 km toward Pimichín","-67.41","2.91",NA,NA,"Casiquiare",NA,NA,"Dicotyledonae","1",NA,"125",NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"R. Fróes","390","1941","11","24","South America - Neotropics","Brazil","Amazonas",NA,NA,NA,NA,NA,"Basin of Rio Negro. Mun Sao Gabriel; Cucui; Ca-te Espera",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","3327423","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","Pennington, T. D., (K)","O. Huber & S. S. Tillett","6388","1982","5","30","South America - Neotropics","Venezuela","Amazonas",NA,NA,"US00838193",NA,NA,"Río Puruname, afluente derecho (oriental) del Río Orinoco, ca 30-35 km desde la boca","-66.33","3.4",NA,NA,"Atabapo",NA,NA,"Dicotyledonae","1",NA,"100",NA,NA,"150"
"29","2020-09-12 05:00:02-03","US","US","1909446","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","Pennington, T. D., (K)","Ll. Williams","14570","1942","3","2","South America - Neotropics","Venezuela","Amazonas",NA,NA,"US00838190",NA,NA,"San Carlos de Río Negro","-67.06","1.91",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,"100",NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","2622270","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"J. A. Steyermark & G. S. Bunting","102925","1970","4","22","South America - Neotropics","Venezuela","Amazonas",NA,NA,"US00838191","US00838191_01",NA,"Territorio Federal Amazonas: Selva alta pluvial, a 7-9 Km. de Yavita hacia Pimichín.","-67.42","2.92",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,"125",NA,NA,NA
