"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","day","yearIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","order","phylum","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"11","2020-08-20 20:38:33-03","UFSC","FLOR","41690","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Falkenberg, D.B.","Paratypus","Falkenberg, D.B.","9797","1997","03",NA,"Brasil","Santa Catarina","Praia Grande","Serra do Faxinal, SC 450, entre Praia Grande e Cambará do Sul, a ca. 10,8 Km acima da base da serra, a 0,25 Km acima da sede do DER e a 1,4 km abaixo do topo.","800","800","arbusto rupícula, corola creme-esbranquiçada, estames creme, 1,2m altura. Folhas discolores. Caule principal ramificando-se em 3 alturas, com bifurcação ou trifurcações. Apenas uma #?##?#adulta#?##?# e duas jovens (0,4). Slides. Com 1,5 cm de","FLOR0041690",NA,"26","1997","-49.9502983093262","-29.1966991424561","21549",NA,"auto","Dipsacales",NA,NA,NA,NA,NA
"12","2021-02-08 12:39:12-03","UFRGS","ICN","167293","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Grings, M; Schneider, AA",NA,"Grings, M; Seger, GDS; Bergamin, RS","1191","2009","07","América do Sul","Brasil","RS","Cambará do Sul","Serra do Faxinal",NA,NA,"subarbusto com flores de coloração creme; em borda de perau","ICN00032418",NA,"12",NA,"-50.1446990966797","-29.0478000640869","30776",NA,"auto",NA,"Dicotyledon",NA,NA,NA,NA
"13","2021-02-08 12:39:12-03","UFRGS","ICN","194596","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Rabuske, C",NA,"Rabuske, C; Alff, CC; Frizzo, R; Scopel, I","269","2017","08","América do Sul","Brasil","RS","Morrinhos do Sul","Morro da Tajuva","584","584","Espécie Ameaçada de Extinção (VU) no RS.; Arbusto de ca. 1m de alt. Flores passadas e frutos. 5 indiv. no ponto.; Em beira de trilha para o topo do morro, no paredão rochoso, entre os arbustos.","ICN00032420",NA,"17","2017","-50.004444","-29.395556",NA,NA,NA,NA,"Dicotyledon","08","17","-50.004444","-29.395556"
"14","2021-02-08 12:39:12-03","UFRGS","ICN","194597","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Rabuske, C",NA,"Rabuske, C; Alff, CC; Frizzo, R; Van Nouhuys, IS","270","2017","08","América do Sul","Brasil","RS","Morrinhos do Sul","Morro da Tajuva","497","497","Espécie Ameaçada de Extinção (VU) no RS.; Arbusto, ca. 1m alt., flores pistiladas e frutos imaturos.; Beira de estrada de acesso para trilha do morro, no barranco.","ICN00032417",NA,"17","2017","-49.993056","-29.394444",NA,NA,NA,NA,"Dicotyledon","08","17","-49.993056","-29.394444"
"15","2021-02-08 12:39:12-03","UFRGS","ICN","123672","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,NA,"Sobral, M","9058",NA,NA,"América do Sul","Brasil","RS","Morrinhos do Sul","Serra da Tajuva",NA,NA,"Espécie ameaçada de extinção (Em perigo).; Arbusto 2m; flores creme.; em campo rupestre ao longo da trilha da Serra da Tajuva.","ICN00032419",NA,NA,NA,"-49.934700012207","-29.3649997711182","12766",NA,"auto",NA,"Dicotyledon",NA,NA,NA,NA
"16","2021-02-08 12:39:12-03","UFRGS","ICN","192871","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Rabuske, C",NA,"Rabuske, C","202","2017","01","América do Sul","Brasil","RS","Morrinhos do Sul","Serra da Tajuva.",NA,NA,"Muda com aprox. 40cm. de altura. Cheiro característico.; Na beira da trilha para o topo do morro em área sombreada e úmida.","ICN00032422",NA,"20","2017","-49.934700012207","-29.3649997711182","12766",NA,"auto",NA,"Dicotyledon","01","20",NA,NA
"17","2021-02-08 12:39:12-03","UFRGS","ICN","144663","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M","Holotypus","Jarenkow, JA; Sobral, M","2708","1995","08","América do Sul","Brasil","RS","Morrinhos do Sul","Tajuva","500","500","Espécie ameaçada de extinção (Em perigo).; Arbusto com ca. 2,3 m altura, muito ramificado. Indivíduo masculino, flores com corola branco-amarelada e estames amarelos.; Em fruticeto na encosta da Serra Geral, abundante.","ICN00000157","ICN00000157 ICN00000157_1","19",NA,"-49.934700012207","-29.3649997711182","12766",NA,"auto",NA,"Dicotyledon",NA,NA,NA,NA
"18","2021-02-08 12:39:12-03","UFRGS","ICN","127900","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,"Paratypus","Sobral, M; C. Miró.","7945a",NA,NA,"América do Sul","Brasil","RS","Tajuva","Morrinhos do sul","550","550","Espécie ameaçada de extinção (Em perigo).; arbusto 1,5m alt.; planta feminina.; em beira de mata junto a campo, na região intermediária entre formacão de mata atlântica e mata nebular, na subida da trlha Tajuva-Josafá.","ICN00000152",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA
"19","2021-02-08 12:39:12-03","UFRGS","ICN","127901","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,"Paratypus","Sobral, M; C. Miró.","7945b",NA,NA,"América do Sul","Brasil","RS","Tajuva","Morrinhos do Sul","550","550","Espécie ameaçada de extinção (Em perigo).; arbusto 1,5m alt.; flores femininas brancas. Frutos imaturos.; em beira de mata junto a campo, na região intermediária entre formacão de mata atlântica e mata nebular, na subida da trilha Tajuv","ICN00000153","ICN00000153",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA
"20","2021-02-08 12:39:12-03","UFRGS","ICN","127902","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,"Paratypus","Sobral, M","7934a",NA,NA,"América do Sul","Brasil","RS","Tajuva","Morrinhos do Sul","600","600","Espécie ameaçada de extinção (Em perigo).; arbusto 2m alt.; flores femininas de cor creme.; em beira de mata junto a campo, na região intermediária entre formacão de mata atlântica e mata nebular, na subida da trilha Tajuva-josafá.","ICN00000154","ICN00000154",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA
"21","2021-02-08 12:39:12-03","UFRGS","ICN","127903","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,"Paratypus","Sobral, M","7934b","1995","07","América do Sul","Brasil","RS","Tajuva","Morrinhos do Sul","550","550","Espécie ameaçada de extinção (Em perigo).; arbusto 1,5m alt.; flores hermafroditas, de cor creme.; em beira de mata junto a campo na região intermediária entre formacão de mata atlântica e mata nebular, na subida da trilha Tajuva-Josafá","ICN00000156","ICN00000156 ICN00000156_1",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA
"22","2021-02-08 12:39:12-03","UFRGS","ICN","127904","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,"Paratypus","Jarenkow, JA; Sobral, M","2706","1995","08","América do Sul","Brasil","RS","Tajuva","Morrinhos do Sul","600","600","Espécie ameaçada de extinção (Em perigo).; arbusto 2,5m alt.; flores com ovário verde-claro; estilete/estigmas e pétalas branco-amareladas. Indivíduo feminino.; em fruticeto na encosta íngrime da serra Geral.","ICN00000155","ICN00000155","19",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA
"23","2020-08-26 10:48:28-03","MCN-FZBRS","HAS","44355","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,NA,"Schmidt, R.","990","2005","04",NA,"Brasil","Rio Grande do Sul","Maquiné","Reserva Biológica da Serra Geral, Cascata Rio dos Macacos",NA,NA,"Arbusto sobre rocha.","HAS0044355",NA,NA,NA,"-50.2071990966797","-29.6749992370605","28094",NA,"auto",NA,"Magnoliophyta",NA,NA,NA,NA
"24","2019-11-21 10:03:05-03","IBt","SP","299413A","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M","Isotype","Jarenkow, JA; Sobral, M","2708","1995","08",NA,"Brasil","Rio Grande do Sul","Tajuva","Morrinhos do Sul","550","700",NA,"SP003402","SP003402","19","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:03:05-03","IBt","SP","299414A","S","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M","Paratype","Jarenkow, JA; Sobral, M","2706","1995","08",NA,"Brasil","Rio Grande do Sul","Tajuva","Morrinhos do Sul","550","700",NA,"SP003403","SP003403","19","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
