"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","locality","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2020-11-04 11:06:42-03","ESALQ","ESA","64542","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23386.0","2000","02","18",NA,"Brasil","Espírito Santo","Iúna","-41.5358009338379","-20.3458003997803","32198",NA,"Subarbusto; flores róseas","ESA064542","ESA064542","auto","Romão, G.O.","Parque Nacional do Caparaó. Entre o Terreirão e Arrozal. Campo de altitude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:06:42-03","ESALQ","ESA","117433","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Romão, G.O.; Colletta, G.D.; Latvis, M.; Gissi, D.S.","2731.0","2010","04","01",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto, 10-35cm alt.; corola branca com 6angulos rosados; frutos rosados.","ESA117433","ESA117433","auto",NA,"Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira. Campo rupestre","2000","2890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:06:42-03","ESALQ","ESA","106726","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Romão, G.O. ; Dantas, A.P.T.","1475.0","1905","06","28",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto até 25cm alt.; corola rosada com ápice branco. População com poucos indivíduos adensados.","ESA106726","ESA106726","auto","Romão, G.O.","Parque Nacional do Caparaó, trilha Tronqueira-Terreirão, 1970-2400m.s.m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:06:42-03","ESALQ","ESA","106725","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Romão, G.O. ; Dantas, A.P.T.","1474.0","1905","06","28",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto até 25cm alt.; corola rosada com ápice branco; frutos imaturos verdes. População com poucos indivíduos adensados.","ESA106725","ESA106725_1 ESA106725_2","auto","Romão, G.O.","Parque Nacional do Caparaó, trilha Tronqueira-Terreirão, 1970-2400m.s.m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:06:42-03","ESALQ","ESA","106737","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Romão, G.O. ; Dantas, A.P.T.","1486.0","1905","06","28",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto, 20cm alt.; pouco ramificado; frutos imaturos queimados.","ESA106737","ESA106737","auto","Romão, G.O.","Parque Nacional do Caparaó, trilha Tronqueira-Terreirão, 1970-2400m.s.m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:06:42-03","ESALQ","ESA","121882","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Kuntz, J.","625.0","2012","03","01",NA,"Brasil","Espírito Santo","Dores do Rio Preto","-41.8452987670898","-20.6888999938965","23972",NA,"Arbusto ca. 15 cm alt., flores rosa-clara.","ESA121882","ESA121882","auto","Romão, G.O.","Trilha para Pedra Duas Irmãs. Parque Nacional do Caparaó.",NA,NA,NA,NA,"2013","01","21",NA,NA,NA,NA,NA
"17","2020-11-04 11:06:42-03","ESALQ","ESA","62320","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Forster, W. ; Leoni, L.S.","62.0","1999","05","27",NA,"Brasil","Espírito Santo","Espera Feliz",NA,NA,NA,NA,NA,"ESA062320","ESA062320",NA,"Forster, W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:06:42-03","ESALQ","ESA","69874","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Krieger, L. et al.","250.0","1988","09","17",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,NA,"ESA069874","ESA069874","auto","Romão, G.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:06:42-03","ESALQ","ESA","69876","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Krieger, L. ; Marcio, L.","14161.0","1976","07","09",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,NA,"ESA069876","ESA069876","auto","Romão, G.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:06:42-03","ESALQ","ESA","87794","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleum.","Leoni, L.S.","4799.0","2007","01","14",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,NA,"ESA087794",NA,"auto","Romão, G.O.",NA,NA,NA,NA,NA,"2002","05","08",NA,NA,NA,NA,NA
"21","2020-11-04 11:06:42-03","ESALQ","ESA","52260","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Anderson, W.R. et al.","35778.0","1972","02","10",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","-43.3067016601562","-18.465799331665","19014",NA,NA,"ESA052260","ESA052260","auto","Romão, G.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:06:42-03","ESALQ","ESA","35328","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12197.0","1996","09","02",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto; cálice verde; corola rósea.","ESA035328","ESA035328","auto","Romão, G.O.","Parque Nacional do Caparaó. Caminho entre Tronqueira (1970 m.s.m.) e o Pico da Bandeira (2890 m.s.m., 20º25'54.0S, 41º48'27.4W). Campo de altitude.","1970","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:06:42-03","ESALQ","ESA","35330","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12172.0","1996","09","02",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto, até 30 cm alt.; cálice róseo-avermelhado; corola rósea.","ESA035330","ESA035330","auto","Romão, G.O.","Parque Nacional do Caparaó. Caminho entre Tronqueira (1970 m.s.m.) e o Pico da Bandeira (2890 m.s.m., 20º25'54.0S, 41º48'27.4W). Campo de altitude.","1970","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:06:42-03","ESALQ","ESA","64540","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23384.0","2000","02","18",NA,"Brasil","Espírito Santo","Iúna","-41.5358009338379","-20.3458003997803","32198",NA,"Subarbusto, cálice vermelho, corola rósea","ESA064540","ESA064540","auto","Romão, G.O.","Parque Nacional do Caparaó. Entre o Terreirão e Arrozal. Campo de altitude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:06:42-03","ESALQ","ESA","122445","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Flores, T.B.","1316.0","2012","10","20",NA,"Brasil","Espírito Santo","Dores do Rio Preto","-41.8452987670898","-20.6888999938965","23972",NA,"Subarbusto, ca. 30cm. Flores rosa e lilás.","ESA122445",NA,"auto",NA,"Parque Nacional do Caparaó - Estrada para o Pico da Bandeira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:06:42-03","ESALQ","ESA","117426","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Romão, G.O.; Colletta, G.D.; Latvis, M.; Gissi, D.S.","2724.0","2010","04","01",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto, 10-35cm alt.; corola branca com ângulos rosados; frutos rosados.","ESA117426","ESA117426","auto",NA,"Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira. Campo rupestre","2000","2890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:06:42-03","ESALQ","ESA","81083","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Souza, V.C.; Mazine, F.F.; Tsuji, R.","26980.0","2001","08","27",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,NA,"ESA081083","ESA081083","auto","Romão, G.O.","Parque Nacional do Caparaó. Trilha entre o Terreirão e o Pico da Bandeira. Campo de altitude.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:06:42-03","ESALQ","ESA","122809","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Braga, J.M.A.","4664.0","1998","01","02",NA,"Brasil","Minas Gerais","Caparaó","-41.9043998718262","-20.523099899292","15056",NA,NA,"ESA122809","ESA122809","auto","Romão, G.O.","Parque Nacional do Caparó, trilha para o Pico da Bandeira.",NA,NA,NA,NA,"2013","03","04",NA,NA,NA,NA,NA
"29","2020-11-04 11:06:42-03","ESALQ","ESA","121873","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Kuntz, J.","616.0","2012","03","01",NA,"Brasil","Espírito Santo","Dores do Rio Preto","-41.8452987670898","-20.6888999938965","23972",NA,"Arbusto ca. 25 cm alt., flores rosadas, frutos vináceos.","ESA121873","ESA121873","auto","Romão, G.O.","Trilha para Pedra Duas Irmãs. Parque Nacional do Caparaó.",NA,NA,NA,NA,"2013","01","21",NA,NA,NA,NA,NA
"30","2020-11-04 11:06:42-03","ESALQ","ESA","121876","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis",NA,"Kuntz, J.","619.0","2012","03","01",NA,"Brasil","Espírito Santo","Dores do Rio Preto","-41.8452987670898","-20.6888999938965","23972",NA,"Arbusto ca. 15 cm alt., flores rosa-clara.","ESA121876","ESA121876","auto","Romão, G.O.","Trilha para Pedra Duas Irmãs. Parque Nacional do Caparaó.",NA,NA,NA,NA,"2013","01","21",NA,NA,NA,NA,NA
"31","2015-07-02 14:01:40-03","JBP","HPL","5148","S","Plantae",NA,NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleum.","H. Lorenzi","5506","2005","08","24",NA,"Brasil","MG","Alto Caparaó","-41.8683","-20.4333","21645",NA,NA,NA,NA,"auto","R. Tsuji","Coletada na estrada que da acesso ao Parque pelo estado de ES, em campo rupestre de altitude, muito comum.",NA,NA,NA,NA,"2005","08","24",NA,NA,NA,NA,NA
"32","2019-11-21 14:35:07-03","UFJF","CESJ","14161","PreservedSpecimen","Plantae","Angiosperma",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","L. Krieger; M.C. Brügger","CESJ14161","1976","07","09",NA,NA,NA,NA,NA,NA,NA,NA,"Arbustinho, flores róseas, 20cm.","CESJ014161",NA,NA,"G.O. Romão",NA,NA,NA,NA,NA,"2011","10",NA,NA,NA,NA,NA,NA
"33","2019-11-21 14:35:07-03","UFJF","CESJ","22372","PreservedSpecimen","Plantae","Angiosperma",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","R.F. Novelino; et al.","s.n.","1988","03","20","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Sub arbusto ca. 30cm de altura, flores róseas.","CESJ022372","CESJ022372",NA,"L.S. Leoni","Parque Nacional do Caparaó",NA,NA,NA,NA,"2006","12","18",NA,NA,NA,NA,NA
"34","2019-11-21 14:35:07-03","UFJF","CESJ","22602","PreservedSpecimen","Plantae","Angiosperma",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","L. Krieger; et al.","CESJ22602","1988","09","17","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"arbustinho, saxícola. Flores róseas, tubulosas.","CESJ022602",NA,NA,"L.S. Leoni","Parque Nacional do Caparaó",NA,NA,NA,NA,"2006","12","18",NA,NA,NA,NA,NA
"35","2019-11-21 14:35:07-03","UFJF","CESJ","24026","PreservedSpecimen","Plantae","Angiosperma",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","L. Krieger; et al.","CESJ24026","1989","04","30","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Flores róseas","CESJ024026",NA,NA,"L.S. Leoni","Parque Nacional do Caparaó, terreirão","2400","2400",NA,NA,"2006","12","18",NA,NA,NA,NA,NA
"36","2021-03-01 16:29:13-03","UNICAMP","UEC","101256","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Furlan, A; Rossi, L; Hensold, N","CFCR3063","1982","04","05",NA,"Brazil","Minas Gerais","Santo Antônio do Itambé","-43.35","-18.4",NA,NA,"Subarbusto 80cm alt. Flores róseas.","UEC059108","UEC059108",NA,"Romão, GO","Subida ao pico do Itambé.","2050","2050",NA,NA,"2007","07",NA,NA,"-43.35","-18.4",NA,NA
"37","2021-03-01 16:29:13-03","UNICAMP","UEC","176378","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Flores, TB; Kuntz-Galvão, J; Campos, OR","1316","2012","10","20",NA,"Brazil","Espírito Santo","Dores do Rio Preto","-41.837694","-20.489972",NA,NA,"Subarbusto ca. 30 cm. Flores rosa e lilás.","UEC047734","UEC047734",NA,NA,"Parque nacional do Caparaó, estrada para o Pico da Bandeira.",NA,NA,NA,NA,NA,NA,NA,NA,"-41.837694","-20.489972",NA,NA
"38","2021-03-01 16:29:13-03","UNICAMP","UEC","176405","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Romão, GO; Ferreira, JL; Latvis, M; Gissi, DS","2731","2010","04","11",NA,"Brazil","Minas Gerais","Alto Caparaó","-41.8535","-20.420833",NA,NA,"Subarbusto, 10-35cm alt.; corola branca com 6 ângulos rosados; frutos rosados.; Campo rupestre.","UEC074308","UEC074308",NA,"Romão, GO","Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira.","2000","2890",NA,NA,"2010",NA,NA,NA,"-41.8535","-20.420833",NA,NA
"39","2021-03-01 16:29:13-03","UNICAMP","UEC","200386","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Monge, M; Leoni, BS; Scatigna, AV","1221","2012","09","19",NA,"Brazil","Espirito Santo","Iúna","-41.670556","-20.359167",NA,NA,"Erva, ereta, 20 cm de altura, flores róseas.; Floresta Estacional Montana","UEC172143","UEC172143",NA,"Monge, M","Parque Nacional do Caparaó. Vale Encantado. Córrego José Pedro",NA,NA,NA,NA,NA,NA,NA,NA,"-41.670556","-20.359167",NA,NA
"40","2021-03-01 16:29:13-03","UNICAMP","UEC","4195","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Shepherd, GJ; Kirszenzaft, SL","9235","1978","12","31",NA,"Brazil","Minas Gerais","Pico da Bandeira",NA,NA,NA,NA,"Subarbusto até 20cm. Flores brancas/rosas.; Campo rupestre.","UEC110787","UEC110787",NA,"Romão, GO","Estado de Minas Gerais, Parque Nacional de Caparaó; Pico da Bandeira. Altitude de 2000 a 2300m.","2000","2000",NA,NA,"2011","10",NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:29:13-03","UNICAMP","UEC","4196","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5794","1977","09","06",NA,"Brazil","Minas Gerais","Pico da Bandeira",NA,NA,NA,NA,"Subarbusto, 0,20m, semi-prostrado. Flores rosadas.","UEC110786","UEC110786",NA,"Romão, GO","Estado de Minas Gerais. Pico da Bandeira perto de Caparaó. Beira de mata e campo aberto com pedras. Alt: 1800-2000m.","1800","1800",NA,NA,"2002","05","08",NA,NA,NA,NA,NA
"42","2021-03-01 16:29:13-03","UNICAMP","UEC","58514","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Krieger, L; et al.","s.n.","1988","09","17",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"Arbustinho saxícola. Flores róseas, tubulosas.","UEC075339","UEC075339",NA,"Romão, GO","Parque Nacional de Caparaó.",NA,NA,NA,NA,"2005","10",NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:29:13-03","UNICAMP","UEC","173539","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Romão, GO; Ferreira, JL; Latvis, M; Gissi, DS","2724","2010","04","11",NA,"Brazil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto, 10- 35cm, corola branca com ângulos rosados, frutos rosados.; Campo rupestre.","UEC089830","UEC089830","auto","Romão, GO","Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira.&nf;2000- 2890m.&nf;20º25'15''s&nf;41º51'12,6''w.",NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:29:13-03","UNICAMP","UEC","177510","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Romão, GO; Dantas, APT","1474","2006","07","22",NA,"Brazil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto até 25cm alt.; corola rosada com ápice branco; frutos imaturos verdes. População com poucos indivíduos adensados.; Campo de altitude com afloramento rochoso, solo arenoso pedregoso.","UEC002768","UEC002768","auto","Romão, GO","Parque Nacional do Caparaó, trilha Tronqueira-Terreirão.","1970","2400",NA,NA,"2006","07","22",NA,NA,NA,NA,NA
"45","2021-03-01 16:29:13-03","UNICAMP","UEC","177807","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Romão, GO; Dantas, APT","1475","2006","07","22",NA,"Brazil","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"Subarbusto até 25 cm alt.;corola rosada com ápice branco. População com poucos indivíduos adensados.; Campo de altitude com afloramento rochoso, solo arenoso pedregoso.","UEC051003","UEC051003","auto","Romão, GO","Parque Nacional do Caparaó, trilha Tronqueira-Terreirão, 1970-2400 msm.",NA,NA,NA,NA,"2006","07","22",NA,NA,NA,NA,NA
