"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","infraspecificEpithet","county","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","3877618","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa","Griseb.","R. L. Liesner","20801","1986","05","11","South America","Venezuela","Bolívar","summit of Amaruay-tepui. South side east half","-62.22","5.92","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188827' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877618",NA,NA,NA,"Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3877639","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","O. Huber","12267","1987","05","30","South America","Venezuela","Bolívar","Meseta del Guaiquinima. Altiplanicie inclinada hacia el SE, ubicada en el borde SW de la meseta. Herbazal y arbustal tepuyanos, bosquecillos ribereños e islas rrbustivas en las cabeceras W del Río Aberaima","-63.8","5.78","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188880' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877639",NA,NA,"stenoglossa","Heres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3877653","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","128771","1983","02","06","South America","Venezuela","Bolívar","Macizo del Chimantá. Cumbre sur-occidental del Amurí-tepui (Sector W del Acopán-tepui)","-62.12","5.15","2170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188894' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877653",NA,NA,"stenoglossa","Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3877665","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","126467","1982","02","10","South America","Venezuela","Amazonas","Cerro Huachamacari.","-65.33","3.83","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188906' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877665",NA,NA,"stenoglossa","Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3877623","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa","Griseb.","R. L. Liesner","8206","1979","06","27","South America","Venezuela",NA,"Disputed area between Estado Lara and Estado Falcón. Cerro Cerrón (western part)",NA,NA,"1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188832' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877623",NA,NA,NA,NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3877642","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","T. M. Koyama","7350","1967","03","01","South America","Venezuela","Bolívar","Uaipan-tepui, plateau at SE foot of Uaipan peaks, exposed sandstone shield, near the edge of escarpment",NA,NA,"1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188883' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877642",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3877606","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa micrantha","(Baker) Sm.","J. A. Steyermark","94821","1966","03","01","South America","Venezuela","Sucre","Cerro de humo: laderas pendientes de bosque nublado virgen que miran al norte, a lo largo de las cabeceras de uno de los afluentes del Río Santa Isabel, arriba de Sipara, oeste de Santa Isabel, alrededor de 14 kms. al norte del pueblo de Río Grande Arriba, arriba de Boca de Cumana y Punto Siparo, noroeste de Irapa",NA,NA,"1060","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188777' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877606",NA,NA,"micrantha","Peninsula de Paria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3877636","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","B. Maguire","33317","1952","03","09","South America","Venezuela","Bolívar","east of Mesa Grande, Ilu-tepui",NA,NA,"1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188877' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877636",NA,NA,"stenoglossa","Gran Sabana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3877631","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","B. Maguire","37094","1954","01","06","South America","Venezuela","Amazonas","Cerro de la Neblina, Río Yatua, along escarpment west of Cumbre Camp",NA,NA,"1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188872' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877631",NA,NA,"stenoglossa",NA,"1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","3877637","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","B. Maguire","35373","1953","02","21","South America","Venezuela","Amazonas","Serranía Yutaje, Río Manapiare, Cerro Yutaje, woodland along right fork of Cano Yutaje",NA,NA,"1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188878' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877637",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","3877664","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","R. L. Liesner","18336","1985","03","06","South America","Venezuela","Amazonas","8 to 20 m tall, acidic forest on slope of Huachamacari","-65.7","3.65","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188905' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877664",NA,NA,"stenoglossa","Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","3877646","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","M. H. Nee","31151","1985","02","27","South America","Venezuela",NA,"Cerro de la Neblina, Camp XI, 6 km. NNE of Pico Phelps (=Neblina)","-65.9806","0.8611","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188887' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877646",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","3877643","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","92464","1963","12","31","South America","Venezuela","Bolívar","bosque muscoso a lo de las cabeceras de una pequeña quebrada arriba de la ladera escarpada de arenisca",NA,NA,"1395","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188884' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877643",NA,NA,"stenoglossa",NA,"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","3877648","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","132147","1986","05","27","South America","Venezuela","Bolívar","Cerro Amaruay-Tepui (western division of Los Hermanos): summit, small savanna surrounded by dwarf forest","-62.25","5.92","1030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188889' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877648",NA,NA,"stenoglossa","Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","3877626","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","92464","1963","12","31","South America","Venezuela","Bolívar","bosque muscoso a lo de las cabeceras de una pequeña quebrada arriba de la ladera escarpada de arenisca",NA,NA,"1395","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188867' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877626",NA,NA,"stenoglossa",NA,"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","3877604","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa micrantha","(Baker) Sm.","B. K. Holst","3432","1987","03","12","South America","Venezuela","Amazonas","Valley of Río Coro-Coro, W of Serrania de Yutaje. E base of forested mountain 5 km W of river","-66.1583","5.68","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188775' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877604",NA,NA,"micrantha","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","3877657","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","129236","1983","03","30","South America","Venezuela","Amazonas","Cerro Marahuaca: Cumbre, estremo noreste","-65.47","3.83","2580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188898' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877657",NA,NA,"stenoglossa","Atabapo","2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","3877609","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa micrantha","(Baker) Sm.","M. H. Nee","30711","1985","02","02","South America","Venezuela",NA,"Cerro de la Neblina, Camp VII, 5 km. NE of Pico Phelps (=Neblina)","-65.9694","0.8444","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188780' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877609",NA,NA,"micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","3877649","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","O. Huber","9736","1984","11","13","South America","Venezuela","Bolívar","Altiplanicie ubicada en la sección más septentrional del Brazo Occidental del Auyantepui, aprox. 25 Km al SE de Canaima","-62.72","6.1","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188890' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877649",NA,NA,"stenoglossa","Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","3877608","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa micrantha","(Baker) Sm.","J. A. Steyermark","94619","1966","01","24","South America","Venezuela","Falcón","Cerro Santa Ana, ascensión del lado sur desde el pueblo de Santa Ana",NA,NA,"600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188779' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877608",NA,NA,"micrantha",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","03877612","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa","Griseb.","B. Maguire","22822","1944","04","13","South America","Guyana",NA,"Kamuni Creek, Groete Creek, Essequibo River",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188820' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","3877651","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","T. B. Croat","59525","1984","12","01","South America","Venezuela","Amazonas","Cerro Neblina Valle de Titricó; N of Pico Phelps","-65.97","0.93","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188892' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877651",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","3877655","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","O. Huber","8623","1984","01","31","South America","Venezuela","Bolívar","Macizo del Chimantá. Altiplanicie meridional de Abacarpá-tepui, ubicada en el sector SW del Macizo","-62.27","5.17","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188896' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877655",NA,NA,"stenoglossa","Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","3877663","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","R. L. Liesner","18523","1985","03","11","South America","Venezuela","Amazonas","Below Salto Los Monos on tributary of headwaters of Río Iguapo","-65.38","3.58","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188904' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877663",NA,NA,"stenoglossa","Atabapo","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","3877634","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","B. Maguire","32793","1951","12","28","South America","Venezuela","Bolívar","Cumbre camp",NA,NA,"1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188875' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877634",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","3877638","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. J. Wurdack","34247","1953","01","26","South America","Venezuela","Bolívar","on upper cumbre. Northwest cumbres, Churi-tepuí (Muru-tepuí)",NA,NA,"2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188879' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877638",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","3877658","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","B. A. Stein","1548","1984","04","15","South America","Venezuela","Amazonas","Cerro de la Neblina camp 2, Neblina massif, 2.8 km NEof Pico Phelps.","-65.98","0.8278","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188899' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877658",NA,NA,"stenoglossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","3877605","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa micrantha","(Baker) Sm.","R. L. Liesner","16674","1984","03","15","South America","Venezuela","Amazonas","Cerro de La Neblina Camp IV. 15 km NNE of Pico Phelps. North branch of river in canyon","-65.95","0.85","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188776' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877605",NA,NA,"micrantha","Río Negro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","3877602","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa micrantha","(Baker) Sm.","A. H. Gentry","46603","1984","04","13","South America","Venezuela","Amazonas","Cerro Neblina south face of Pico Phelps massif","-66","0.8","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188773' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877602",NA,NA,"micrantha",NA,"1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","3877647","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","24527","1981","02","17","South America","Venezuela","Amazonas","Serranía Sipapo, cumbre, sección septentrional, vegetación tipo sabana a lo largo de un ríachuelo","-67.5","5","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188888' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877647",NA,NA,"stenoglossa","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","3877656","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","spiculosa","Tillandsia spiculosa stenoglossa","(L.B.Sm.) Gouda","J. A. Steyermark","125890","1982","01","31","South America","Venezuela","Amazonas","Cerro Marahuaca - Huha. Cumbre altiplanicie no arbolada, más o menos plana, con piedras expuestas, río abajo","-65.5","3.67","2580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188897' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877656",NA,NA,"stenoglossa","Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
