"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","order","occurrenceRemarks","barcode","scientificNameAuthorship","continentOcean","typeStatus","imagecode","verbatimLongitude","verbatimLatitude"
"11","2020-08-20 20:40:52-03","UFSC","FLOR","51471","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O.","2000",NA,NA,"Nilson, A.D.; Magalhães, R.G.","36","1998","11","17","Brasil","Rio Grande do Sul","Farroupilha","Vale do Rio das Antas - próximo à ponte na RS 448.","-51.3478012084961","-29.2250003814697","19545","auto",NA,NA,"Myrtales","árvore, flor amarela. Isotypus. Região fisiográfica: Encosta superior do Nordeste. Projéto Pró-Guaíba","FLOR0051471","O.L.Bueno et al.",NA,"Isotypus",NA,NA,NA
"12","2021-02-08 12:46:19-03","UFRGS","ICN","119781","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata",NA,NA,NA,NA,"Bueno, O","6469","1998","12","28","Brasil","RS","Nova Roma do Sul ( próximo da",NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,"(Projeto Pró-Guaíba): Árvore com cerca de 7m de altura, numerosa nas margens do Rio das Antas, solo pedregoso com inundações periódicas. Frutos verdes (Paratipo).","ICN00029370","O.L.Bueno, A.D.Nilson & R.G.Magalh.","América do Sul","Paratypus",NA,NA,NA
"13","2021-02-08 12:46:19-03","UFRGS","ICN","123259","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Marodin, SM",NA,NA,NA,"Marodin, SM","s.n.","2004","06","16","Brasil","RS","Pinto Bandeira","reservatório da UHE Monte Claro",NA,NA,NA,NA,"Dicotyledon",NA,NA,"Árvore com folhas coriáceas, nervura principal saliente no lado dorsal.",NA,"O.L.Bueno, A.D.Nilson & R.G.Magalh.","América do Sul",NA,NA,NA,NA
"14","2021-02-08 12:46:19-03","UFRGS","ICN","119780","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O",NA,NA,NA,"Nilson, AD; Magalhães, RG","36","1998","11","17","Brasil","RS","Farroupilha","Vale do Rio das Antas próximo à ponte na RS 448. Encosta superior do Nordeste","-51.3478012084961","-29.2250003814697","19545","auto","Dicotyledon",NA,NA,"(Projeto Pró-Guaíba): Árvore, flor amarela - Tipo (Isotipo)","ICN00029371","O.L.Bueno, A.D.Nilson & R.G.Magalh.","América do Sul","Isotypus",NA,NA,NA
"15","2021-02-08 12:46:19-03","UFRGS","ICN","126866","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Marodin, SM",NA,NA,NA,"Marodin, SM","s.n.","2002","12","19","Brasil","RS","Nova Roma do Sul","próximo da ponte que faz divisa com Farroupilha","-51.4081001281738","-28.9902992248535","9715","auto","Dicotyledon",NA,NA,"Arvoreta, folhas bipinadas, com ápice agudo.",NA,"O.L.Bueno, A.D.Nilson & R.G.Magalh.","América do Sul",NA,NA,NA,NA
"16","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","44632","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata",NA,NA,NA,NA,"Nilson, A.D.","1130","2005","05",NA,"Brasil","Rio Grande do Sul","Bento Gonçalves (Pinto Bandeira)","Escola dos Dinossauros - Pinto Bandeira,","-51.450594","-29.099283",NA,NA,"Magnoliophyta",NA,NA,"sarandi-branco; arvoreta; Arvoreta arbórea. Flores amarelo-creme. Frutos imaturos.","HAS0044632","O.L.Bueno, A.D.Nilson & R.G.Magalh.",NA,NA,NA,"-51,450594","-29,099283"
"17","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","101167","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O.",NA,NA,NA,"Nilson, A.D.","486","1999","05",NA,"Brasil","Rio Grande do Sul","Bento Golçalves","distrito de Pinto Bandeira",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"(Projeto Pró-Guaíba). Árvore com 8m de altura, agrupada e rara no local, com frutos marrom e maduros . Heliófita, apresentando folhas avermelhadas, em baixada úmida.","HAS0101167","O. Bueno et al.",NA,"Paratypus",NA,NA,NA
"18","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","101295","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Nilson, A. D.",NA,NA,NA,"Nilson, A.D.","s.n.","2000","04",NA,"Brasil","Rio Grande do Sul","Pinto Bandeira","Linha 20",NA,NA,NA,NA,"Magnoliophyta",NA,NA,"Arvoreta com 5 metros de altura, rara.","HAS0101295","O.L.Bueno, A.D.Nilson & R.G.Magalhães",NA,NA,NA,NA,NA
"19","2020-12-01 09:01:58-03","MCN-FZBRS","HAS","101126","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O.",NA,NA,NA,"Magalhães, R.G.","543","2000","02",NA,"Brasil","Rio Grande do Sul","Encantado","Linha Pinheirinho. Mata ciliar do Rio Taquari.","-51.869701385498","-29.2360992431641","15400","auto","Magnoliophyta",NA,NA,"(Projeto Pró-Guaíba). Árvore de frutos verdes e antigos.","HAS0101126","O. Bueno et al.",NA,"Paratypus",NA,NA,NA
"20","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","100972","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O.",NA,NA,NA,"Bueno, O.","6656","2000","01",NA,"Brasil","Rio Grande do Sul","Monte Belo do Sul","Linha Santa Bárbara,. Próximo à propriedade do Sr.Mansueto Bacci.","-51.6316986083984","-29.1627998352051","9187","auto","Magnoliophyta",NA,NA,"(Projeto Pró-Guaíba). Arbusto de 7m de altura, com frutos verdes. Pouco numerosa.","HAS0100972","O. Bueno et al.",NA,"Paratypus",NA,NA,NA
"21","2020-12-01 09:01:58-03","MCN-FZBRS","HAS","100368","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O.",NA,NA,NA,"Magalhães, R.G.","175","1999","06",NA,"Brasil","Rio Grande do Sul","Nova Roma do Sul","Cachoeirão divisa com Nova Pádua","-51.4081001281738","-28.9902992248535","9715","auto","Magnoliophyta",NA,NA,"(Projeto Pró-Guaíba).","HAS0100368","O. Bueno et al.",NA,"Paratypus",NA,NA,NA
"22","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","100249","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Bueno, O.",NA,NA,NA,"Bueno, O.","6469","1998","12",NA,"Brasil","Rio Grande do Sul","Nova Roma do Sul","próximo da ponte","-51.4081001281738","-28.9902992248535","9715","auto","Magnoliophyta",NA,NA,"(Projeto Pró-Guaíba). Árvore com cerca de 7m de altura, numerosa nas margens do Rio das Antas, solo pedregoso com inundações periódicas. Frutos verdes.","HAS0100249","O. Bueno et al.",NA,"Paratypus",NA,NA,NA
"23","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","40569","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata",NA,NA,NA,NA,"Silveira, N.","3600","1987","02",NA,"Brasil","Rio Grande do Sul","Veranópolis","Nas proximidades do Rio das Antas,","-51.5494003295898","-28.9361000061035","16670","auto","Magnoliophyta",NA,NA,"sarandi-branco; Ca. de 5m. de altura, frutos imaturos.","HAS0040569","O.L.Bueno, A.D.Nilson & R.G.Magalh.",NA,NA,NA,NA,NA
"24","2020-08-26 10:51:06-03","MCN-FZBRS","HAS","100969","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Nilson, A.D.",NA,NA,NA,"Nilson, A.D.","537","2000","01",NA,"Brasil","Rio Grande do Sul","Veranópolis","Prainha, 2km ponte do Rio das Antas, Camping","-51.5494003295898","-28.9361000061035","16670","auto","Magnoliophyta",NA,NA,"(Projeto Pró-Guaíba). Árvore com 5m de altura, com frutos.","HAS0100969","O. Bueno et al.",NA,"Paratypus",NA,NA,NA
