"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"11","2020-12-20 21:17:56-03","UFV","VIC","011226","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"Drummond","s.n.","1945","06","17",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda Dutra.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Sob capoeirinha, no alto da pedra.1700 m, flor vermelha,cerca de 1 m, pêndula.","VIC011226","VIC011226",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:17:56-03","UFV","VIC","009622","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"Vieira, M.F.; et al.","383","1986","04","05",NA,"Brasil","Minas Gerais","Araponga","PESB, passandopela fazenda do Sr. Eugênio,orla de mata subindo pela trilha no riacho com cachoeira.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Subarbusto de corola róseo avermelhada externamente,internamente nos lobos dacorola a tonalidade é a mesma da parte externa, mas com riscas vermelhas que continuam para dentro do tubo da corola.","VIC009622","VIC009622",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:17:56-03","UFV","VIC","21322","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Valente, G.E.; Costa, C.A.","1696","2005","04","11",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Serra das 3 cabeças totem deitado, alt 1700 m , afloramento rochoso granitóde..","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Planta de 3 m ,ramos flexiveis calice verde e corola vinho.","VIC021322",NA,NA,"16385","auto","2010",NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:17:56-03","UFV","VIC","012484","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"Vieira, M.F.","802","1993","06","10",NA,"Brasil","Minas Gerais","Araponga","PESB, Mata do sérgio,chapada rochedo.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Arbusto de cerca de 2 m, corola grená( rosa forte).","VIC012484","VIC012484",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:37:24-03","UFJF","CESJ","69905","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L.C. Pereira; L. Menini Neto; S.G. Furtado","42","2017","04","21","América do Sul","Brasil","Minas Gerais",NA,"Parque Estadual da Serra do Brigadeiro, trilha do Pico do Grama","-42.801278","-21.222278",NA,NA,NA,"Arbusto terrestre, ca. 30 cm de altura. Folhas opostas, verticiladas. Flores tubulosas, rosa-escuro, com lacinios iguais.","CESJ069905",NA,NA,NA,NA,"2017","04","21","-42.801278","-21.222278",NA,NA
"16","2019-11-21 14:37:24-03","UFJF","CESJ","69914","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L.C. Pereira; L. Menini Neto; S.G. Furtado; R.M. Mello","51","2017","07","14","América do Sul","Brasil","Minas Gerais",NA,"Parque Estadual da Serra do Brigadeiro, na trilha do Pico do Boné","-42.746278","-21.143056",NA,NA,NA,"Arbusto terrestre, ca. 40 cm de altura. Folhas opostas, verticiladas. Flores tubulosas, rosa-escuro, com lacinios iguais.","CESJ069914",NA,NA,NA,NA,"2017","07","14","-42.746278","-21.143056",NA,NA
"17","2019-11-21 14:37:24-03","UFJF","CESJ","59179","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C.Pereira","L. Menini Neto; M.G.C.Nogueira; B.O.Azevedo; T.Fernandes; R.Ottoni","1016","2010","04","23","América do Sul","Brasil","Minas Gerais","Araponga","Pico do Boné, Trilha para o Pico do Boné, a ca. 1700 m.s.m.","-42.5208015441895","-20.6667003631592","1700","1700",NA,"Arbusto, em afloramento, na transição com a floresta nebular. Folhas discolores, flores róseo-avermelhadas, fauce maculada.","CESJ059179",NA,NA,"16385","auto","2012","03","20",NA,NA,NA,NA
"18","2019-11-21 14:37:24-03","UFJF","CESJ","22231","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L. Krieger; et alli","CESJ22231","1989","04","01","América do Sul","Brasil","Minas Gerais","Caparaó","Campos Altos, Minas Gerais - P.N.Caparaó - Campos Altos - 1700 msm.","-41.9043998718262","-20.523099899292",NA,NA,NA,"Subarbusto, caule subterraneo, sem bulbo. Flores salmão.","CESJ022231","CESJ022231",NA,"15056","auto","2017","10",NA,NA,NA,NA,NA
"19","2019-11-21 14:37:24-03","UFJF","CESJ","22298","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L. Krieger; et alli","CESJ22298","1988","05","01","América do Sul","Brasil","Minas Gerais","Caparaó","Serra do Caparaó, Minas Gerais - Serra do Caparaó - Caminho da Tromqueira para o Vale Encantado.","-41.9043998718262","-20.523099899292",NA,NA,NA,"Rupícola(gnaiss) flores vermelho-vinosas.","CESJ022298",NA,NA,"15056","auto","2017","10",NA,NA,NA,NA,NA
"20","2019-11-21 14:37:24-03","UFJF","CESJ","71187","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L.C. Pereira; R.M. Mello; L. Menini Neto; S.G. Furtado; D.E.F. Barbosa","59","2017","07","15","América do Sul","Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro., Coletada na trilha para o Pico do Boné.","-42.746278","-21.143056",NA,NA,NA,"Arbusto terrícola, ca. 50 cm alt. Folhas verde-claras. Flores tubulares, rosa escandente. Anteras e filetes, creme.","CESJ071187",NA,NA,NA,NA,"2017","07","15","-42.746278","-21.143056",NA,NA
"21","2019-11-21 14:37:24-03","UFJF","CESJ","72420","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L.C. Pereira; D. Barbosa","82","2018","11","02","América do Sul","Brasil","Minas Gerais","Descoberto","Serra do Relógio","-43.618611","-21.75",NA,NA,NA,"Arbusto terrícola, ca. 30 cm alt. Folhas verde-claras. Flores tubulosas, rosa escandente. Anteras e filetes, creme.","CESJ072420",NA,NA,NA,NA,"2018","11",NA,"-43.618611","-21.75",NA,NA
"22","2019-11-21 14:37:24-03","UFJF","CESJ","23552","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","L.C. Pereira","L. Krieger","CESJ819","1989","04","01","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Campos Altos",NA,NA,NA,NA,NA,"Subarbusto, caule subterraneo, sem bulbo. Flores salmão.","CESJ023552","CESJ023552",NA,NA,NA,"2017","10",NA,NA,NA,NA,NA
"23","2020-04-27 16:10:08-03","UFES","VIES","21534","S","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Couto, D.R.","1860","2011","02","28",NA,"Brasil","Espírito Santo","Ibitirama","Pedra Roxa.","-41.6671981811523","-20.5414009094238",NA,NA,NA,NA,"VIES021534","VIES021534",NA,"22282","auto","2012","05","09",NA,NA,NA,NA
"24","2020-04-27 16:10:08-03","UFES","VIES","21528","S","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Couto, D.R.","1461","2010","03","28",NA,"Brasil","Espírito Santo","Ibitirama","Pedra Roxa.","-41.6671981811523","-20.5414009094238",NA,NA,NA,NA,"VIES021528","VIES021528",NA,"22282","auto","2012","05","09",NA,NA,NA,NA
"25","2020-12-21 16:29:12-03","MBM","MBM","24650","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Hatschbach, G.; Ahumada, Z.; Ahumada, Z.","31437","1973","02","10","Southern America","Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó","-41.9043998718262","-20.523099899292",NA,NA,NA,"Arbusto, 1m, flores vermelhas. Locais úmidos; encosta do morro; Arbusto 1m, flores vermelhas.; Locais úmidos, encosta do morro.","MBM024650","MBM024650","PARATYPE","15056","auto","2002",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:29:12-03","MBM","MBM","340923","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Leoni, L.S.","2906","1995","04","10","Southern America","Brazil","Minas Garais",NA,"Serra da Grama. Sopé da Pedra do Pato. Ao lado do córrego, junto á Pedra do Navio.",NA,NA,NA,NA,NA,"Planta um tanto decumbente, ramos patentes; folhas opostas; cálida verde; corola um tanto viinosa. Área perturbada; Planta um tanto decumbente; ramos patentes; folhas opostas; cálice verde; corola um tanto vinosa.; Área perturbada a","MBM340923","MBM340923","PARATYPE",NA,NA,"2004","02",NA,NA,NA,NA,NA
"27","2020-12-21 16:29:12-03","MBM","MBM","149572","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55448","1991","06","14","Southern America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Subida ao Pico da Bandeira","-41.8683013916016","-20.4333000183105","1300","1300",NA,"Carnosa, ramosa, 1,50m, flor vermelha. Matinha de altitude; Carnosa, ramosa, 1,50m, flor vermelha.; Matinha de altitude.","MBM149572","MBM149572","PARATYPE","21645","auto","2002",NA,NA,NA,NA,NA,NA
"28","2009-07-14 15:20:00-03","MO","MOBOT","3064026","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","A. Chautems (G)","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 55448","1991","6","14","South America","Brazil","Minas Gerais",NA,"Parque Nacional do Caparaó, subida ao Pico da Bandeira (mun. Alto Caparaó).",NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","51022",NA,"Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"L.S. Leoni","2565","1994","05","26",NA,"Brasil","Minas Gerais","Serra da Araponga","Faz Neblina - P. E. S. B. - Cresce ao lado da trilha","-42.483333","-20.716667","1300","1300",NA,"Ranunculaceae área pertubada. Subarbustiva, um tanto decumbente; folhas opostas; corola vinosa; flores em álcool a 70%","MBML051022","MBML051022","PARATIPO",NA,NA,NA,NA,NA,"42W29'","20S43'",NA,NA
"30","2020-09-12 05:00:02-03","US","US","3173998","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A. P.","L. S. Leoni","318","1988","7","13","South America - Neotropics","Brazil","Minas Gerais",NA,"MG - Carangola - Fazenda Monte Castelo","-42.18","-20.8","1100",NA,NA,NA,"US00345937","US00345937_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"31","2020-09-12 05:00:02-03","US","US","3234719","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A. P.","G. Hatschbach, M. M. Hatschbach & J. M. Silva","55448","1991","6","14","South America - Neotropics","Brazil","Minas Gerais",NA,"Parque Nacional do Caparaó, subida ao Pico da Bandeira (mun. Alto Caparaó), Minas Gerais",NA,NA,"1300",NA,NA,NA,"US00413779","US00413779_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"32","2019-11-13 11:20:21-03","USP","SPF","225700","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A","Leoni, LS","4197","1999","05","14",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Ao lado da trilha (direita de quem sobe) em direção à tronqueira.","-41.8683013916016","-20.4333000183105","1400","1400",NA,NA,"SPF00225700",NA,"isotype","21645","auto","2000","07",NA,NA,NA,NA,NA
"33","2019-11-13 11:20:21-03","USP","SPF","150765","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Pereira, LC","Novelino, RF","FPNC70","1988","03","19",NA,"Brasil","Minas Gerais","Caparaó","Parque Nacional do Caparaó","-41.9043998718262","-20.523099899292","1400","1400",NA,NA,"SPF00150765","SPF00150765",NA,"15056","auto","2017","08",NA,NA,NA,NA,NA
"34","2019-05-06 11:58:08-03","UFU","HUFU","72412","S","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Leoni, L.S.","4197","1999","05","14",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional, Ao lado da trilha (direita de quem sobr) em direção a tronqueira.","-41.8683013916016","-20.4333000183105","1400","1400",NA,"Subarbusto ereta ou decumbente, cálice verde; corola vinosa-rosada.","HUFU00059231","HUFU00059231","Isotype","21645","auto","2000","07",NA,NA,NA,NA,NA
"35","2019-11-21 10:07:03-03","IBt","SP","488317","S","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A","Leoni, LS","4197","1999","05","14",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional ao lado da trilha em direção a tronqueira","-41.8683013916016","-20.4333000183105","1400","1400",NA,NA,"SP003590","SP003590","Isotype","21645","auto","2000","07",NA,NA,NA,NA,NA
