"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","typeStatus","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"11","2019-11-27 13:48:56-03","UFS","ASE","8656","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","Felix, LP; Mata, MF","Santos, ALS","A77","2002","09","16","Southern America","Brasil","Alagoas","São Sebastião","Povoado Serra","-36.512056","-9.937056",NA,NA,NA,"Arbusto. Aproximadamente 2 m. Flores brancas em forma de véu.; Cerrado","ASE0032570","ASE0032570","T.D.Penn.",NA,NA,"2008",NA,NA,"-36.512056","-9.937056","07","10",NA,NA,NA
"12","2020-04-22 16:20:37-03","UFPB","JPB","52561","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Leguminosae","Inga","suborbicularis","Inga suborbicularis","Barbosa, MR","Souza-Alves, JP","1417","2012","01","26","Southern America","Brasil","Sergipe","Itaporanga d'Ajuda","Fazenda Trapsa, Entrada principal 3 km ao leste do Povoado Paruí e área de ocorrência do Callicebus coimbrai, primata ameaçado de extinção","-37.233333","-11.2",NA,NA,NA,"; HABITAT: Mata Atlântica (Floresta Estacional Semidecidual)","JPB0052561",NA,"T.D. Penn.",NA,NA,"2012",NA,NA,"-37.233333","-11.2","01","22",NA,NA,NA
"13","2015-12-04 15:37:30-02","MNHN","RECOLNAT_MNHN_P","P00080399","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","Poncy","Pignal, M.|Marco de Oliveira Alves, R.",NA,"1997","8","17",NA,"Brésil","bahia",NA,NA,"-37.83333","-11.78333",NA,NA,"hb","Projet Pau brasil <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080399' target='other'> <mi>dwc_moreinfo</mi></a>","P00080399","P00080399_01","Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,"612",NA,NA
"14","2016-01-12 16:25:49-02","MNHN","RECOLNAT_MNHN_P","P00080428","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","Pignal","Pignal, M.|Marco de Oliveira Alves, R.",NA,"1997","8","17",NA,"Brésil","bahia",NA,NA,"-37.9","-11.63333",NA,NA,"hb","Projet Pau brasil <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080428' target='other'> <mi>dwc_moreinfo</mi></a>","P00080428","P00080428_01","Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,"630",NA,NA
"15","2018-10-19 04:36:00-03","MO","MOBOT","100526984","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,"D.B.O.S. Cardoso|N.P. Smith|J.F.B. Pastore","Cardoso 2412","2009","2","7","South America","Brazil","Bahia","Entre Rios","Estrada para a Fazenda Rio do Negro.","-37.95","-11.8833333",NA,NA,NA,NA,NA,NA,"T.D. Penn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"16","2020-07-10 16:06:00-03","MO","MOBOT","101206033","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,"Romeu P. Belém","Belém 3745","1968","6","27","South America","Brazil","Minas Gerais",NA,"Rodovia BR. 4, km 944.",NA,NA,NA,NA,NA,NA,NA,NA,"T.D. Penn.",NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,"1",NA
"17","2016-06-27 16:09:42-03","UFPB","EAN","14275","S","Plantae",NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","M. F. Mata & L. P. Félix",NA,NA,"1974","10","01",NA,"Brasil","Sergipe","São Cristóvão","Coletado ao lado do km 2 da rodovia de acesso a São Cristóvão","-37.2064","-11.0147",NA,NA,NA,"Subarbusto de 1 - 1,5 m, folhas compostas c/ 6 folíolos, folhas c/ raque alado e glândulas entre os folíolos, folhas pilosas e escleromorfas, alternas.",NA,NA,"T. O. Penn","23587","auto","2008",NA,NA,NA,NA,"07","15",NA,NA,NA
"18","2016-06-27 16:09:42-03","UFPB","EAN","14221","S","Plantae",NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","M. F. Mata & L. P. Félix",NA,"77","2002","09","16",NA,"Brasil","Alagoas","São Sebastião","Povoado (Serra)","-36.5542","-9.93361",NA,NA,NA,"Arbusto, cerca de 1,5 - 2,0 m, flores brancas em forma de véu, vegetação de cerrado, material de Doação do ASE.",NA,NA,"T. O. Penn","16608","auto","2008",NA,NA,NA,NA,"08","10",NA,NA,NA
"19","2016-06-27 16:09:42-03","UFPB","EAN","13117","S","Plantae",NA,NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","M. F. Mata & L. P. Félix",NA,"1605","1986","09","09",NA,"Brasil","Sergipe","Itaporanga","Br. 101 a 1 km da entrada para Salgado",NA,NA,NA,NA,NA,"Arbusto de aproximadamente 3 m de altura, flores alvas.",NA,NA,"T. O. Penn",NA,NA,"2008",NA,NA,NA,NA,"07","29",NA,NA,NA
"20","2020-05-08 11:10:30-03","UEFS","HUEFS","180481","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis",NA,"Matos, E.N.de","286","2011","07","27",NA,"Brasil","Bahia","Jandaíra","Est. Costa Azul. (invisa).","-49.59","-11.899167",NA,NA,NA,"Campestre e moitas","HUEFS0180481","HUEFS0180481","T.D.Penn.",NA,NA,NA,NA,"Rosanae","49W35'24''","11S53'57''",NA,NA,NA,NA,NA
"21","2020-05-08 11:10:30-03","UEFS","HUEFS","140049","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Cardoso, D.","2326","2008","08","04",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro.","-37.95","-11.883333",NA,NA,NA,"Floresta de restinga.","HUEFS0140049","HUEFS0140049","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","37W57'","11S53'","10",NA,NA,NA,NA
"22","2020-05-08 11:10:30-03","UEFS","HUEFS","143261","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Popovkin, A.V.","339","2008","08","14",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-37.95","-12.883333","153","153",NA,NA,"HUEFS0143261","HUEFS0143261","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","37W57'","12S53'","10",NA,NA,NA,NA
"23","2020-05-08 11:10:30-03","UEFS","HUEFS","180468","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis",NA,"Matos, E.N.de","202","2011","07","25",NA,"Brasil","Bahia","Jandaíra","Costa Azul.","-49.5075","-11.696111",NA,NA,NA,"Floresta","HUEFS0180468","HUEFS0180468","T.D.Penn.",NA,NA,NA,NA,"Rosanae","49W30'27''","11S41'46''",NA,NA,NA,NA,NA
"24","2020-05-08 11:10:30-03","UEFS","HUEFS","143140","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","T.D.Pennington","Popovkin, A.V.","148","2008","01","14",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-37.95","-12.883333","153","153",NA,NA,"HUEFS0143140","HUEFS0143140","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","37W57'","12S53'",NA,NA,NA,NA,NA
"25","2020-05-08 11:10:30-03","UEFS","HUEFS","143219","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Popovkin, A.V.","244","2008","05","03",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-37.95","-12.883333","153","153",NA,NA,"HUEFS0143219","HUEFS0143219","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","37W57'","12S53'","10",NA,NA,NA,NA
"26","2020-05-08 11:10:30-03","UEFS","HUEFS","143304","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Popovkin, A.V.","382","2008","09","07",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-37.95","-12.883333","153","153",NA,NA,"HUEFS0143304","HUEFS0143304","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","37W57'","12S53'","10",NA,NA,NA,NA
"27","2020-05-08 11:10:30-03","UEFS","HUEFS","146001","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","T.D.Pennington","Popovkin, A.V.","385","2008","09","27",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.048611","-12.017778",NA,NA,NA,NA,"HUEFS0146001","HUEFS0146001","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","38W2'55''","12S1'4''",NA,NA,NA,NA,NA
"28","2020-05-08 11:10:30-03","UEFS","HUEFS","160841","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","F.C.P.Garcia","Popovkin, A.V.","662","2010","02","03",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38","-12.05",NA,NA,NA,"Mata atlântica.","HUEFS0160841","HUEFS0160841","T.D.Penn.",NA,NA,"2012",NA,"Rosanae","38W0'","12S3'","06",NA,NA,NA,NA
"29","2020-05-08 11:10:30-03","UEFS","HUEFS","188732","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis",NA,"Matos, E.N.de","2236","2011","07","26",NA,"Brasil","Bahia","Jandaira","Costa Azul","-37.506111","-11.693889",NA,NA,NA,"Restinga. Floresta.","HUEFS0188732","HUEFS0188732","T.D.Penn.",NA,NA,NA,NA,"Rosanae","37W30'22''","11S41'38''",NA,NA,NA,NA,NA
"30","2020-05-08 11:10:30-03","UEFS","HUEFS","193526","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis",NA,"Queiroz, L.P.de","15486","2012","06","07",NA,"Brasil","Bahia","Entre Rios","Próximo ao povoado de Imbé. Floresta Ombrófila Densa. Restinga arbórea. Solo arenoso.","-38.010278","-12.0675","20","20",NA,"Floresta Ombrófila Densa (Restinga Arbórea), solo arenoso","HUEFS0193526","HUEFS0193526","T.D.Penn.",NA,NA,NA,NA,"Rosanae","38W0'37''","12S4'3''",NA,NA,NA,NA,NA
"31","2020-05-08 11:10:30-03","UEFS","HUEFS","55384","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Jesus, N.G.","308","1999","11","24",NA,"Brasil","Bahia","Alagoinhas","Campus II - UNEB.","-38.433333","-12.133333","120","150",NA,"Cerrado.","HUEFS0055384","HUEFS0055384","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","38W26'","12S8'","10",NA,NA,NA,NA
"32","2020-05-08 11:10:30-03","UEFS","HUEFS","55528","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Jesus, N.G.","52","1998","01","27",NA,"Brasil","Bahia","Alagoinhas","Campus II/ UNEB.","-38.433333","-12.133333","120","150",NA,"Cerrado.","HUEFS0055528","HUEFS0055528","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","38W26'","12S8'","10",NA,NA,NA,NA
"33","2020-05-08 11:10:30-03","UEFS","HUEFS","55547","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","D.Cardoso","Jesus, N.G.","329","1999","12","07",NA,"Brasil","Bahia","Alagoinhas","Campus II/ UNEB.","-38.433333","-12.133333","120","150",NA,NA,"HUEFS0055547","HUEFS0055547","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","38W26'","12S8'","10",NA,NA,NA,NA
"34","2020-05-08 11:10:30-03","UEFS","HUEFS","180467","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis",NA,"Matos, E.N.de","201","2011","07","25",NA,"Brasil","Bahia","Jandaíra","Costa Azul.","-49.5075","-11.696111",NA,NA,NA,"Campestre e moitas","HUEFS0180467","HUEFS0180467","T.D.Penn.",NA,NA,NA,NA,"Rosanae","49W30'27''","11S41'46''",NA,NA,NA,NA,NA
"35","2020-05-08 11:10:30-03","UEFS","HUEFS","145983","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","suborbicularis","Inga suborbicularis","T.D.Pennington","Cardoso, D.","2412","2009","02","07",NA,"Brasil","Bahia","Entre Rios","Estrada para a Fazenda Rio do Negro.","-37.95","-11.883333",NA,NA,NA,"Fragmento de restinga arbustiva-arbórea.","HUEFS0145983","HUEFS0145983","T.D.Penn.",NA,NA,"2010",NA,"Rosanae","37W57'","11S53'",NA,NA,NA,NA,NA
"36","2015-03-07 01:37:17-03","F","FMNH-SEEDPLANTS","V0162229F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0162229F","V0162229F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"37","2020-07-23 12:14:23-03","CEPLAC","CEPEC","4403","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","suborbicularis","Inga suborbicularis","T. D. Pennington","R. P. Belém","3745","1968","06","27",NA,"Brasil","Bahia",NA,"MG. BR-4, Km 944.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0*0'0","0*0'0",NA,NA,NA,NA,"30/12/1997"
"38","2020-07-23 12:14:23-03","CEPLAC","CEPEC","19913","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","suborbicularis","Inga suborbicularis","T. D. Pennington","R. M. Harley","17864","1977","01","12",NA,"Brasil","Bahia","PORTO SEGURO","Parque Nacional de Monte Pascoal. A NW da rampa do Monte Pascoal.","-39.416667","-16.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paratipo",NA,"39W25'","16S53'",NA,NA,NA,NA,"30/12/1997"
