"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"11","2020-11-04 11:18:58-03","ESALQ","ESA","27635","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.","Pinho-Ferreira, M.A.","Leitão Filho, H.F. et al.","34739.0","1996","01","31",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA027635","ESA027635",NA,"2004",NA,NA,"05","12","34265","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:18:58-03","ESALQ","ESA","104756","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea",NA,NA,"Lima, R.A.F.","743.0","2008","03","11",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,NA,"ESA104756","ESA104756",NA,NA,NA,NA,NA,NA,"37616","auto",NA,NA,NA,NA,NA
"13","2021-01-14 15:33:24-03","MN","R","10455","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.",NA,"Glaziou, A.F.M.","8158","1875","10","22",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000010455","R000010455_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0046308","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","multicostata","Rudgea multicostata",NA,"S. F. Smith","G. Hatschbach; J. M. Silva, L. A. Ferreira","68615","1998","10","17",NA,"Brazil","Bahia",NA,"Estrada Una; Pedro do Una (Mun. Una).","-39.069421","-15.269563",NA,NA,"Arbusto, 3 m, pedúnculo rosado, flor com base alva, ápice violeta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:40:16-03","UNICAMP","UEC","160435","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","243","2011","01","25",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.945278","-23.330333","999",NA,"Material vegetativo. Cerca de 4 m de altura e 4 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","UEC039447","UEC039447","999","2011","-45.945278","-23.330333","05",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:40:16-03","UNICAMP","UEC","166834","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Firens, M","Padgurschi, MCG; Tamashiro, JY; Belinello, R","558","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","Núcleo Santa Virgínia, Parcela K.","-45.068056","-23.325278","1080",NA,"K0631 Árvore, ca. 6 m, com flores.; Floresta Ombrófila Densa Montana.","UEC039827","UEC039827","1093","2009","-45.068056","-23.325278",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:40:16-03","UNICAMP","UEC","166745","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Firens, M","Padgurschi, MCG; Tamashiro, JY; Belinello, R","37","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.","-45.068333","-23.325","1073",NA,"K0038 Árvore, ca. 7 m, sem flores ou frutos. Abundância: 4 ind ha-1.","UEC039967","UEC039967","1093","2009","-45.068333","-23.325",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-20 10:25:14-03","UNICAMP","UEC","147699","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Jung-Mendaçolli, SL","Campos, MCR; Assis, MA; Guilherme, FAG; Mania, L","82","2006","03","27",NA,"Brazil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,NA,"indivíduo E0104, altura 4m","UEC109806","UEC109806",NA,"2007",NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:40:16-03","UNICAMP","UEC","160943","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Cavalin, PO","Cavalin, PO","55","2009","11","12",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio","-45.092778","-23.396667","348",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","UEC039338","UEC039338","395","2010","-45.092778","-23.396667","06",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:40:16-03","UNICAMP","UEC","161058","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, J","35","2010","05","27",NA,"Brazil","São Paulo","Caraguatatuba","Pq. Estadual da Serra do Mar, Mata Atlântica 50-90 msm.","-45.504167","-23.636111",NA,NA,"Árvore com 6m.","UEC117477","UEC117477",NA,"2010","-45.504167","-23.636111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:40:16-03","UNICAMP","UEC","167042","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, J","317","2011","07","01",NA,"Brazil","São Paulo","Paraíbuna","ParqueEstadual da Serra do Mar. Mata Atlãntica. 800-900 msm.","-45.538611","-23.585556",NA,NA,"Árvore com 7m, com flores brancas.","UEC117476","UEC117476",NA,"2011","-45.538611","-23.585556","11",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:40:16-03","UNICAMP","UEC","170086","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Jung-Mendaçolli, SL","Rochelle, ALC","J123",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.","-45.084167","-23.366667","450",NA,"Indivíduo J123 da parcela J do Projeto Temático BIOTA-Gradiente Funcional.","UEC041783","UEC041783","450","2008","-45.084167","-23.366667","03",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:40:16-03","UNICAMP","UEC","174048","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"Pedroni, F; Sanchez, M; Laps, RR; Belinello, R","1052","1997","02","06",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Morro do Corisco.","-44.812222","-23.311111","300",NA,"Árvore 176 com 7,5m de altura, com frutos imaturos de cor verde claro.; Mata Atlântica de Encosta.","UEC089139","UEC089139","300",NA,"-44.812222","-23.311111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:40:16-03","UNICAMP","UEC","174049","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"Pedroni, F; Sanchez, M; Laps, RR; Belinello, R","1053","1997","09","10",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Morro do Corisco.","-44.812222","-23.311111","300",NA,"Árvore 206 com 8,5m de altura, com botões.; Mata Atlântica de Encosta.","UEC089140","UEC089140","300",NA,"-44.812222","-23.311111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:40:16-03","UNICAMP","UEC","174178","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"Pedroni, F; Sanchez, M; Belinello, R","1058","1997","09","11",NA,"Brazil","São Paulo","Ubatuba","Picinguaba. Margens do rio da Fazenda.","-44.8","-23.366667","100",NA,"Árvore 500 fp com 4 metros de altura, vegetativo.; Mata Atlântica de Encosta.","UEC089107","UEC089107","100",NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:40:16-03","UNICAMP","UEC","80571","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Sanchez, M","Leitão Filho, HF; Rodrigues, RR; Santin, DA; Nave, AG; Sanchez, M; Mansano, VF; Seoane, CE","34739","1996","01","31",NA,"Brazil","São Paulo","Ubatuba","Estrada à esquerda da entrada de Laranjeiras.","-44.681389","-23.328889",NA,NA,"Árvore com 4m de altura, frutos jovens.; Encosta Atlântica.",NA,NA,NA,NA,"-44.681389","-23.328889",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:40:16-03","UNICAMP","UEC","85242","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Zappi, DC","Furlan, A; Assis, MA; Garcia, FCP; Ruffino, PHP; Carneiro, CE","1507","1994","04","16",NA,"Brazil","São Paulo","Ubatuba","Estrada da Fazenda Capricórnio. km 46 da Rodovia Rio/Santos. Mata Atlântica.","-40.083333","-23.4",NA,NA,"Arvoreta 7m alt. Frutos verde-claro.","UEC112787","UEC112787",NA,"2007","-40.083333","-23.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:40:16-03","UNICAMP","UEC","92013","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"Sanchez, M; Pedroni, F","31267","1992","11","08",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, Margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,NA,"Árvore de 7m de altura, cálice verde, flores brancas com a face externa das pétalas com pilosidade velutina.",NA,NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"29","2021-03-01 16:40:16-03","UNICAMP","UEC","92014","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"Sanchez, M; Pedroni, F","31268","1993","01","12",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, Margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,NA,"Árvode de 4m de altura, frutos imaturos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"30","2021-03-01 16:40:16-03","UNICAMP","UEC","174179","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Zappi, DC","Sanchez, M; Pedroni, F; Laps, RR","540","1992","11","08",NA,"Brazil","São Paulo","Ubatuba","Picinguaba. Margens do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,NA,"Arvoreta de 4 metros, flores brancas muito pilosas.; Mata Atlântica.","UEC089103","UEC089103",NA,"1993",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"31","2020-04-22 16:24:34-03","UFPB","JPB","53981","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Muell. Arg.","Gomes, M","Braga, JMA; Bovini, MG; Vieira, CM; Lira Neto, LA; Figueiredo, JR","3137","1995","12","20","Southern America","Brasil","Rio de Janeiro","Guapimirim","Granja Monte Olivete, Trilhas das Andorinhas. Margem de rio.","-42.9818992614746","-22.5372009277344",NA,NA,"; HABITAT: Mata densa; DESC: Árvore ca. 8 m de alt.; folhas coriáceas; frutos imaturos amarelo-esverdeados.","JPB0053981",NA,NA,"2006",NA,NA,"01","17","21463","auto",NA,NA,NA,NA,NA
"32","2020-04-22 16:24:34-03","UFPB","JPB","53982","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Muell. Arg.","Gomes, M","Braga, JMA; Bovini, MG; Figueiredo, JR","1749","1995","01","18","Southern America","Brasil","Rio de Janeiro","Guapimirim","Granja Monte Olivete, Trilha das Andorinhas, margem do afluente do Rio Bananal","-42.9818992614746","-22.5372009277344",NA,NA,"; HABITAT: Mata densa; DESC: Árvore, ca. 5 m alt; folhas subcoráceas; frutos imaturos alvo-esverdeados.","JPB0053982",NA,NA,"2006",NA,NA,"01",NA,"21463","auto",NA,NA,NA,NA,NA
"33","2020-06-29 09:32:02-03","UFRRJ","RBR","25890","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","S.J. Silva-Neto","P. Germano-Filho","62","1995","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada Boa Esperança. À margem esquerda da estrada. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00025890",NA,NA,"2006",NA,NA,"10","09","25743","auto",NA,NA,NA,NA,NA
"34","2020-06-29 09:32:02-03","UFRRJ","RBR","26331","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"H.C. Rodrigues; F.A. Baroni","s.n.","1994","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada do Ouro, Linha 1. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00026331",NA,NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"35","2020-06-29 09:32:02-03","UFRRJ","RBR","26328","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"H.C. Rodrigues; F.A. Baroni","s.n.","1994","05","14",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada do Ouro, Linha 2. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00026328",NA,NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"36","2020-06-29 09:32:02-03","UFRRJ","RBR","26327","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"H.C. Rodrigues; F.A. Baroni","s.n.","1994","06","25",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada do Ouro, Linha 4. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00026327",NA,NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"37","2020-06-29 09:32:02-03","UFRRJ","RBR","26329","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"H.C. Rodrigues; F.A. Baroni","s.n.","1994","07","16",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada do Ouro, Linha 5. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00026329",NA,NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"38","2020-06-29 09:32:02-03","UFRRJ","RBR","25885","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","S.J. Silva-Neto","S.J. Silva-Neto; L.S. Sylvestre","s.n.","1994","04","23",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada pra Boa Esperança, antes da bifurcação para o Colomi. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00025885",NA,NA,"2006",NA,NA,"10","09","25743","auto",NA,NA,NA,NA,NA
"39","2020-06-29 09:32:02-03","UFRRJ","RBR","25886","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","S.J. Silva-Neto","S.J. Silva-Neto; L.S. Sylvestre","s.n.","1994","04","23",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada pra Boa Esperança, antes da bifurcação para o Colomi. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00025886",NA,NA,"2006",NA,NA,"10","09","25743","auto",NA,NA,NA,NA,NA
"40","2020-06-29 09:32:02-03","UFRRJ","RBR","25891","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","S.J. Silva-Neto","M.M.T. Rosa","s.n.","1995","04","18",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada Serra Velha, na beira do rio acima da cachoeira Serra Velha. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00025891",NA,NA,"2006",NA,NA,"10","09","25743","auto",NA,NA,NA,NA,NA
"41","2020-06-29 09:32:02-03","UFRRJ","RBR","26330","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"H.C. Rodrigues; C.E.S. Zuma","s.n.","1994","06","17",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada do Ouro, Linha 4. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00026330",NA,NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"42","2020-06-29 09:32:02-03","UFRRJ","RBR","25884","S","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.",NA,"L.S. Sylvestre","s.n.","1994","02","10",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Estrada para Boa Esperança, após o portão. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,"RBR00025884",NA,NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"43","2020-12-21 16:43:57-03","MBM","MBM","229928","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","multicostata","Rudgea multicostata","Muell. Arg.","Smith, S.F.","Hatschbach, G.; Silva, J.M.; Ferreira, L.A.; Silva, J.M.; Ferreira, L.A.","68615",NA,NA,NA,"Southern America","Brazil","Bahia","Una","Estrada Una - Pedra do Una","-39.0752983093262","-15.2932996749878",NA,NA,NA,"MBM229928","MBM229928",NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA
"44","2020-12-21 16:43:57-03","MBM","MBM","410235","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.",NA,"Silva Neto, S.J.","465","1994","11","14","Southern America","Brazil","Rio de Janeiro","Nova Iguaçu","Administração, beira do rio.","-43.451099395752","-22.7591991424561",NA,NA,"Arvoreta semi-omvrófila, ca. 5,0 m de altura; folhas discolores coriáceas; flores brancas; androceu com anteras marrons. Ocasional.","MBM410235","MBM410235",NA,NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"45","2019-11-01 15:33:10-03","PUC-RIO","FCAB","7540","PreservedSpecimen","Plantae",NA,"Angiospermae","Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Mario Gomes","Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva","8372","2016","11","02",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 3,4 km após o entroncamento para a Sede da Rebio, três Voltas.","-43.462222","-22.576389","590",NA,"Arvoreta de 4 m de altura. Inflorescência com raque e flores brancas, carnosas. Ocasional no sub-bosque. Foto HCL e CC.; Mata de encosta.","FCAB007540",NA,"590","2016","-43.462222","-22.576389","12","05",NA,NA,NA,NA,NA,NA,NA
