"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"14","2020-02-08 10:09:50-03","NBC","NL-BOTANY","L.1661485","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Ule EHG",NA,"1911","12","01","Southern America","Bolivia",NA,NA,"!, Rio Acre.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1661485 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1661485","NL-L1661485",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:09:50-03","NBC","NL-BOTANY","U 0000672","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","González F","Klug G",NA,"1935","12","01","Southern America","Peru","San Martín",NA,"Department of San Martin: Juan Jui, Alto Río Huallaga",NA,NA,NA,NA,NA,"forest. Clearing.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000672","NL-U0000672","1992",NA,NA,"Magnoliopsidae","33549 A","05","01","isotype",NA,NA,NA,NA,NA
"16","2020-02-08 10:09:50-03","NBC","NL-BOTANY","U.1110225","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Boom BM",NA,"1983","12","07","Southern America","Bolivia",NA,NA,"Ethnobotany of the Chácobo Indians, Dept. of Beni, Prov. of Vaca Diez, Vicinity of the Chácobo village Alto Ivon.","-66.033333","-11.75",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110225","NL-U1110225",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-66.033333","-11.75",NA,NA,NA
"17","2020-02-08 10:09:50-03","NBC","NL-BOTANY","U.1110226","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Davidse G; González AC; Ortega F",NA,"1982","10","30","Southern America","Venezuela",NA,NA,"Portuguesa: Distrito Guanare: 17 km NW of Tucupido by road, future basin of Represa Tucupido and lower forested, north slope of Fila Las Palmas.","-69.95","9.016667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110226 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110226","NL-U1110226",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-69.95","9.016667",NA,NA,NA
"18","2020-02-08 10:09:50-03","NBC","NL-BOTANY","U.1110227","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Breteler FJ",NA,"1963","10","15","Southern America","Venezuela",NA,NA,"near Barinitas, Edge of secondary forest.","-70.666667","8.75",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110227","NL-U1110227",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-70.666667","8.75",NA,NA,NA
"19","2020-02-08 10:09:50-03","NBC","NL-BOTANY","WAG.1670537","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Breteler FJ",NA,"1963","10","15","Southern America","Venezuela",NA,NA,"near Barinitas, Edge of secondary forest.","-70.666667","8.75",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1670537 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1670537","NL-WAG1670537",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-70.666667","8.75",NA,NA,NA
"20","2020-02-08 10:09:50-03","NBC","NL-BOTANY","WAG.1670538","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Breteler FJ",NA,"1963","10","15","Southern America","Venezuela",NA,NA,"near Barinitas, Edge of secondary forest.","-70.666667","8.75",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1670538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1670538","NL-WAG1670538",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-70.666667","8.75",NA,NA,NA
"21","2020-02-08 10:09:50-03","NBC","NL-BOTANY","WAG.1670539","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Breteler FJ",NA,"1963","10","15","Southern America","Venezuela",NA,NA,"near Barinitas, Edge of secondary forest.","-70.666667","8.75",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1670539 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1670539","NL-WAG1670539",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-70.666667","8.75",NA,NA,NA
"22","2020-02-08 10:09:50-03","NBC","NL-BOTANY","U.1110273","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Andel TR van","Andel TR van; Steege H ter; George N; Samuels R",NA,"1996","09","01","Southern America","Guyana","North West District",NA,"Kariako Village, Barama River.","-59.7","7.366667",NA,NA,NA,"Cultivated in yard of Norton's house.Secondary vegetation.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110273","NL-U1110273","2015",NA,NA,"Magnoliopsidae","U 0066333","01","22",NA,"-59.7","7.366667",NA,NA,NA
"23","2020-11-04 11:00:42-03","ESALQ","ESA","88886","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima",NA,NA,NA,NA,"2003","06","01",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA088886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:00:42-03","ESALQ","ESA","56501","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Gissi, D.S.","Medri, I.",NA,"1997","01","10",NA,"Brasil","Paraná","Ibipora",NA,"-51.0480995178223","-23.2691993713379",NA,NA,NA,NA,"ESA056501","ESA056501","2011","20625","auto",NA,NA,"01","07",NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:00:42-03","ESALQ","ESA","122411","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima",NA,"Lopes, L.M.X.","Lopes, L.M.X.","4.0","2012","11","01",NA,"Brasil","São Paulo","Araraquara",NA,"-48.1699981689453","-21.7900009155273",NA,NA,NA,NA,"ESA122411","ESA122411","2012","29178","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-07-02 14:42:05-03","JBP","HPL","3316","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","litoralis","Aristolochia litoralis","Parodi","R. Tsuji","H. Lorenzi","3532","2002","11","11",NA,"Brasil","SP","Nova Odessa","Instituto Plantarum, cultivada e trazida da coleção do Mauro.","-47.29","-22.77",NA,NA,NA,NA,NA,NA,"2002","8440","auto",NA,NA,"11","11",NA,NA,NA,NA,NA,NA
"27","2015-07-02 14:42:05-03","JBP","HPL","9942","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","litoralis","Aristolochia litoralis","D. Parodi","A. Campos-Rocha","A. Campos-Rocha","74","2007","11","01",NA,"Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77",NA,NA,NA,NA,NA,NA,"2007","8440","auto",NA,NA,"11","01",NA,NA,NA,NA,NA,NA
"28","2015-07-02 14:42:05-03","JBP","HPL","3313","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","R. Tsuji","E.R. Salviani & H. Lorenzi","1447","2000","06","26",NA,"Brasil","CE","Fortaleza","Coletada na fezenda Raposo.","-38.5431","-3.71722",NA,NA,NA,NA,NA,NA,"2004","19924","auto",NA,NA,"08","07",NA,NA,NA,NA,NA,NA
"29","2021-04-07 11:41:09-03","UFMS","CGMS","29300","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","A. Pott","L.C.S. Magalhães; L.G. Escalante","440","2009","03","22",NA,"Brasil","Mato Grosso do Sul","Nioaque","Assentamento Andalucia.","-55.7513889","-20.7927777","202","202",NA,"Flor vinho com amarela. Habitat: Floresta Estacional Decídua. Habito: Trepadeira.","CGMS1058761",NA,"2012",NA,NA,NA,NA,"05","20",NA,"-55,7513889","-20,7927777",NA,NA,NA
"30","2019-08-20 10:04:17-03","UNICAMP","UEC","135629","S","Plantae","Magnoliopsida",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Lorenzi, H","Silva, KL","s.n.","2004","03","26",NA,"Paraguay","Paraguari","Sorocará","Cultivada no Instituto Plantarum em Nova Odessa.",NA,NA,NA,NA,NA,NA,"UEC036590","UEC036590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:22:43-03","UNICAMP","UEC","38127","S","Plantae","Magnoliopsida",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Gonzáles, F","Brown Jr, KS","16681","1984","12","06",NA,"Brazil","Rondônia",NA,"Colorado d'Oeste, 5 km N. ao longo da linha 01 a leste.",NA,NA,NA,NA,NA,"Trepadeira cobrindo a cerca de arame planta usada por <em>Bathus polydans</em>, flor roxa, estriada com centro amarelo, lábio 5x10cm.","UEC036589","UEC036589","1995",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:22:43-03","UNICAMP","UEC","26590","S","Plantae","Magnoliopsida",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Gonzáles, F","Sazima, M; Cunha, CN","12635","1981","01","24",NA,"Brazil","Mato Grosso","Poconé","Rod. Transpantaneira","-56.6227989196777","-16.2567005157471",NA,NA,NA,"Trepadeira, em mata de cordilheira.","UEC036587","UEC036587","1995","200792","auto",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA
"33","2019-02-25 16:27:38-03","UNEMAT","HERBAM","13612","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Koch, AK","Antoniazii, S.A.","547","2016","10","20",NA,"Brasil","Pará","Jacareacanga","UHE São Manoel UTM(0499672/8979092)","-57.752799987793","-6.22221994400024","157","157",NA,NA,"HERBAM013612",NA,"2016","393024","auto",NA,NA,"10","09",NA,NA,NA,NA,NA,NA
"34","2019-08-16 08:38:23-03","UTFPR","HCF","11588","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","A. Pott","L.C.S. Magalhães","440","2009","03","22",NA,"Brasil","MS","Nioaque","Assentamento Andalucia","-55.751278","-20.792889","202","202",NA,"trepadeira. Flor vinho com amarela. Formação: Floresta Estacional Decídua.",NA,NA,"2012",NA,NA,NA,NA,"05","20",NA,"55°45'04,6 W","20°47'34,4 S",NA,NA,NA
"35","2019-08-16 08:38:23-03","UTFPR","HCF","28385","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","G. Hatschbach","J. Ponciano","387","1980","03","01",NA,"Brasil","PR","Foz do Iguaçu","Porto Meira, estrada Iate Club","-54.5881004333496","-25.5478000640869",NA,NA,NA,"volúvel, 3 m. Mato alto.",NA,NA,NA,"39570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:13:38-03","MBM","MBM","34767","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Castañeda, R.R.","Castañeda, R.R.","16120","1971","09","03","Southern America","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM034767","MBM034767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:13:38-03","MBM","MBM","398428","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Engels, M.E.","Engels, M.E.; Lautert, M.; Lautert, M.","2851","2015","01","19","Southern America","Brazil","Mato Grosso","Colíder","Entrada de acesso a UHE Colíder","-55.649167","-10.806944","329","329",NA,"Liana. Caule e folhas verdes. Folhas discolores. Flores com ovário verde. Perianto externamente (abaxial) alvacento. Arista com centro amarelo e periferia marmorada de vermelho.; Floresta do Planalto dos Parecís, região de ecótono","MBM398428","MBM398428","2015",NA,NA,NA,NA,"01","20",NA,"-55.649167","-10.806944",NA,NA,NA
"38","2020-12-21 16:13:38-03","MBM","MBM","418858","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Marinero, F.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1118","2018","11","27","Southern America","Brazil","Minas Gerais","Governador Valadares","beira de estrada","-41.908611","-18.850833","162","162",NA,"Trepadeira volúvel; flores alvas com nervuras roxas.; Vegetação Secundária Estágio Inicial","MBM418858",NA,"2019",NA,NA,NA,NA,"05","14",NA,"-41.908611","-18.850833",NA,NA,NA
"39","2020-12-21 16:13:38-03","MBM","MBM","106850","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","L. Capellari Jr.","Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","49086","1985","03","15","Southern America","Brazil","Mato Grosso do Sul","Antônio João","Antônio João, 3-6km O","-55.9474983215332","-22.1910991668701",NA,NA,NA,NA,"MBM106850","MBM106850",NA,"38814","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:13:38-03","MBM","MBM","45382","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Macedo, A.; et al.; et al.","5058","1971","11","22","Southern America","Brazil","Minas Gerais","Capinópolis","Fazenda Santa Terezinha","-49.5696983337402","-18.6819000244141",NA,NA,NA,NA,"MBM045382","MBM045382",NA,"20483","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:13:38-03","MBM","MBM","39911","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Macedo, A.","Macedo, A.","1678","1949","11","17","Southern America","Brazil","Minas Gerais","Ituiutaba","Fazenda Santa Terezinha","-49.4650001525879","-18.968900680542",NA,NA,NA,NA,"MBM039911","MBM039911",NA,"50022","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:13:38-03","MBM","MBM","39912","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Ahumada, Z.","Macedo, A.","915","1944","12","02","Southern America","Brazil","Minas Gerais","Ituiutaba","Fazenda Santa Terezinha","-49.4650001525879","-18.968900680542",NA,NA,NA,NA,"MBM039912","MBM039912",NA,"50022","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:13:38-03","MBM","MBM","71718","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Hatschbach, G.","Acildo","387","1979","12","07","Southern America","Brazil","Paraná","Foz do Iguaçu","Saída ao sul da Vila Itaipu","-54.5881004333496","-25.5478000640869",NA,NA,NA,NA,"MBM071718","MBM071718",NA,"39570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:13:38-03","MBM","MBM","39910","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Ahumada, L.Z.","Hatschbach, G.","5599","1959","04","08","Southern America","Brazil","Paraná","Loanda","Porto São José","-53.1371994018555","-22.9230995178223",NA,NA,NA,NA,"MBM039910","MBM039910",NA,"25556","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:13:38-03","MBM","MBM","179780","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Hatschbach, G.","Hatschbach, G.","5599","1959","04","08","Southern America","Brazil","Paraná","Loanda","Porto São José","-53.1371994018555","-22.9230995178223",NA,NA,NA,NA,"MBM179780","MBM179780",NA,"25556","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:13:38-03","MBM","MBM","192804","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Hatschbach, G.","Ferrari Tomé, M.V.","493","1995","08","21","Southern America","Brazil","Paraná","Santa Mariana","Santa Mariana","-50.5186004638672","-23.1508007049561",NA,NA,NA,NA,"MBM192804","MBM192804",NA,"29409","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:13:38-03","MBM","MBM","3395","PreservedSpecimen","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Hatschbach, G.","Hatschbach, G.","14491","1956","06","29","Southern America","Brazil","Paraná","Santo Antônio do Caiuá","Rio Paranapanema","-52.3422012329102","-22.7346992492676",NA,NA,NA,NA,"MBM003395","MBM003395",NA,"15782","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2015-09-21 20:31:09-03","MNHN","RECOLNAT_MNHN_P","P00623882","PreservedSpecimen",NA,NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Gonzalez","Glaziou, A.",NA,"1871","12","16",NA,"Brésil",NA,NA,"Rio Jan. Serra do Tingua et Sao Christovao",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623882' target='other'> <mi>dwc_moreinfo</mi></a>","P00623882","P00623882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5520",NA,NA
"49","2016-01-21 06:23:21-02","MNHN","RECOLNAT_MNHN_P","P00623883","PreservedSpecimen",NA,NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Gonzalez","Moritz, J.W.K.",NA,NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623883' target='other'> <mi>dwc_moreinfo</mi></a>","P00623883","P00623883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2015-09-21 21:50:35-03","MNHN","RECOLNAT_MNHN_P","P00623875","PreservedSpecimen",NA,NA,NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Gonzalez","Linden, J.",NA,"1842","6",NA,NA,"Venezuela",NA,NA,"Province de Truxillo",NA,NA,"600",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623875' target='other'> <mi>dwc_moreinfo</mi></a>","P00623875","P00623875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310",NA,NA
