"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","01212182","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","G. T. Prance","12286","1971","04","22","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460494' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212182","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212182_01","Vicinity of Serra da Moa","-73.73","-7.5",NA,NA,"Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00836011","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","A. M. Amorim","621","1992","08","24","South America","Brazil","Bahia","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836011","Magnoliophyta","Cucurbitales","Aubl.","P. Moonlight","NY00836011_01","Estrada que liga Uruçuca ao Distrito de Serra Grande. Coletas efetuadas 30.7 km a partir da sede do municipio","-39.087604","-14.4769511",NA,NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01212193","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","H. S. Irwin","47949","1960","09","01","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212193","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01212186","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","J. J. Strudwick","3143","1981","07","18","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460505' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212186","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212186_01","Lageira, airstrip on Rio Maicuru.","-54.43","-0.92","244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02880107","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","D. C. Daly","10316","2000","12","01","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528278' target='other'> <mi>dwc_moreinfo</mi></a>","NY02880107","Magnoliophyta","Cucurbitales","Aubl.","P. Moonlight","NY02880107_01","Basin of Rio Juruá, Rio Tejo, right bank.","-72.26986","-9.04542",NA,NA,"Marechal Thaumaturgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","453979","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","S. D. Knapp","8441","1986","09","25","South America","Peru","San Martín","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453979","Magnoliophyta","Cucurbitales","Aubl.","K. Burt-Utley",NA,"Caserio El Progreso, km of Tarapoto-Yurimaguas road","-76.32","-6.4181","700","700","San Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-27 04:15:00-03","NY","NYBG","192080","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","L. Anananch","134","1985","08","28","South America","Ecuador","Morona-Santiago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192080","Magnoliophyta","Cucurbitales",NA,"R. A. Howard",NA,"Los alrededores del Centro Tuutin Entsa; cerca Taisha.",NA,NA,"330","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-12-16 12:19:00-02","NY","NYBG","191386","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","D. Shiki","228","1985","10","15","South America","Ecuador","Morona-Santiago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191386","Magnoliophyta","Cucurbitales",NA,"L. B. Smith",NA,"El Centro Shuar Kankaim, (Cangaimine), Rio Kankaim (Cangaime); 20k WNW del Taisha.","-77.68","-2.33","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01405192","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","B. Maguire","42012","1957","11","09","South America","Venezuela","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2246636' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405192","Magnoliophyta","Cucurbitales","Aubl.",NA,NA,"Between Camps 3 and 4, Cerro de La Neblina, Río Yatua","-66.008551","0.880463","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","201122","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","H. T. Beck","1743","1993","01","15","South America","Ecuador","Esmeraldas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00201122","Magnoliophyta","Cucurbitales","Aubl.","S. F. Smith",NA,"Awá Reserve. Community of Mataje","-78.67","1.25","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","453977","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","W. W. Thomas","9181","1992","05","07","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453977","Magnoliophyta","Cucurbitales","Aubl.","S. F. Smith","NY00453977_01","7.3 km N of Serra Grande on rd to Itacaré.","-39.0617","-14.4231",NA,NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01212184","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","E. Lleras","17241","1973","08","08","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460501' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212184","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212184_01","Estirão de Equador, Rio Javari","-71.5644","-4.5256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","454101","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","A. M. V. de Carvalho","3657","1991","09","07","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454101","Magnoliophyta","Cucurbitales","Aubl.","P. Moonlight","NY00454101_01","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-27 02:44:00-03","NY","NYBG","1488030","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","W. Rodriguez","8170","2013","11","23","South America","Colombia","Putumayo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2483119' target='other'> <mi>dwc_moreinfo</mi></a>","NY01488030","Magnoliophyta","Cucurbitales",NA,"O. A. Jara-Muñoz","NY01488030_01","Municipio de Orito, resguardo indígena Cañaveral-Miraflores, finca Alto Bonito La Esperanza.","-76.8203","0.74231","333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","201125","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","H. T. Beck","2262","1994","07","08","South America","Ecuador","Esmeraldas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00201125","Magnoliophyta","Cucurbitales","Aubl.","M. Montesdeoca",NA,"Awá Reserve. Community of La Union.","-78.55","1","395","395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01212191","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","H. S. Irwin","48024","1960","11","06","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460523' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212191","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith; D. C. Wasshausen","NY01212191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","453978","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","W. W. Thomas","9248","1992","05","14","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453978","Magnoliophyta","Cucurbitales","Aubl.","S. F. Smith","NY00453978_01","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","500","600","Wenceslau Guimaraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01212201","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","A. S. L. da Silva","1913","1984","03","19","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460550' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212201","Magnoliophyta","Cucurbitales","Aubl.","P. Moonlight","NY01212201_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01212183","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","G. T. Prance","23940","1976","10","20","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212183","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212183_01","Estirão do Equador, Rio Javari.","-71.5508","-4.5258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01212194","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","W. A. Egler","46559","1961","08","20","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212194","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01212195","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","W. R. Anderson","12299","1978","03","28","South America","Brazil","Rondônia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212195","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212195_01","Along Rio dos Pacaás Novos, just above and below the first cachoeira.","-63.7693262","-10.9794376","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","454098","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","R. Callejas Posada","1568","1983","10","28","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454098","Magnoliophyta","Cucurbitales","A.DC.","P. Moonlight","NY00454098_01","Km 9 da estrada Jucari-Palmeira. Fazenda Sto Antonio","-39.2803","-14.7858","300","300","Itabuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","454070","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","A. M. V. de Carvalho","4610","1994","08","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454070","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00454070_01","Mata da Esperança. Entrada pelo Banco da Vitória. Ca. 1.5 km a NE da sede","-39.0911","-14.7772",NA,NA,"Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01197986","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","M. M. M. Lopes","392","2005","11","22","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197986","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY01197986_01","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Propietário Senhor Francisco.","-39.6033","-14.7058","650","900","Almadina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","454071","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","J. G. Jardim","443","1994","04","28","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454071","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00454071_01","Ca. de 6 km ao S do Distrito de Serra Grande em direçao ao povoado do Retiro","-39.2842","-14.5933",NA,NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","565005","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","J. G. Jardim","1141","1997","10","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565005","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00565005_01","Ca. 15.5 km da BR-101 na Rodovia para Itacaré. Torre da Embratel, ca 7 km W da entrada","-39.17","-14.33","550","550","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","454069","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","S. C. de Sant'Ana","614","1996","07","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454069","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00454069_01","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas feitas na Picada da Bandeira","-39.08","-15.15",NA,NA,"Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","629773","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","J. G. Jardim","2984","2000","04","21","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629773","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00629773_01","Parque Estadual Serra do Condurú. Rodovia Serra Grande/Uruçuca, 9,4 km. Serra do Condurú vertente E","-39.1047","-14.485","250","450","Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","565009","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","J. G. Jardim","979","1997","02","26","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565009","Magnoliophyta","Cucurbitales","A.DC.","E. de L. Jacques","NY00565009_01","Rod. Almadina/Ibitupa, entrada a 7 km, Serra do Sete-paus ca. 12 km da entrada faz. Cruzeiro do Sul","-39.6961","-14.735","578","578","Almadina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","565006","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","J. G. Jardim","1135","1997","10","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565006","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00565006_01","Ca. 15.5 km da BR-101 na Rodovia para Itacaré. Torre da Embratel, ca 7 km W da entrada","-39.17","-14.33","550","550","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","821916","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","A. M. Amorim","3425","2000","06","07","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821916","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00821916_01","Estrada Itacaré-Ubaitaba. Ramal de acesso à Torre da Embratel.","-39.2713273","-14.4201153",NA,NA,"Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01462174","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","R. A. X. Borges","570","2007","01","16","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462174","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY01462174_01","Serra do Corcovado. 13,8 km ao SW de Coaraci na estrada para Almadina. Fazenda São José. Proprietario Senhor Francisco","-39.6033","-14.7058","650","900","Almadina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","454072","PreservedSpecimen","Plantae","Begoniaceae","Begonia","smilacina","Begonia smilacina","A. M. Amorim","623","1992","08","24","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454072","Magnoliophyta","Cucurbitales","A.DC.","S. F. Smith","NY00454072_01","Estrada que liga Uruçuca ao Distrito de Serra Grande. Coletas efetuadas 30,7 km a partir da sede do município","-39.087604","-14.4769511",NA,NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
