"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","year","month","day","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","county","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","order","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","456435","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","18807","South America","French Guiana","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00456435","Bryophyta","Brid.","1990","11","13","Maripasoula; Ca. 6 km N of Saül, vicinity of Eaux Claires, along first 4 km of Sentier Botanique",NA,"Saint-Laurent-du-Maroni","-53.2","3.62","200","R. A. Pursell","300","Saül",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1837426","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13093","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837426","Bryophyta","Brid.","1978","02","08","ca. 5 km WSW of Guayaramerin along the road to Riberalta.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1837402","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13418","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837402","Bryophyta","Brid.","1978","03","15","2-4 km above the first rapids on the Rio Pacaas Novos. Ridges of Serra dos Pacaas Novos along the river.",NA,"Rondônia","-64","-11",NA,"R. A. Pursell","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1837397","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","1950","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837397","Bryophyta","Brid.","1977","11","29","BR 174, Manaus-Venezuela highway. Boca da Mata, vicinity of abandoned army base 216 km N of Boa Vista, ca. 2 km N of Rio Surumu, ca. 19 km S of Venezuela border.",NA,"Roraima",NA,NA,"800","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","227135","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","33208","South America","French Guiana","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227135","Bryophyta","Brid.","1997","11","12","Commune de Saül: Base of Mont Galbao, along upper part of la Mana Fleuve",NA,NA,"-53.28","3.62","380","R. A. Pursell","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1837391","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","Collector unspecified","s.n.","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129018' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837391","Bryophyta","Brid.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1837385","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","1909","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129012' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837385","Bryophyta","Brid.","1977","11","21","BR 174, Manaus-Venezuela highway. Km 517, just S of Igarape Dias.",NA,"Roraima",NA,NA,"100","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1837425","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13035","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129052' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837425","Bryophyta","Brid.","1978","01","28","Along low banks of the Rio Yata ca. 40 km WSW of Guayaramerin.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1837438","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13094","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129066' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837438","Bryophyta","Brid.","1978","02","12","ca. 10-15 km NW of Guayaramerin along the road to Cachuela Esperanza.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1837370","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13232","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837370","Bryophyta","Brid.","1978","02","25","25-30 km NW of Rio Branco along the road to Sena Madureira.",NA,"Acre",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1837354","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","16664","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837354","Bryophyta","Brid.","1983","05","10","Serra do Cachimbo. Rio Jamanxim and vicinity; 974-1024 km N of Cuiaba along Cuiaba-Santarem highway (BR 163).",NA,"Pará","-55.25","-7.67","300","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1837417","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","D. M. Vital","20567","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837417","Bryophyta","Brid.","1991","07","25","Serra Paranapiacaba, Fazenda Intervales, Rio do Carmo, along road to Iporanga.",NA,"São Paulo","-48.45","-24.33","500",NA,"600","Iporanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1837437","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13113","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129065' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837437","Bryophyta","Brid.","1978","02","12","ca. 10-15 km NW of Guayaramerin along the road to Cachuela Esperanza.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","456438","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","25607C","South America","French Guiana","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00456438","Bryophyta","Brid.","1994","09","09","Maripasoula; Mont Galbao, on trail to notch between NW and SE peaks",NA,"Saint-Laurent-du-Maroni","-53.27","3.6","225","R. A. Pursell","525","Saül",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1837383","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","1893","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129010' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837383","Bryophyta","Brid.","1977","11","21","BR 174, Manaus-Venezuela Highway. Km 517, just S of Igarape Dias.",NA,"Roraima",NA,NA,"100","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1837432","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","12999","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837432","Bryophyta","Brid.","1978","02","02","ca. 5 km W of Guayaramerin.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1837429","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","12921","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129056' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837429","Bryophyta","Brid.","1978","01","30","Vicinity of Guayaramerín; along a stream ca 5 km W of town.","NY01837429_01","El Beni",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1837409","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","R. Spruce","s.n.","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129036' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837409","Bryophyta","Brid.",NA,NA,NA,"San Gabriel.",NA,NA,NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1837427","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","12877","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129054' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837427","Bryophyta","Brid.","1978","01","27","7 km WSW of Guayaramerín along the road to Riberalta.","NY01837427_01","El Beni",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1837434","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13025","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129061' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837434","Bryophyta","Brid.","1978","02","05","Along low banks of the Rio Yata ca. 40 km WSW of Guayaramerin.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1837369","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13395","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128996' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837369","Bryophyta","Brid.","1978","03","15","2-4 above the first rapids on the Rio Pacaas Novos. Ridges of Serra dos Pacaas Novos along the river.",NA,"Rondônia","-64","-11",NA,"R. A. Pursell","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","227141","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","33347","South America","French Guiana","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227141","Bryophyta","Brid.","1997","11","14","Commune de Saül: Mont Galbao, source of la Mana Fleuve",NA,NA,"-53.27","3.6","500","R. A. Pursell","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1837341","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","N. Djan-Chékar","94-445","South America","Trinidad and Tobago","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837341","Bryophyta","Brid.","1994","08","07","Trinidad. Northern Range, Arima-Blanchisseuse Road, ca. 5 km N of Arima at sharp bend in road.","NY01837341_01",NA,"-61.28","10.7","225","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1837412","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","2015","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129039' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837412","Bryophyta","Brid.","1977","11","30","BR 174, Manaus-Venezuela Highway. Boca da Mata, vicinity of abandoned army base 216 km N of Boa Vista, ca. 2 km N of Rio Surumu, ca. 19 km S of Venezuela border.",NA,"Roraima",NA,NA,"800","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1837433","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13015","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129060' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837433","Bryophyta","Brid.","1978","02","05","Along low banks of the Rio Yata ca. 40 km WSW of Guayaramerin.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1837371","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13178","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128998' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837371","Bryophyta","Brid.","1978","02","24","15 km E of Rio Branco along the road to Abuna.",NA,"Acre",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1837428","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","12744","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837428","Bryophyta","Brid.","1978","01","24","Vicinity of Guayamerín.","NY01837428_01","El Beni",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1837414","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","D. M. Vital","19746","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837414","Bryophyta","Brid.","1991","07","06","Parque Nacional do Itatiaia, along entry road near border with Minas Gerais between Km 9 and Km 10.",NA,"Rio de Janeiro","-44.75","-22.37","2200",NA,"2240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1837375","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13281","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129002' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837375","Bryophyta","Brid.","1978","02","26","63 km SW of Rio Branco along the road to Brasileia.",NA,"Acre",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1837431","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","12912","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837431","Bryophyta","Brid.","1978","01","30","Vicinity of Guayaramerin, along a stream ca. 5 km W of town.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1837365","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13727","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128992' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837365","Bryophyta","Brid.","1978","03","30","Seringal Sao Luis, just below the first rapids on the Rio Pacaas Novos.",NA,"Rondônia","-64","-11",NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1837366","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13732","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837366","Bryophyta","Brid.","1978","03","30","Seringal Sao Luis, just below the first rapids on the Rio Pacaas Novos.",NA,"Rondônia","-64","-11",NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1837367","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13604","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837367","Bryophyta","Brid.","1978","03","24","Vicinity of the first rapids on the Rio Pacaas Novos. Ridges of Serra dos Pacaas Novos along the river.",NA,"Rondônia","-64","-11",NA,"R. A. Pursell","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1837387","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","3152","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129014' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837387","Bryophyta","Brid.","1979","08","25","Along the Rio Uatuma. Along E shore of Rio Uatuma at junction of Rio Pitinga.",NA,"Amazonas","-59.83","-1.52",NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
