"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"11","2019-09-04 20:01:29-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix",NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Monocotyledoneae",NA,"Type [status unknown]"
"12","2017-09-11 17:14:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,"in campis prope Tejuco in Serro Frio.; HABITAT: in campis prope Tejuco in Serro Frio.",NA,"P03P1N0028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 10:19:58-03","IBt","SP","204732","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Kral, R; Lopes, EA; Lima, E","72946","1985","07","31",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318","auto",NA,NA,NA,NA,NA
"14","2019-11-21 10:19:58-03","IBt","SP","204593","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Kral, R; Lopes, EA; Lima, E","72971","1985","07","31",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318","auto",NA,NA,NA,NA,NA
"15","2021-01-07 09:34:39-03","IBt","SP","454577","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Mota, NFO","2226","2011","04","10",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morro do Pilar","-43.3763999938965","-19.2155990600586","18539","auto",NA,NA,NA,NA,NA
"16","2020-12-30 07:49:03-03","IBt","SP","445000","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Ferreira Jr, CA","9192","2012","07","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"17","2019-11-21 10:19:58-03","IBt","SP","221701","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.","Wanderley, MGL","Wanderley, MGL; et al.","CFSC10693","1987","09","07",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Km 142. Caminho para Cachoeira da Farofa",NA,NA,NA,NA,NA,NA,"2010","06","07","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"18","2021-01-11 11:20:42-03","IBt","SP","472127","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Godoy, SAP","s.n.","1986","07","25",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"19","2020-11-19 09:30:08-03","IBt","SP","359856","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Munhoz, AC","4","2002","06","21",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"20","2019-11-21 10:19:58-03","IBt","SP","245336","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.","Wanderley, MGL","Wanderley, MGL; Giulietti, AM","CFSC11517","1989","05","20",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,"2010","06","07","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"21","2019-11-21 10:19:58-03","IBt","SP","247508","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.","Wanderley, MGL","Cavalcanti, TB; et al.","CFSC9892","1986","09","12",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 138, Alto do Palácio, próximo do rio",NA,NA,NA,NA,NA,NA,"2010","06","07","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"22","2019-11-21 10:19:58-03","IBt","SP","221743","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.","Wanderley, MGL","Wanderley, MGL; et al.","CFSC10704","1987","09","09",NA,"Brasil","Minas Gerais","Serra do Cipó, Serra das Bandeirinhas. Caminho para Cachoeira das Flores",NA,NA,NA,NA,NA,NA,"2014","02","18","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
