"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber","dayIdentified","individualCount"
"11","2019-10-11 15:59:07-03","UESC","UESC","7677","S","Plantae","Angiospermae","Florideophycidae","Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Goyder","Harley, R.M.","53649","1999","03","27",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.961667","-13.524444","1697","1697",NA,"Campo rupestre graminoso e com ciperáceas, poucos arbustos. Relevo fortemente inclinado. Solo pedregoso (quartzitico), com afloramento rochoso.; Trepadeira sobre arbustos.; Látex branco viscoso. Frequente nas altitudes acima de 1700","UESC0007677",NA,NA,"Dicotyledoneae","41W57'42''","13S31'28''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-04 12:51:34-03","MNHN","RECOLNAT_MNHN_P","P00552497","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, R.M.",NA,"1977","3","19",NA,"Brésil",NA,NA,"Middle and upper N.E. slopes of the Pico das Almas ca. 25 km. W.N.W. of the Vila do Rio de Contas",NA,NA,"1600","1850","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00552497' target='other'> <mi>dwc_moreinfo</mi></a>","P00552497","P00552497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19685",NA,NA
"13","2018-06-28 18:27:53-03","MNHN","RECOLNAT_MNHN_P","P01198586","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, R.M.|Bromley, G.L.|Carvalho, A.M.|Nunes, J.M.S.|Hage, J.L.|Santos, E.B.",NA,"1980","5","24",NA,"Brasil","Bahia","Palmeiras","Serra dos Lençois, Municipio de Palmeiras","-41.46667","-12.45","900","1100","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01198586' target='other'> <mi>dwc_moreinfo</mi></a>","P01198586","P01198586_01",NA,NA,NA,NA,NA,"Rapini",NA,NA,NA,NA,"22490",NA,NA
"14","2021-02-11 17:17:57-03","UFPR","UPCB","55259","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Rapini, A.","1163","2005","04","15",NA,"Brasil","Bahia","Palmeiras","Morro Mãe Inácio.","-41.383333","-12.566667",NA,NA,NA,"Trepadeira comum, flor alva. Visitada por vespa. Em vegetação aberta, graminosa, sobre solo encharcado, na base do Morro..",NA,NA,NA,NA,"-41.383333","-12.566667",NA,"Rapini, A.",NA,NA,"2005","01",NA,"01",NA
"15","2021-02-11 17:17:57-03","UFPR","UPCB","58686","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Santos, A.K.A.","1096","2007","03","13",NA,"Brasil","Bahia","Mucugê","Trilha para o Pico do Gobira, Gobira de cima","-41.366667","-13.066667","4699","4699",NA,"Trepadeira, ramos castanhos, folhas verdes levemente discolores, pedicelo e cálice castanhos, flor com corola creme..",NA,NA,NA,NA,"-41.366667","-13.066667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-03-29 15:15:00-03","MO","MOBOT","100934424","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","R.M. Harley","Harley 22490","1980","5","24","South America","Brazil","Bahia","Palmeiras","Serras dos Lençois. Middle and upper slopes of Pai Inácio ca. 15 km NW of Lençois, just N of the main Seabra-Itaberaba road.","-41.4666667","-12.45","900.00000000","1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A. Rapini",NA,NA,NA,NA,NA,NA,"1"
"17","2015-08-13 05:50:00-03","MO","MOBOT","2825638","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","R.M. Harley","Harley 26390","1988","11","11","South America","Brazil","Bahia",NA,"Rio de Contas. Pico das Almas. Vertente leste. Campo do Queiroz.","-41.95","-13.5333333","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A. Rapini",NA,NA,NA,NA,NA,NA,"1"
"18","2015-08-13 05:50:00-03","MO","MOBOT","1237507","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","R.M. Harley","Harley 19685","1977","3","19","South America","Brazil","Bahia",NA,"Middle and upper NE slopes of the Pico das Almas, ca 25 km WNW of the Vila do Rio de Contas, summit of ridge","-41.95","-13.55","1600.00000000","1850.00000000",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,"J. Fontella P.",NA,NA,NA,NA,NA,NA,NA
"19","2020-06-15 15:28:28-03","UNESP-RC","HRCB","36154","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Goyder","Harley, R.M.","53649","1999","03","27",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.961667","-13.524444","1697","1697",NA,"Trepadeira sobre arbustos, látex branco viscoso. Folhas verdes. Flor creme. Frequente nas altitudes acima de 1700 m",NA,NA,NA,NA,"41º57'42W","13º31'28S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 18:24:50-03","USP","SPF","103855","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Guedes, MLS","PCD613","1994","08","30",NA,"Brasil","Bahia","Palmeiras","Pai Inácio, lado oposto da torre de repetição. Campo rupestre. Vegetação rupícola em terreno plano. Arenito de afloramento rochoso.","-41.472222","-12.45","1090","1090",NA,"Trepadeira herbácea. Folhas simples, coreáceas, discolores. Flores de cor creme. Frutos imaturos verde.","SPF00103855",NA,NA,NA,"-41.472222","-12.45",NA,"Rapini, A",NA,NA,"1999",NA,NA,NA,NA
"21","2019-11-13 11:15:10-03","USP","SPF","105064","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Pereira, A","PCD1749","1995","04","24",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio, Fenda do Morro de Pai Inácio, a leste do Curaeiro. Mata de grotão. Vegetação arbustivo-arbórea densa, com epífitas. Afloramentos rochosos de arenito, solos litólicos e hidromórficos.","-41.471111","-12.457778","1125","1125",NA,"Erva volúvel. Folhas simples, levemente discolores, com látex alvo. Inflorescência com flores de cálice verde e corola alva.","SPF00105064",NA,NA,NA,"-41.471111","-12.457778",NA,"Conceição, AA",NA,NA,"1999",NA,NA,NA,NA
"22","2019-11-13 11:15:10-03","USP","SPF","147971","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, RM","53649","1999","03","27",NA,"Brasil","Bahia","Rio de Contas","Subida para o Pico das Almas. Campo rupestre graminoso e com ciperáceas, pouco arbustos. Relevo fortemente inclinado. Solo pedregoso (quartzitico), com afloramento rochoso.","-41.961667","-13.524444","1697","1697",NA,"Trepadeira sobre arbusto, látex branco viscoso. Folhas verdes. Flor creme. Frequente nas altitudes acima de 1700 m.","SPF00147971",NA,NA,NA,"-41.961667","-13.524444",NA,"Giulietti, AM",NA,NA,"1999","03",NA,"27",NA
"23","2021-03-23 11:51:25-03","USP","SPF","160095","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, RM","19685","1977","03","19",NA,"Brasil","Bahia",NA,"Serra das Almas, Middle and upper N.E. slopes of the Pico das Almas ca. 25 km W.N.W. of the Villa do Rio de Contas. Sandstone conglomarate metamorphic and quartzite rock outcrop with associated scrubby vegetation with damp flushes and grassland and m","-41.95","-13.55","1600","1850",NA,"Bushy climber with woody stems and white-latex. Leaves coriaceous, very dark glossy green above, pale beneath. Calyx pale green. Corolla cream.","SPF00160095","SPF00160095","holotype",NA,"-41.95","-13.55",NA,NA,NA,NA,"1986",NA,NA,NA,NA
"24","2019-11-13 11:15:10-03","USP","SPF","64826","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, RM","22523","1980","05","24",NA,"Brasil","Bahia","Lençóis","Middle and upper slopes of Pai Inácio, ca. 15 km NW of Lençóis, just N of the main Seabra-Itaberaba road. Município of Palmeiras. Open grassy slopes with sandstone rocks, and with low woodland.","-41.466667","-12.45","900","1100",NA,"Woody twiner with copious viscid white latex. Leaves coriaceous, glossy, bright green above with pale midrib and veins, pale beneath. Sepals green with pink tinged teeth. Corolla greenish-cream. Young fruit yellow-green with spreadin","SPF00064826",NA,NA,NA,"-41.466667","-12.45",NA,"Pereira, JF",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:15:10-03","USP","SPF","95563","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Sano, PT","CFCR14610","1994","02","26",NA,"Brasil","Bahia","Abaíra","Catolés, Serra do Barbado. Campo rupestre com mata no vale, ao longo do caminho da forquilha da Serra.","-41.901667","-13.290833","1750","2035",NA,"Escandente, com látex alvo; pétalas creme; corona verde-clara.","SPF00095563",NA,NA,NA,"-41.901667","-13.290833",NA,"Rapini, A",NA,NA,"1997","07",NA,NA,NA
"26","2019-11-13 11:15:10-03","USP","SPF","120823","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Grillo, AA","31","1996","08","18",NA,"Brasil","Bahia","Lençóis","Chapada Diamantina, Morro da Mãe Inácio.","-41.3899993896484","-12.563099861145",NA,NA,NA,"Trepadeira. Frutos verdes.","SPF00120823",NA,NA,NA,NA,NA,NA,"Conceição, AA","47385","auto","1997","06",NA,NA,NA
"27","2019-11-13 11:15:10-03","USP","SPF","159618","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Conceição, AA","814","2000","03","24",NA,"Brasil","Bahia","Mucugê","Guiné","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Liana com látex alvo. Flores alvas.","SPF00159618",NA,NA,NA,NA,NA,NA,"Conceição, AA","52493","auto","2003","10",NA,NA,NA
"28","2019-11-13 11:15:10-03","USP","SPF","123260","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Conceição, AA","432","1997","03","18",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio, Platô Cruz.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Flores alvas.","SPF00123260",NA,NA,NA,NA,NA,NA,"Rapini, A","20767","auto","1997","06",NA,NA,NA
"29","2019-10-07 09:13:36-03","UEFS","HUEFS","21310","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Pereira, A.","PCD1749","1995","04","24",NA,"Brasil","Bahia","Palmeiras","Pai Inácio, fenda do morro, a leste do cruzeiro.","-41.466667","-12.45","1125","1125",NA,"Mata de grotão. Vegetação arbustiva-arbórea densa, com epífitas. Afloramentos rochosos de arenito, solos litólicos e hidromórficos.","HUEFS0021310","HUEFS0021310",NA,"Asteranae","41W28'","12S27'",NA,"T.Konno",NA,NA,"2005","05",NA,NA,NA
"30","2019-10-07 09:13:36-03","UEFS","HUEFS","120352","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Santos, A.K.A.","1096","2007","03","13",NA,"Brasil","Bahia","Mucugê","Trilha para o Pico do Gobira. Gobira de cima.","-41.366667","-13.066667","4699","4699",NA,NA,"HUEFS0120352","HUEFS0120352",NA,"Asteranae","41W22'","13S4'",NA,"A.Rapini",NA,NA,"2007","08",NA,NA,NA
"31","2019-10-07 09:13:36-03","UEFS","HUEFS","120356","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Santos, A.K.A.","1100","2007","03","13",NA,"Brasil","Bahia","Mucugê","Trilha para o Pico do Gobira. Gobira de cima.","-41.366667","-13.066667","4699","4699",NA,NA,"HUEFS0120356","HUEFS0120356",NA,"Asteranae","41W22'","13S4'",NA,"A.Rapini",NA,NA,"2007","07",NA,NA,NA
"32","2019-10-07 09:13:36-03","UEFS","HUEFS","158692","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Myrtaceae Class","108","2008","08","08",NA,"Brasil","Bahia","Palmeiras","Road S of Palmeira to Guine de Baixo. Perto da Ponte.","-41.583333","-12.566667",NA,NA,NA,"Caatinga","HUEFS0158692","HUEFS0158692",NA,"Asteranae","41W35'","12S34'",NA,"A.Rapini",NA,NA,"2010","07",NA,NA,NA
"33","2019-10-07 09:13:36-03","UEFS","HUEFS","215219","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Rapini, A.","2053","2015","04","10",NA,"Brasil","Bahia","Mucugê","Vale do Paty, trilha para o Cacheirão pela Fenda.","-41.437222","-12.805278","1153","1153",NA,NA,"HUEFS0215219","HUEFS0215219",NA,"Asteranae","41W26'14''","12S48'19''",NA,"A.Rapini",NA,NA,"2015","09",NA,NA,NA
"34","2019-10-07 09:13:36-03","UEFS","HUEFS","96486","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Rapini, A.","1163","2005","04","15",NA,"Brasil","Bahia","Palmeiras","Morro Mãe Inácio.","-41.383333","-12.566667",NA,NA,NA,"Em vegetação aberta, graminosa, sobre solo encharcado, na base do Morro.","HUEFS0096486","HUEFS0096486",NA,"Asteranae","41W23'","12S34'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-07 09:13:36-03","UEFS","HUEFS","94656","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Cardoso, D.","420","2005","04","15",NA,"Brasil","Bahia","Palmeiras","Parque Nacional da Chapada Diamantina, Morro Mãe Inácia.","-41.466667","-12.45","1100","1100",NA,"Campo rupestre.","HUEFS0094656","HUEFS0094656",NA,"Asteranae","41W28'","12S27'",NA,"A.Rapini",NA,NA,"2005","06",NA,NA,NA
"36","2019-10-07 09:13:36-03","UEFS","HUEFS","37837","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, R.M.","53649","1999","03","27",NA,"Brasil","Bahia","Rio de Contas","Subida para o Pico das Almas.","-41.961667","-13.524444","1697","1697",NA,"Campo rupestre graminoso e com ciperáceas, poucos arbustos. &nf;Relevo fortemente inclinado. Solo pedregoso (quartzitico), com afloramento rochoso.","HUEFS0037837","HUEFS0037837",NA,"Asteranae","41W57'42''","13S31'28''",NA,"T.Konno",NA,NA,"2005","05",NA,NA,NA
"37","2019-10-07 09:13:36-03","UEFS","HUEFS","67878","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Silva-Pereira, V.","22","2002","04","20",NA,"Brasil","Bahia","Palmeiras","Serra dos Brejões.","-41.465556","-12.458333",NA,NA,NA,"Campo rupestre.","HUEFS0067878","HUEFS0067878",NA,"Asteranae","41W27'56''","12S27'30''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-07 09:13:36-03","UEFS","HUEFS","72461","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Rapini, A.","1058","2003","04","19",NA,"Brasil","Bahia","Rio de Contas","Kariambola Serra da Mesa, caminho Mato Grosso #?# Itobira.","-41.866667","-13.383333","1500","1500",NA,"Campo rupestre.","HUEFS0072461","HUEFS0072461",NA,"Asteranae","41W52'","13S23'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-10-07 09:13:36-03","UEFS","HUEFS","75401","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley, R.M.","19685","1977","03","19",NA,"Brasil","Bahia",NA,"Meddle and upper N.E. slopes of the Pico das Almas ca. 25km W.N.W. of the Vila de Rio de Contas. Sandstone conglomerate metamorphic and quartzite rock outcrop with associated scrubby vegetetion with damp flushes and grassland and marsh in some areas.","-41.95","-13.55","1600","1850",NA,NA,"HUEFS0075401","HUEFS0075401","Isótipo","Asteranae","41W57'","13S33'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-10-07 09:13:36-03","UEFS","HUEFS","215223","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Rapini, A.","2058","2013","04","29",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Campo rupestre.","HUEFS0215223","HUEFS0215223",NA,"Asteranae",NA,NA,NA,"A.Rapini","20767","auto","2015","08",NA,NA,NA
"41","2019-10-07 09:13:36-03","UEFS","HUEFS","251382","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Bitencourt, C.","320","2016","04","15",NA,"Brasil","Bahia","Abaíra","Trilha para a subida do Pico da Serra do Barbado. #?#Em campo rupestre.","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"HUEFS0251382",NA,NA,"Asteranae",NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA
"42","2020-07-23 11:58:26-03","CEPLAC","CEPEC","19590","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi",NA,"R. M. Harley","19685","1989","11","22",NA,"Brasil","Bahia","RIO DE CONTAS","Ao NE do Meio e acima da rampa do Pico das Almas. Ca. 25Km ao WNW da Vila do Rio de Contas.","-41.95","-13.55",NA,NA,NA,NA,NA,NA,"Holótipo",NA,"41W57'","13S33'","01/11/1986","J. Fontella",NA,NA,NA,NA,NA,NA,NA
"43","2020-07-23 11:58:26-03","CEPLAC","CEPEC","31578","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi",NA,"R. M. Harley","22523","1994","09","28",NA,"Brasil","Bahia","palmeiras","15Km ao NW Lencois, ao N Rod. Seabra/Itaberaba. Meio e acima rampa Pai Inacio.","-41.466667","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,"41W28'","12S27'","13/11/1986","J. Fontella",NA,NA,NA,NA,NA,NA,NA
"44","2020-07-23 11:58:26-03","CEPLAC","CEPEC","120148","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi",NA,"A. Rapini","1163","2005","04","15",NA,"Brasil","Bahia","palmeiras","Morro Mãe Inácio.","-41.383333","-12.566667",NA,NA,NA,NA,NA,NA,NA,NA,"41W23'","12S34'","30/12/2005","A. Rapini",NA,NA,NA,NA,NA,NA,NA
"45","2020-07-23 11:58:26-03","CEPLAC","CEPEC","68104","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi",NA,"M. L. Guedes",NA,"1994","08","30",NA,"Brasil","Bahia","palmeiras","Pai Inácio, lado oposto da torr de repetição.","-41.472222","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,"41W28'20","12S27'0","30/03/2004","A. Rapini",NA,NA,NA,NA,NA,NA,NA
"46","2020-07-23 11:58:26-03","CEPLAC","CEPEC","69306","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi",NA,"A. Pereira","1749","1995","04","24",NA,"Brasil","Bahia","palmeiras","Pai Inácio. Fenda do morro do Pai Inácio, a leste do cruzeiro.","-41.471111","-12.457778",NA,NA,NA,NA,NA,NA,NA,NA,"41W28'16","12S27'28","08/10/2001","T. Konno",NA,NA,NA,NA,NA,NA,NA
"47","2020-07-23 11:58:26-03","CEPLAC","CEPEC","99954","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi",NA,"R. M. Harley","53649","1999","03","27",NA,"Brasil","Bahia","RIO DE CONTAS","Subida para o Pico das Almas.","-41.961667","-13.524444",NA,NA,NA,NA,NA,NA,NA,NA,"41W57'42","13S31'28","30/12/1999","R. M. Harley",NA,NA,NA,NA,NA,NA,NA
