"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"11","2015-09-19 19:05:59-03","MNHN","RECOLNAT_MNHN_P","P00605630","PreservedSpecimen",NA,NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis & Wilmot-dear","Mathews, M.",NA,NA,NA,NA,NA,"Pérou",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00605630' target='other'> <mi>dwc_moreinfo</mi></a>","P00605630","P00605630_01","Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"2036",NA,NA
"12","2003-06-27 10:51:12-03","MNHN","RECOLNAT_MNHN_P","P00605631","PreservedSpecimen",NA,NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis & Wilmot-dear","Spruce, R.",NA,"1855","6",NA,NA,"Pérou",NA,NA,"Prope Tarapoto",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00605631' target='other'> <mi>dwc_moreinfo</mi></a>","P00605631","P00605631_01","Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"3962",NA,NA
"13","2015-09-05 11:21:10-03","MNHN","RECOLNAT_MNHN_P","P06873627","PreservedSpecimen",NA,NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Haught, O.",NA,"1942","10","9",NA,"Equador",NA,NA,"Prov. Manabi, near Santana. Equador",NA,NA,"100",NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06873627' target='other'> <mi>dwc_moreinfo</mi></a>","P06873627","P06873627_01","Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"3500",NA,NA
"14","2015-09-05 11:21:37-03","MNHN","RECOLNAT_MNHN_P","P06873633","PreservedSpecimen",NA,NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Poeppig",NA,NA,NA,NA,NA,"Peru",NA,NA,"Peruvia subandina. Peru",NA,NA,NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06873633' target='other'> <mi>dwc_moreinfo</mi></a>","P06873633","P06873633_01","Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1623",NA,NA
"15","2020-12-11 11:42:39-03","UFMG","BHCB","154377","PreservedSpecimen","Plantae","Dicotyledon",NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Santos, LB","567","2010","05","20","Southern America","Brasil","São Paulo","Botucatu","Parque Ecológico da Pavuna, Da sede até a trilha da esquerda na entrada das cachoeiras, depois até bifurcação final à direita e a esquerda.","-46.511111","-22.8375","750","750",NA,"Arbusto, beira do rio, folhas membranáceas, flores diminutas axilares.; Mata Atlântica, floresta estacional semidecídua.","BHCB012566",NA,"Wedd.","2010",NA,"-46.511111","-22.8375","09","10",NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","715969","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis (KEW)","Alwyn H. Gentry|Douglas C. Daly|S. Cruz C.","Gentry 18801","1977","3","29","South America","Peru","Huánuco",NA,"La Divisora, Tingo Maria-Pucallpa road near Loreto border.","-75.79222","-9.16638","1150.00000000","1250.00000000",NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1045","1",NA
"17","2008-11-21 03:32:00-02","MO","MOBOT","3339052","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R.Liesner (MO)","Juan Perea","Perea 2734","2006","8","19","South America","Peru","Cajamarca","San Ignacio","Dist. Huarango. Caserio Selva Andina, trocha del conducto de agua. Bosque premontano.","-78.23472","-5.03388","1616.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"18","2014-01-02 05:36:00-02","MO","MOBOT","100173435","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R. Liesner (MO)","D. Villarroel|Aquilino Molina|G.A. Parada","Villarroel Segarra 37","2005","8","9","South America","Bolivia","Santa Cruz","Florida","Bella Vista, Sendero Ecológico el Cañadon, Bsoque Tucumano-Boliviano, con sotobosque de Piper, Randia, el estrato herbáceo dominado por helechos devido a la elevada húmedad producidad por un arroyo.","-63.8055556","-18.1966666","1480.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"19","2017-02-01 10:36:00-02","MO","MOBOT","100252875","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","A. Fuentes (LPB)","I. Loza|S. Achá|M. Reguerin|F. Delgado|F. Miranda","Loza Rivera 1184","2009","7","11","South America","Bolivia","La Paz","Franz Tamayo","Parque Nacional Madidi, Pelechuco - Río abajo, bajando del campamento Tanhuara cruzando el río Pelechuco.","-68.9439722","-14.7463611","2291.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"09-21","4",NA
"20","2012-07-31 15:14:00-03","MO","MOBOT","100300893","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R. Liesner (MO)","Luzmila Arroyo P.|E. Cervantes|V.D. Rojas|E. Flores|M. Condori|H. Soliz","Arroyo Padilla 4165","2008","8","29","South America","Bolivia","Santa Cruz","Vallegrande","Comunidad de Dionisio, sobre el camino hacia Masicurí.","-63.8797223","-18.7872222","1254.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","2020-08-10 22:34:00-03","MO","MOBOT","100342596","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","A. Fuentes (LPB)","Gabriel Arellano|Pablo Solíz|Pinto, Honorato|Mamani, Santiago|Mamani, Aníbal","Arellano Torres 488","2009","8","26","South America","Bolivia","La Paz","Franz Tamayo","Santa Ana, bajando desde Pelechuco por el camino antiguo de Pelechuco a Apolo. Parcela temporal de muestreo (0,1 ha). Plantas alcoholizadas.","-68.9661556","-14.7626303","2244.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"09-08","4",NA
"22","2010-12-10 08:13:00-02","MO","MOBOT","1055838","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis & Wilmot-Dear (K)","Thomas B. Croat","Croat 38817","1976","9","4","South America","Ecuador","Pichincha",NA,"Along road between Nono and Nanegal, NW of Quito; disturbed areas along highway; steep forested slopes.",NA,NA,"2200.00000000","2270.00000000",NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2017-10-25 05:23:00-02","MO","MOBOT","1061884","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","Eric F. Rodríguez Rodríguez","Rodríguez Rodríguez 708","1995","11","1","South America","Peru","Cajamarca","San Ignacio","Dist. San José de Lourdes, Caserío Santo TomasBosque primario.","-78.83333","-4.91666","2200.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"24","2013-05-07 06:03:00-03","MO","MOBOT","1126230","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Ynés Mexia","Mexia 7006",NA,NA,NA,"South America","Ecuador","Tungurahua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-10-25 05:23:00-02","MO","MOBOT","1158985","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R. Vasquez (MO)","Eric F. Rodríguez Rodríguez|et al.","Rodríguez Rodríguez 1436","1997","2","6","South America","Peru","Amazonas","Condorcanqui","Distrito El Cenepa, Comunidad de Mamayaque. Bosque primario, arriba de la quebrada Saása.","-78.22944","-4.61888","500.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"26","2014-04-04 05:49:00-03","MO","MOBOT","1160015","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","Rodolfo Vásquez|Rocío Rojas","Vásquez Martínez 21896","1996","11","29","South America","Peru","Amazonas","Luya","Distrito Camporedondo, Tullanya. Quebrada San Francisco, borde de quebrada.","-78.35138","-6.15194","1700.00000000","2000.00000000",NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"27","2014-04-04 05:50:00-03","MO","MOBOT","1253898","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","Rodolfo Vásquez|et al.","Vásquez Martínez 24106","1997","6","20","South America","Peru","Amazonas","Condorcanqui","Distrito El Cenepa, Comunidad de San Antonio. Bosque de ribera, Río Cenepa.","-78.175","-4.49166","300.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
"28","2013-05-07 06:03:00-03","MO","MOBOT","1307868","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis & Wilmot-Dear","Ynés Mexia","Mexia 4293","1935","12","13","South America","Bolivia","La Paz","Sud Yungas","Colaya; understory virgin forest.",NA,NA,"1810.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","1307870","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis & Wilmot-Dear","Miguel Bang","Bang 328","1890",NA,NA,"South America","Bolivia","La Paz","Nor Yungas","Yungas.","-68.01","-15.75",NA,NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-03-25 06:57:00-03","MO","MOBOT","1307874","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Friis & Wilmot-Dear","Christopher Davidson","Davidson 4989","1976","11","12","South America","Bolivia","La Paz","Nor Yungas","Carr. fundam. 3, 16.2 km SW of Yolosa jct., toward Unduavi. Up a narrow stream channel, very sandy, rocky and mossy. Holdridge life zone: very humid montane sub-tropical rainforest.",NA,NA,"2133.60000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2011-03-29 14:14:00-03","MO","MOBOT","1313518","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","José Campos de la Cruz|et al.","Campos de la Cruz 3826","1997","4","9","South America","Peru","Cajamarca","San Ignacio","San José de Lourdes. Camaná (Quebrada La Plata). Bosque primario.","-78.85833","-5.03333","1700.00000000","1800.00000000",NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"32","2011-03-29 14:14:00-03","MO","MOBOT","1314960","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","José Campos de la Cruz|S. Corrales","Campos de la Cruz 3502","1997","3","7","South America","Peru","Cajamarca","San Ignacio","San Ignacio. Localidad Camaná. Bosque primario.","-78.91666","-5.06666","1250.00000000","1800.00000000",NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
"33","2013-12-26 10:54:00-02","MO","MOBOT","1477583","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R.Liesner (MO)","Stephan G. Beck","Beck 217","1978","12","30","South America","Bolivia","La Paz","Sud Yungas","Entre Yanacachi y La Chojilla. ** Medio camino entre Yanacachi y mina La Chojilla. Bosque montañosa, exp. SE, empinado",NA,NA,"2100.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","1532913","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R.Liesner (MO)","Michael H. Nee","Nee 44404","1994","1","8","South America","Bolivia","Santa Cruz","Florida","Quebrada La Coca, 7 km (by air) SW of Bermejo, ca. 0.5 km S of main highway from Santa Cruz to Samaipata","-63.69166","-18.15416","1130.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2014-04-04 05:51:00-03","MO","MOBOT","1553824","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","José Campos de la Cruz|Rodolfo Vásquez","Campos de la Cruz 6475","2000","2","18","South America","Peru","Cajamarca","San Ignacio","San José de Lourdes Bosque secundario","-78.93333","-5.75","1020.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","1762955","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","I. Friis & C.M. Wilmot-Dear","Laurence J. Dorr|et al.","Dorr 6725","1989","12","13","South America","Bolivia","La Paz","Sud Yungas","Ca. 9 km from Huancané on the road to San Juan Isidro. Bosque de alta montaña con Podocarpus. Area distrurbed by logging","-67.53333","-16.36666","2540.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","1763160","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R.Liesner (MO)","Stephan G. Beck","Beck 7527","1982","4","1","South America","Bolivia","La Paz","Nor Yungas","Coroico-Yolosa, subiendo el río San Juan a 10 kms. Bosque montañoso, algo alterado",NA,NA,"2100.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-07-04 05:49:00-03","MO","MOBOT","1774023","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","!C.M. Wilmot-Dear (K)","Thomas B. Croat|Lynn P. Hannon|Petra E. Schmidt","Croat 86518","2002","8","12","South America","Ecuador","Morona-Santiago",NA,"Along road from Limón (Gen. Plaza Guttiérrez) and Macas, 23.5 Km north of Limón.","-78.36583","-2.83916","824.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1048","3",NA
"39","2013-07-04 05:49:00-03","MO","MOBOT","1774457","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","Thomas B. Croat|Lynn P. Hannon|Petra E. Schmidt","Croat 86535","2002","8","13","South America","Ecuador","Morona-Santiago",NA,"Along road between Macas and Riobamba, between Proaño and Parque Nacional Sangay, 28.6 Km west of Proaño.","-78.27777","-2.24194","1659.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1053","3",NA
"40","2015-02-26 21:34:00-03","MO","MOBOT","1829574","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","C.M. Wilmot-Dear (K)","Linder Suin|A. Jimbicti|F. Shiñike","Suin 1808","2002","5","11","South America","Ecuador","Morona-Santiago","Morona","Cordillera del Cutucú. Asociación Shuar Sevilla. Comunidad Angel Ruby. Tras el Cerro Iñiak naint. Bosque Primario, suelo colinado.","-78.05583","-2.33805","2213.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2011-04-07 18:03:00-03","MO","MOBOT","1852803","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R.Liesner (MO)","Manuel J. Macía|et al.","Macía 4723","2001","6","20","South America","Bolivia","La Paz","Abel Iturralde","Parque Nacional Madidi. Bosque tropical lluvioso primario. Tierra firme fuerte pendiente, región de Tumupasa","-67.90777","-14.17138","945.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2011-03-24 09:10:00-03","MO","MOBOT","2346875","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Richard Spruce","Spruce 3962","1855",NA,NA,"South America","Peru","San Martín","San Martín","Prope Tarapoto.",NA,NA,NA,NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Type"
"43","2011-04-07 18:02:00-03","MO","MOBOT","1868138","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","R.Liesner (MO)","Manuel J. Macía|et al.","Macía 4555","2001","5","19","South America","Bolivia","La Paz","Abel Iturralde","Parque Nacional Madidi. Bosque tropical lluvioso primario. Plano inundable próximo al río Yariapo, región de Tumupasa","-67.94277","-14.21111","535.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2009-08-06 13:59:00-03","MO","MOBOT","1883130","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","!C.M. Wilmot-Dear (K)","Thomas B. Croat|Lynn P. Hannon|Noel Altamirano","Croat 87668","2003","4","17","South America","Ecuador","Napo",NA,"Along road from Baeza to El Chaco, vic. Río Sardinas Grande, along Río Quijos, disturbed area along swampy pasture; 6 Km NNE of San Francisco Borja.","-77.81694","-0.37555","1767.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1121","6",NA
"45","2009-07-17 16:36:00-03","MO","MOBOT","1892384","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","!C.M. Wilmot-Dear (K)","Thomas B. Croat|Mark Menke","Croat 89295","2003","5","23","South America","Ecuador","Morona-Santiago",NA,"Along road between Limón and Gualaquiza, 12.0 Km S of Plan de Milagro (jct. of Limón-Gualaceo Rd.), 5.8 Km S of Indanza at Río Cruzada, 14.1 Km N of San Juan Bosco.","-78.525","-3.04722","1219.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1191","5",NA
"46","2009-07-17 16:36:00-03","MO","MOBOT","1904363","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","!C.M. Wilmot-Dear (K)","Thomas B. Croat|Mark Menke","Croat 89849","2003","5","31","South America","Ecuador","Zamora-Chinchipe",NA,"Along road from Zamora to Loja, 79.9 Km E of summit and border with Loja Province.","-79.02055","-3.98861","1402.00000000",NA,NA,NA,NA,NA,"Wedd.",NA,NA,NA,NA,NA,NA,NA,NA,"1211","4",NA
