"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","relationshipType","sex"
"15","2021-03-15 16:37:00-03","NY","NYBG","1550422","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","H. H. van der Werff","G. T. Prance","29093","1984","02","15","Brazil","Amazonas",NA,"Plateau of northern massif of Serra Aracá. Southern extremity of Northen Plateau of Serra Aracá","-63.358","0.9",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817071' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550422","NY01550422_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1550412","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","G. T. Prance","20465","1974","03","13","Brazil","Amazonas",NA,"Manaus-Porto Velho Highway, BR319, Manaus-Porto Velho Road, km. 245, 3km. south of Igapó Açu","-61.29","-4.7086",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817032' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550412","NY01550412_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 07:33:00-03","NY","NYBG","1550398","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,"H. H. van der Werff","H. C. de Lima","3208","1987","11","17","Brazil","Amazonas","São Gabriel da Cachoeira","Alto Rio Negro, Rio Uaupés, Ipanuré, estrada para Urubuquara","-67.0892","-0.130278",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550398","NY01550398_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","469326","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","B. Coe-Teixeira","P. K. H. Dusén","10109a","1911","08","14","Brazil","Paraná","Morretes","Morretes. (Marumby's basalregion)","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82461' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469326","NY00469326_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","469335","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","A. F. M. Glaziou","19794",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469335","NY00469335_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1039668","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","M. L. Brotto","M. L. Brotto","386","2009","10","20","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas.","-48.7028","-24.7875",NA,NA,"800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488743' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039668","NY01039668_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","469315","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","G. G. Hatschbach","J. M. Silva","3082","1999","10","04","Brazil","Paraná","Tunas do Paraná","Pacas","-49.0856","-24.9744",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469315","NY00469315_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-30 07:33:00-03","NY","NYBG","1550424","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,"H. H. van der Werff","J. J. Pipoly","6827","1984","03","13","Brazil","Amazonas",NA,"Serra Aracá, 1/2-1 hr walk along serenguero trail 220º S of base camp to Rio Jaurai.","-63.133333","-0.8",NA,NA,"140","140","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817073' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550424","NY01550424_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01091767","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","H. H. van der Werff","A. M. Amorim","4804","2005","02","07","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra.","-39.2028","-14.7703",NA,NA,"600","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091767","NY01091767_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","469330","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez",NA,"A. P. Duarte","5336","1960","07","26","Brazil","Paraná","Guaratuba","Rio da Praia","-48.5744","-25.8831",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469330","NY00469330_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","469332","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez",NA,"A. F. M. Glaziou","17733","1888","11","05","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469332","NY00469332_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-30 07:33:00-03","NY","NYBG","1550393","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,"D. M. Johnson","A. S. Tavares","57","1984","02","16","Brazil","Amazonas",NA,"Platô da Serra do Aracá, parte SE da Serra Norte. Ao longo do 1º. rio.","-63.3745909","0.9016571",NA,NA,"1150","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550393","NY01550393_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","469318","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","G. G. Hatschbach","G. G. Hatschbach","19602","1968","08","14","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"100","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469318","NY00469318_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","469357","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","J. B. E. Pohl","144",NA,NA,NA,"Brazil",NA,NA,"(loco non indicata)",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469357","NY00469357_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","469338","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","R. P. Belém","1080","1965","05","21","Brazil","Bahia","Una","Una","-39.076046","-15.295146",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469338","NY00469338_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-30 07:33:00-03","NY","NYBG","1550388","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,"J. G. Rohwer","N. A. Rosa","2302","1978","01","30","Brazil","Amazonas",NA,"Amazonas, margens do R. da serra Aracá","-63.3745909","0.9016571",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550388","NY01550388_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1550421","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","J. C. Ongley","P21780","1974","04","01","Brazil","Amazonas",NA,"Rio Cuieiras, 50 Km upstream","-60.3236344","-2.6235947",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817069' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550421","NY01550421_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1550376","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","H. H. van der Werff","B. Maguire","56478","1963","09","01","Brazil","Mato Grosso",NA,"Rio Juruena. Brasilia-Acre Highway.","-59.035335","-13.551734",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816956' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550376","NY01550376_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01096248","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez",NA,"L. C. de S. Assis","1038","2004","06","29","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Prainha.","-43.8833","-21.7167",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235816' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096248","NY01096248_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1183600","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","W. Milliken","D. Sasaki","488","2006","09","29","Brazil","Mato Grosso","Novo Mundo","Área particular de preservação ambiental, delimitada pelo Parque Estadual Cristalino e lepos Rios Teles Pires e Cristalino. Na margem do baixo Rio Cristalino.","-55.92486","-9.62822",NA,NA,"220","220","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1449776' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183600","NY01183600_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","469339","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","G. G. Hatschbach","61571","1995","01","16","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469339","NY00469339_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1550423","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","H. H. van der Werff","G. T. Prance","28871","1984","02","07","Brazil","Amazonas",NA,"Base of Serra do Aracá, 0-3km South of Central Massif, 3km E of rio Jauarí","-63.4317094","0.874452",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817072' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550423","NY01550423_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-30 07:33:00-03","NY","NYBG","1550408","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla",NA,"H. H. van der Werff","C. A. Cid Ferreira","9334","1987","10","10","Brazil","Amazonas","Santa Isabel do Rio Negro","7 Km atrás da cidade de Stª Isabel, próximo ao antigo aeroporto.","-64.983333","-0.366667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550408","NY01550408_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","469351","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","R. Reitz","R. Reitz","3780","1956","09","28","Brazil","Santa Catarina","Palhoça","Pilhoes, Palhoça","-48.6678","-27.6456",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469351","NY00469351_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1550413","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","H. H. van der Werff","W. W. Thomas","5321","1986","07","04","Brazil","Amazonas","Presidente Figueiredo","Represa de Balbina","-59.4734144","-1.9155557",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1817034' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550413","NY01550413_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","469341","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","I. de Vattimo","E. Pereira","2113","1956","12","06","Brazil","Espírito Santo","Castelo","Forno Grande","-41.119633","-20.525512",NA,NA,"1000","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469341","NY00469341_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1550379","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","B. Maguire","60456","1965","12","02","Brazil",NA,NA,"Sierra da Neblina, Rio Negro, Rio Cauaburí, Brazil. Along open slopes to base of cliffs.","-66.006382","0.804816",NA,NA,"2591","2743","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550379","NY01550379_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","822593","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","J. G. Rohwer","J. M. Silva","3229","2000","09","23","Brazil","Paraná","Tunas do Paraná","Estradas Pacas ao Parque das Lauráceas","-49.0856","-24.9744",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=913623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822593","NY00822593_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","469352","PreservedSpecimen","Plantae","Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","(Nees) Mez","I. de Vattimo","R. Reitz","9135","1959","09","18","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.134583","-27.026611",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469352","NY00469352_01",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
