"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","month","day","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1599211","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","R. Goldenberg",NA,"A. Schinini","1997","Argentina","Salta","Orán","Finca San Andrés Los Naranjos. Yungas.","-64.7519","-23.0731",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971653' target='other'> <mi>dwc_moreinfo</mi></a>","NY01599211","NY01599211_01","32931","10","28","South America","sheet",NA,"Magnoliophyta","Myrtales","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1599203","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","J. J. Wurdack",NA,"F. J. Fernández Casas","1980","Paraguay",NA,NA,"Parque Nacional de Ybycuí, cerca de la casa forestal.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=915506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01599203","NY01599203_01","3540","09","13","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3677918","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"G. Calatayud","2003","Peru","Cusco","La Convención","Dist. Huayopata, Amaybamba. Quebrada Quinsapuncuyoc.","-72.5","-12.98",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3945849' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677918","NY03677918_01","1732","07","15","South America","sheet",NA,"Magnoliophyta","Myrtales","1690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3270463","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"E. P. Killip","1929","Peru","Junín",NA,"Puerto Bermudez",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581986' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270463",NA,"26472","07","14","South America","sheet",NA,"Magnoliophyta","Myrtales","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 16:45:00-03","NY","NYBG","01856203","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens",NA,"F. Almeda",NA,"C. Grández","1987","Peru","Loreto","Maynas","Río Correnties, Couvenio IIAP-Petroperu, caserio cuchara.","-75.25","-3.75",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2206887' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856203","NY01856203_01","940","03","24","South America","sheet",NA,"Magnoliophyta","Myrtales","150","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3270408","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"H. H. Rusby","1886","Bolivia",NA,NA,"Mapiri",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581838' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270408",NA,"2264","04","01","South America","sheet",NA,"Magnoliophyta","Myrtales","1524","1524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-27 06:38:00-03","NY","NYBG","02137306","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens",NA,"F. Almeda",NA,"P. Nuñez Vargas","1990","Peru","Madre de Dios","Tambopata","Cusco Amazónico Lodge. 15 km NE of Puerto Maldoønado.","-69.05","-12.58333",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2283218' target='other'> <mi>dwc_moreinfo</mi></a>","NY02137306","NY02137306_01","12194","06","18","South America","sheet",NA,"Magnoliophyta","Myrtales","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02676221","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"F. A. Michelangeli","2016","Peru","Pasco","Oxapampa","Dist. Pozuzo. Zona de amortiguamiento del Parque Nacional Yanachaga-Chemillen, sendero ca. 1km al norte del limite del parque al Este de la carretera via Pozuzo","-75.56772","-10.17208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2923660' target='other'> <mi>dwc_moreinfo</mi></a>","NY02676221","NY02676221_01","2711","03","19","South America","sheet",NA,"Magnoliophyta","Myrtales","990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3677913","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"G. Calatayud","2003","Peru","Cusco","La Convención","Dist. Vilcabamba, Oyara-Paltaybamba.","-72.83","-13.03",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3945841' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677913","NY03677913_01","1949","09","23","South America","sheet",NA,"Magnoliophyta","Myrtales","1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","3270462","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"J. D. Boeke","1980","Peru","Puno","Carabaya","Ollachea - San Gaban road. Arica.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581985' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270462",NA,"3144","08","20","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","521265","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","J. J. Wurdack",NA,"D. N. Smith",NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521265","NY00521265_01","8372",NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","822775","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","R. Goldenberg",NA,"P. Fiaschi","2003","Brazil","Bahia","Floresta Azul","Entrada a ca. 12 km à esq. Na estrada de Floresta Azul para Itapetininga, Haras Binau. Ca. 9 km da entrada, acesso para a torre da COELBA.","-39.7","-14.93",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822775","NY00822775_01","1491","04","23","South America","sheet",NA,"Magnoliophyta","Myrtales","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00916915","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","J. J. Wurdack",NA,"J. M. Pires","1978","Brazil","Mato Grosso",NA,"Sararé, RADAMBRASIL, ponto 71.","-58.67","-15.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916915","NY00916915_01","16488","08","06","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00987197","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"C. R. Sperling","1982","Brazil","Pará",NA,"AMZA camp 3-Alfa, ca. 6 km. on road northwest of 3-Alfa to camp 4-Alfa","-50.57","-5.78",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987197","NY00987197_01","6023","06","09","South America","sheet",NA,"Magnoliophyta","Myrtales","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","3270406","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"O. Buchtien","1927","Bolivia","La Paz",NA,"Región de Mapiri, San Carlos, bei Sarampinni",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581836' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270406",NA,"1078","03","18","South America","sheet",NA,"Magnoliophyta","Myrtales","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","522454","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","R. Goldenberg",NA,"M. Sobral","1987","Brazil","Bahia","Ilhéus","Reserva do CEPEC, quadra D","-39.22095","-14.7739696",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522454","NY00522454_01","5464","03",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","521258","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","J. J. Wurdack",NA,"J. E. Simonis","1983","Paraguay","Amambay",NA,"Chirigüelo, 13 km E of PN Cerro Cora, Weaver's ranch",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521258","NY00521258_01","206","03","26","South America","sheet",NA,"Magnoliophyta","Myrtales","200","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00987200","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"C. R. Sperling","1982","Brazil","Pará",NA,"AMZA camp 3-Alfa, ca. 6 km. on road northwest of 3-Alfa to camp 4-Alfa","-50.57","-5.78",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987200","NY00987200_01","6023","06","09","South America","sheet",NA,"Magnoliophyta","Myrtales","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00987203","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"G. T. Prance","1973","Brazil","Amazonas",NA,"Ilha Aramaçá, almost opposite Tabatinga","-69.9164","-4.3331",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987203","NY00987203_01","16742","07","23","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","2423188","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"L. F. Bacci","2015","Brazil","Espírito Santo","Governador Lindenberg","Matinha prop. Cleisson Nicoli.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685471' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423188","NY02423188_01","163","05","13","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","3270390","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"J. Solomon","1982","Bolivia","El Beni","Vaca Diez","ca 5 km SW of Riberalta.","-66.12","-11.03",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581820' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270390",NA,"7909","06","03","South America","sheet",NA,"Magnoliophyta","Myrtales","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","3270473","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"J. Jones","1979","Peru","Huanuco","Leoncio Prado","Cordillera Azul. Ca 38.2 km E of Tingo Maria on the road to Pucallpa. Dense primary forest on steep NW slope.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581996' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270473",NA,"9304","11","19","South America","sheet",NA,"Magnoliophyta","Myrtales","1585","1585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","4238768","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"F. A. Michelangeli","2017","Peru","Pasco","Oxapampa","Palcazú, Parque Nacional Yanachaga-Chemillén, sector Paujil; claro en los alrededores de la estación","-75.2633","-10.3242",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3397375' target='other'> <mi>dwc_moreinfo</mi></a>","NY04238768",NA,"2828","07","15","South America","Sheet",NA,"Magnoliophyta","Myrtales","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","3270437","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"W. Camp","1944","Ecuador",NA,NA,"Santiago-ZamoraAlong rio Upano just north of junction with rio Chupiantza, near Mendez",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581867' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270437",NA,"E-1003","11","14","South America","sheet",NA,"Magnoliophyta","Myrtales","671","671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","521271","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","J. J. Wurdack",NA,"R. S. Pinheiro","1967","Brazil","Bahia","Ilhéus","CEPEC","-39.2281","-14.7536",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521271","NY00521271_01","330","10","27","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00916921","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","J. J. Wurdack",NA,"J. H. Kirkbride Jr.","1981","Brazil","Distrito Federal","Brasília","Na margem do Rio das Salinas.","-47.95","-15.52",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916921","NY00916921_01","3957","02","26","South America","sheet",NA,"Magnoliophyta","Myrtales","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","3270478","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"G. Klug","1932","Peru","San Martin","Lamas","Pongo de Cainarachi [Caynarachi], Río Cainarachi, Tributary of Río Huallaga; forest clearing",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3582001' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270478",NA,"2633","09","01","South America","sheet",NA,"Magnoliophyta","Myrtales","230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","3677097","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"L. Valenzuela Gamarra","2002","Peru","Cusco",NA,"Dist. Santa Ana, Subcuenca Chuyapi, Poromate, Bosque Primario húmedo","-72.79166","-12.92861",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3913537' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677097","NY03677097_01","477","09","17","South America","Sheet",NA,"Magnoliophyta","Myrtales","1800","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","3697768","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"A. L. Monteagudo Mendoza","2003","Peru","Pasco","Oxapampa","Distrito Palcazu. PNYanachaga-Chemillen. Bosque primario frente a la Estacion Biologica Paujil","-75.25","-10.32",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4056819' target='other'> <mi>dwc_moreinfo</mi></a>","NY03697768","NY03697768_01","5396","05","20","South America","Sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","03270369","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"S. G. Beck","2005","Bolivia","Tarija","Aniceto Arce","Pie de ladera y terraza sobre la quebrada Churuma. Bosque Tucumano Boliviano. Bosque caducifolio con algunos elementos siempreverdes, mantillo de hojarasca de 10 cm, estrato herbAceo con pocas especies.","-64.1886","-22.2619",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581696' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270369",NA,"31361","10","07","South America","sheet",NA,"Magnoliophyta","Myrtales","770","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","03270371","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"J. Solomon","1988","Bolivia","La Paz","Nor Yungas","21.1 km al noroeste del camino entre Yolosa y Caranavi por el camino a Suapi. Ca. 2.5 km al oeste de Suapi, cerca del puente sobre el Río Suapi. Bosque húmedo muy tocado.","-67.78","-16.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581713' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270371",NA,"18426","05","27","South America","sheet",NA,"Magnoliophyta","Myrtales","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","3697839","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","F. A. Michelangeli",NA,"R. Vásquez Martínez","2008","Peru","Pasco","Oxapampa","Dist. Palcazu. Carretera Buenos Aires a Chuchurras.","-75.2183","-10.1258",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057040' target='other'> <mi>dwc_moreinfo</mi></a>","NY03697839","NY03697839_01","34080","05","19","South America","Sheet",NA,"Magnoliophyta","Myrtales","276","276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","521257","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","H. A. Gleason",NA,"J. Cuatrecasas","1941","Colombia","Norte de Santander",NA,"Cordillera Oriental; region del Sarare: Hoya del Rio margua, Junín",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521257","NY00521257_01","13362","11","21","South America","sheet",NA,"Magnoliophyta","Myrtales","920","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","3270483","PreservedSpecimen","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,NA,"Y. E. J. Mexia","1931","Peru","Loreto",NA,"Left bank of Rio Santiago above Pongo de Manseriche",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3582006' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270483",NA,"6264","12","12","South America","sheet",NA,"Magnoliophyta","Myrtales","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
