"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","county","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","scientificNameAuthorship","imagecode","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","order","fieldNumber","individualCount"
"11","2020-11-24 17:10:22-03","UTFPR","DVPR","1987","PreservedSpecimen","Plantae","Brachytheciaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Lesbik, SA; et al.",NA,"Brasil","Paraná",NA,NA,NA,"DVPR001987","2014","04","26","Dois Vizinhos","Parque Ecológico Jirau Alto","480","480","7","Bryophyta","(Hook.) Manuel",NA,"-53.030196","-25.450905","Peralta, DF","2014","05","26","-53.030196","-25.450905",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-23 12:15:59-03","UEMA","HABIT","3449","PreservedSpecimen","Plantae","Brachytheciaceae","Zelometeorium","patens","Zelometeorium patens",NA,"R.R. Oliveira",NA,"Brasil","MA",NA,NA,"Ambiente: Amazônia",NA,"2017","08","30","Zé Doca","Povoado Quinto Braço",NA,NA,"511",NA,"(Hook.) Manuel",NA,"-45.6582984924316","-3.27471995353699","D.F. Peralta",NA,NA,NA,NA,NA,"92684","auto",NA,NA,NA,NA,NA
"13","2020-12-09 17:04:54-03","IAP","PACA-BRYOPHYTES","117170","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Visnadi, S.R.",NA,"Brasil","SP",NA,NA,"sp229767 Habitat: sobre raizes tubulares e base do tronco de arvore viva","PACA117170","1988","11","09","Guapiara","Fazenda Intervales","700","700","523",NA,"(Hook.) Manuel",NA,"-48.532778","-24.185","sine determiner",NA,NA,NA,"48º31'58W","24º11'06S",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:39:56-03","NBC","NL-BOTANY","L 0060848","PreservedSpecimen","Plantae","Musci","Zelometeorium","patens","Zelometeorium patens","isotype","Moritz JWK","Southern America","Venezuela","Aragua",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200060848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0060848",NA,NA,NA,NA,"Colonia Tovar.",NA,NA,NA,NA,"(Hook.) Manuel",NA,NA,NA,"Manuel MG","1975","12","01",NA,NA,NA,NA,"Musci","910144466",NA,NA,NA
"15","2019-08-20 09:58:41-03","UNICAMP","UEC","189854","S","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Santos, ND",NA,"Brazil","São Paulo",NA,NA,"p.p. Neckeropsis undulata; Cheilolejeunea rigidula; Plagiochila patentissima",NA,"2009","06","20","Ubatuba","Parcela A9, Núcleo Picinquaba, PE Serra do Mar, A9.17 Tronco A156","50","50","2497","Bryophyta","(Hook.) Manuel",NA,"-44.860278","-23.336944","Santos, ND","2010","09",NA,"-44.860278","-23.336944",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:55:38-03","UCS","HUCS","46936","PreservedSpecimen","Plantae","Brachytheciaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Vital, D.M.",NA,"Brasil","São Paulo",NA,NA,"Growing on branches of small trees, in a semi-virgin forest",NA,"1973","10","17","Amparo",NA,"800","800","2638","Bryophyta","(J.D. Hook.) Manuel",NA,"-46.77","-22.71","Visnadi, S.R.","1983","07","29","-46.77","-22.71",NA,NA,NA,NA,"Hypnales",NA,NA
"17","2020-12-21 16:35:40-03","MBM","MBM","129546","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","Southern America","Brazil","Paraná",NA,NA,NA,"MBM129546","1989","07","06","Cerro Azul","Barra do Turvo",NA,NA,"53176",NA,"(Hook.) Manuel",NA,"-49.261100769043","-24.823600769043","D. Griffin, I.I.I.",NA,NA,NA,NA,NA,"32006","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:35:40-03","MBM","MBM","138213","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","Southern America","Brazil","Paraná",NA,NA,NA,"MBM138213","1990","09","05","Cerro Azul","Mato Preto",NA,NA,"54450",NA,"(Hook.) Manuel",NA,"-49.261100769043","-24.823600769043","D. Griffin, I.I.I.",NA,NA,NA,NA,NA,"32006","auto",NA,NA,NA,NA,NA
"19","2020-12-21 16:35:40-03","MBM","MBM","129269","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Hatschbach, G.; Hatschbach, M.; Cervi, A.C.; Hatschbach, M.; Cervi, A.C.","Southern America","Brazil","Paraná",NA,NA,NA,"MBM129269","1989","06","13","Foz do Iguaçu","Parque Nacional do Iguaçu, estrada do Poço Preto",NA,NA,"53146",NA,"(Hook.) Manuel",NA,"-54.5881004333496","-25.5478000640869","D. Griffin, I.I.I.",NA,NA,NA,NA,NA,"39570","auto",NA,NA,NA,NA,NA
"20","2019-05-02 10:52:22-03","IBt","SP-BRYOPHYTA","089157","S","Plantae","Brachytheciaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Puiggari, J.J.","Southern America","BRASIL","São Paulo",NA,NA,NA,"SP063541","1989","08","07","Jundiaí",NA,"760","760","400",NA,"(Hook. f.) Manuel",NA,"-46.884167","-23.186389","Visnadi, S.R.","1989","08","07","-46.884167","-23.186389",NA,NA,NA,NA,NA,NA,NA
"21","2019-05-02 10:52:22-03","IBt","SP-BRYOPHYTA","090707","S","Plantae","Brachytheciaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Vital, D.M.","Southern America","BRASIL","São Paulo",NA,NA,"Growing on branches of small trees, in a semi-virgin forest","SP065247","1973","10","17","Amparo",NA,"800","800","2638",NA,"(Hook. f.) Manuel",NA,"-46.77","-22.71","Visnadi, S.R.","1983","07","29","-46.77","-22.71",NA,NA,NA,NA,NA,NA,NA
"22","2019-05-02 10:52:22-03","IBt","SP-BRYOPHYTA","222200","S","Plantae","Brachytheciaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Yano, O.; Mariz, G.","Southern America","BRASIL","Pernambuco",NA,NA,"sobre galhos de arbusto, mata úmida","SP095099","1988","02","04","São Lourenço da Mata","Mata Tapacurá","60","60","11256",NA,"(Hook. f.) Manuel",NA,"-35.018333","-8.002222",NA,NA,NA,NA,"-35.018333","-8.002222",NA,NA,NA,NA,NA,NA,NA
"23","2020-09-29 14:53:00-03","UFPR","UPCB","19511","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Hatschbach, G.",NA,"Brasil","Paraná",NA,NA,"Barranco saibroso a beira da estrada..",NA,"1989","07","06","Cerro Azul","Barra Turvo","350","350","53176","Bryophyta","(Hook.) Manuel",NA,"-49.261100769043","-24.823600769043","Griffin, D.","1990","01","01",NA,NA,"32006","auto",NA,NA,NA,NA,NA
"24","2019-03-18 04:33:00-03","MO","MOBOT","90107824","PreservedSpecimen","Plantae","Hypnaceae","Hypnum","patens","Hypnum patens","Type","F.W.H.A. von Humboldt|A.J.A. Bonpland","South America","Colombia","Nariño",NA,NA,NA,NA,"1801",NA,NA,NA,"TYPE. Almaquer et Pasto.","1463.04000000","1828.80000000","Humboldt s.n.",NA,"Hook.",NA,"-77.05","1.36666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2009-11-20 12:13:00-02","MO","MOBOT","90080844","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. P. Churchill|Julio C. Betancur B.","South America","Colombia","Caquetá",NA,NA,NA,NA,"1990","5","24",NA,"Transecto Neiva-San Vicente del Caguán. Los Monos, orilla de quebrada. Bosque pluvial montano bajo. <16827-16859, 17039-17045>","1550.00000000",NA,"Churchill 16833",NA,"(Hook.) Manuel",NA,"-75.01666","2.76666","spc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90-33",NA
"26","2010-01-25 11:00:00-02","MO","MOBOT","100191742","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Y. Inturias|S. Carreño","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"2008","11","20","Florida","Quirusillas. A rededores de la Laguna Esmeralda. <103-127>.","1650.00000000",NA,"Inturias 107",NA,"(Hook.) Manuel",NA,"-63.9236111","-18.35","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08-8","13"
"27","2019-07-31 18:10:00-03","MO","MOBOT","100326309","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Alfredo F. Fuentes","South America","Bolivia","La Paz",NA,NA,NA,NA,"2009","10","1","Franz Tamayo","Parque Nacional Madidi, sector Fuertecillo.","1890.00000000",NA,"Fuentes Claros 15475",NA,"(Hook.) Manuel",NA,"-68.9333333","-14.5988889","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09-163","2"
"28","2011-09-23 11:19:00-03","MO","MOBOT","100407365","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Y. Inturias|et al.","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"2011","7","28","Vallegrande","Chullcos. <416-426>","1640.00000000",NA,"Inturias 418",NA,"(Hook.) Manuel",NA,"-63.7269445","-18.6994444","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-10","1"
"29","2020-01-15 04:34:00-03","MO","MOBOT","100570846","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Y. Inturias|G.A. Parada|D. Soux|Jehizon Terán","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"2011","7","28","Vallegrande","A 5 km de Chullcos. <759-833>","1640.00000000",NA,"Inturias 818B",NA,"(Hook.) Manuel",NA,"-63.7269445","-18.6994444","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-22","1"
"30","2013-08-01 10:49:00-03","MO","MOBOT","100607527","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. Carreño|M. Huanca","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"2011","8","23","Vallegrande","Kasamonte, 20 km al sur de Vallegrande; camino Vallegrande y Loma Larga desviando al lado derecho, del desvio a 5-7 km. <1303-1311>","2223.00000000",NA,"Carreño 1321",NA,"(Hook.) Manuel",NA,"-64.0252778","-18.7111111","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-11C","1"
"31","2013-08-01 13:14:00-03","MO","MOBOT","100613052","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. Carreño|M. Huanca","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"2011","8","26","Vallegrande","Kasamonte, a 20 km al sur de Vallegrande. Entre Vallegrande y Loma Larga desviando al lado derecho, del desvio a 5-7 km. <1518-1543>","2168.00000000",NA,"Carreño 1539",NA,"(Hook.) Manuel",NA,"-64.0291667","-18.7058333","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-16","1"
"32","2017-07-28 13:31:00-03","MO","MOBOT","100990040","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"J. W. K. Moritz","South America","Venezuela","Aragua",NA,NA,NA,NA,"1844",NA,NA,NA,"Colonia Tovar.","1675.00000000",NA,"Moritz 175",NA,"(Hook.) Manuel",NA,"-67.2833333","10.4","M. Manuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"33","2019-03-18 04:33:00-03","MO","MOBOT","100990042","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"F.W.H.A. von Humboldt|A.J.A. Bonpland","South America","Colombia","Nariño",NA,NA,NA,NA,"1801",NA,NA,NA,"Almaquer et Pasto.","1465.00000000","1830.00000000","Humboldt s.n.",NA,"(Hook.) Manuel",NA,"-77.05","1.3666667","M. Manuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"34","2008-05-27 22:02:00-03","MO","MOBOT","90068424","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"E. G. Worthley","South America","Peru","Huánuco",NA,NA,NA,NA,"1962","7","18",NA,"Fundo San Juan, on S bank of Rio Chinø chao at junction of Rio Huallega. Nos. Peru-17 through Peru-24.",NA,NA,"Worthley Peru-21",NA,"(Hook.) Manuel",NA,"-76","-9.5","H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru-3",NA
"35","2009-11-20 12:13:00-02","MO","MOBOT","90080866","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. P. Churchill|Julio C. Betancur B.","South America","Colombia","Caquetá",NA,NA,NA,NA,"1990","11","25","San Vicente de Caguan","Transecto Neiva-San Vicente del Caguán. Quebrada Chorreras, entre Guayabel y Los Andes. Bosque premontano. 02.30-33N,75.00-74.30W. <16861-16888>","1300.00000000",NA,"Churchill 16887",NA,"(Hook.) Manuel",NA,"-74.75","2.53333","spc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90-35",NA
"36","2019-06-15 04:36:00-03","MO","MOBOT","90098753","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Pirkko Hegewald|Eberhard Hegewald","South America","Peru","Huánuco",NA,NA,NA,NA,"1977","6","6","Leoncio Prado","Tingo Maria: Puerto de Bella. <8299-8317>","700.00000000",NA,"Hegewald 8315",NA,"(Hook.) Manuel",NA,"-76","-9.16666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77-11",NA
"37","2010-01-22 10:46:00-02","MO","MOBOT","90122439","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Jan-Peter Frahm","South America","Colombia","Chocó",NA,NA,NA,NA,"1992","8","9","El Carmen","El Carmen, Tutunendo, via Tutunendo, 2 hr a pie N del punto 12","700.00000000",NA,"Frahm 92364",NA,"(Hook.) Manuel",NA,"-76.53333","5.75","Frahm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2009-09-08 19:25:00-03","MO","MOBOT","90122449","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Jan-Peter Frahm","South America","Colombia","Risaralda",NA,NA,NA,NA,"1992","7","29","Mistrato","Mistrato, Jeguadas, arriba de Jeguadas, W de Mistrato.","800.00000000",NA,"Frahm 92185",NA,"(Hook.) Manuel",NA,"-76","5.41666","Frahm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2014-04-10 10:24:00-03","MO","MOBOT","90122465","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Jan Wolf","South America","Colombia","Risaralda",NA,NA,NA,NA,"1986","7","8","Santa Rosa de Cabal","Santa Rosa De Cabal, W de Termales de Santa Rosa, Hacienda La Gaviota.","1980.00000000",NA,"Wolf 1060",NA,"(Hook.) Manuel",NA,"-75.61666","4.83333","Reenen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2010-01-22 10:46:00-02","MO","MOBOT","90122473","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Jan-Peter Frahm","South America","Colombia","Risaralda",NA,NA,NA,NA,"1992","7","29","Mistrato","Mistrato, Jeguadas, arriba de Jeguadas, W de Mistrato","800.00000000",NA,"Frahm 92182",NA,"(Hook.) Manuel",NA,"-76","5.41666","Frahm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2011-11-08 05:06:00-02","MO","MOBOT","90122478","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Ricardo Callejas|Orlando Marulanda","South America","Colombia","Meta",NA,NA,NA,NA,"1988","2","25","Mesetas","Mesetas, Puerto Losada, via Puerto Losada-Las Marimbas.","490.00000000",NA,"Callejas Posada 5905",NA,"(Hook.) Manuel",NA,"-74.03333","3.41666","Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2012-04-12 14:15:00-03","MO","MOBOT","90122512","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"E. Pérez Arbeláez","South America","Colombia","Cundinamarca",NA,NA,NA,NA,"1920","7","1","Cabrera","Cabrera, Paudi.","1920.00000000",NA,"Pérez Arbeláez 633",NA,"(Hook.) Manuel",NA,"-74.46666","3.98333","Manuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2013-12-29 16:43:00-02","MO","MOBOT","90134272","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Jasmin Opisso","South America","Peru","Cajamarca",NA,NA,NA,NA,"1998","11",NA,"San Ignacio","Jaén, Tabaconas (Santuario Nacional Tabaconas0Namballe) and San José de Lourdes.",NA,NA,"Opisso 865",NA,"(Hook.) Manuel",NA,"-78.795","-5.71","JO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2008-05-27 22:02:00-03","MO","MOBOT","90140445","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. P. Churchill","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"2001","11","1","Florida","Canton Samaipata. Cerro Esculpido de Samaipata. (El Parque Arqueologico de Samaipata). Bosque montano secundario, con Alnus. <20974-20994>","1900.00000000",NA,"Churchill 20974",NA,"(Hook.) Manuel",NA,"-63.81666","-18.16666","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01-63","2"
"45","2016-04-28 16:39:00-03","MO","MOBOT","90147386","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Alfredo F. Fuentes|D. De la Quintana|Vicente Lipa","South America","Bolivia","La Paz",NA,NA,NA,NA,"2002","1","28","Franz Tamayo","Parque Nacional Madidi, río Quendeque, al sur de la desembocadura del arroyo Retama.","320.00000000",NA,"Fuentes Claros 3690",NA,"(Hook.) Manuel",NA,"-67.8144444","-14.9766667","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-05","1"
"46","2008-05-27 22:02:00-03","MO","MOBOT","90152373","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"S. P. Churchill","South America","Bolivia","Cochabamba",NA,NA,NA,NA,"2002","7","4","Chapare","Municipio Villa Tunari. 30 km SE de Villa Tunari (carretera nova de Santa Cruz – Cochabamba). Bosque montano bajo. <21740-21766>","1140.00000000",NA,"Churchill 21754-B",NA,"(Hook.) Manuel",NA,"-65.7","-17.11666","S. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-28","2"
"47","2016-03-31 10:44:00-03","MO","MOBOT","90170686","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Alfredo F. Fuentes","South America","Bolivia","La Paz",NA,NA,NA,NA,"2002","7","22","Franz Tamayo","Área Natural de Manejo Integrado Madidi. Cutu Sacha, hasta Machua, al Este de Apolo, camino a San José de Uchupiamonas.","1600.00000000",NA,"Fuentes Claros 5211",NA,"(Hook.) Manuel",NA,"-68.2797223","-14.5194445","S. Churchill, Ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-43","6"
"48","2013-11-26 05:40:00-02","MO","MOBOT","90188451","PreservedSpecimen","Plantae","Meteoriaceae","Zelometeorium","patens","Zelometeorium patens",NA,"Reinaldo Lozano","South America","Bolivia","Chuquisaca",NA,NA,NA,NA,"2003","12","17","Luis Calvo","Serranía del Iñao. Entierrillos. Bosque Tucumano-Boliviano, piso medio con Myrtaceas, Lauraceae, y helechos.","1716.00000000","1716.00000000","Lozano 163",NA,"(Hook.) Manuel",NA,"-63.90638","-19.50638","S. Churchill, Ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
