"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","maximumElevationInMeters","individualCount"
"11","2020-09-29 14:53:46-03","UFPR","UPCB","91688","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","Prado","Prado, J. | Barbara-Blubaugh, T.","1410","2002","01","08",NA,"Brasil","Minas Gerais","Gouveia","BR 259 Gouveia-Presidente Jucelino, Fazenda contage (antiga faz. Do sr. Everaldo) Afloramento rochoso no lado direito da estrada indo para P.Juscelino","-43.886111","-18.58","1212",NA,"Crescendo em campo rupestre, em solo arenoso (rico em húmus), junto com Velloziaceae, expostas ao sol. Área recém queimada..","UPCB0008585","UPCB0008585",NA,"Prado, J.",NA,"2002","01",NA,NA,"08","-43.886111","-18.580000",NA,"1212",NA
"12","2011-08-17 13:55:00-03","MO","MOBOT","3628477","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J. Prado","Eric Schuettpelz|Jefferson Prado|Pedro B. Schwartsburd|George Yatskievych","Schuettpelz 1384","2010","1","11","South America","Brazil","Minas Gerais",NA,"Gouvêa. Serra do Espinhaço: between Gouveia and Curvelo, off BR-259 near km 478, N of highway, across pasture.","-43.8872222","-18.5813889","1230.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","2019-09-04 17:57:06-03","F","FMNH-PTERIDOPHYTES","V0075771F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","Prado","A. Furlan & et al.","3271","1982","4","9","South America","Brazil","Minas Gerais",NA,NA,"-44","-18",NA,NA,NA,"V0075771F","V0075771F_01","Isotype","J. Prado","Pteridopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-09 18:35:42-03","USP","SPF","23478","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J.Prado","Furlan, A; Rossi, L; Menezes, NL; Hensold, N; Longhi-Wagner, HM; Isejima, EM","CFCR3271","1982","04","09",NA,"Brasil","Minas Gerais","Gouveia","km 66 da estrada Curvelo-Diamantina. Estrada para o morro do Camilinho, a 9km do asfalto. Serra do Brejo Grande, Planta entre rochas e pedregulhos, exposta ao sol. Folhas rígidas.","-43.916667","-18.916667",NA,NA,NA,"SPF00023478","SPF00023478","holotype","Prado, J",NA,"1993","12",NA,NA,"15","-43.916667","-18.916667",NA,NA,NA
"15","2019-10-07 09:38:50-03","UEFS","HUEFS","74624","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J.Prado","Giulietti, A.M.","2187","2003","04","15",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.753333","-13.442778","1156",NA,"Campo rupestre, substrato arenoso com pedras brancas.","HUEFS0074624","HUEFS0074624 HUEFS0074624_01",NA,"P.B.Schwartsbund","Polypodiopsida","2011","04",NA,NA,NA,"41W45'12''","13S26'34''",NA,"1156",NA
"16","2020-02-11 18:26:32-03","UFMG","BHCB-SL","131743","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) Barbará","Almeida, TE; Souza, DT","2041","2009","08","08","América","Brasil","Minas Gerais","Congonhas do Norte","Alto da Serra do Talhado, Campos limpos e Campos rupestres","-43.746667","-18.845278","1300",NA,"Erva terrestre em campo rupestre. Prensado em álcool.","BHCB002285","BHCB002285",NA,"Castilho, IOM; Costa, LC",NA,"2015",NA,NA,NA,NA,"-43.746667","-18.845278",NA,"1300",NA
"17","2020-02-11 18:26:32-03","UFMG","BHCB-SL","168805","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) Barbará","Prado, J; Barbara-Blubaugh, T","1410","2002","01","08","América","Brasil","Minas Gerais","Gouveia","BR 259, Gouveia-Presidente Juscelino, Fazenda Contagem ( antiga faz. do sr. Everaldo) afloramento rochoso no lado direito da estrada indo para P. Juscelino.","-45.886111","-18.58","1212",NA,"Crescendo em campo rupestre, em solo arenoso ( rico em húmus), junto com Velloziaceae, expostas ao sol. Área recém queimada.; Crescendo em campo rupestre, em solo arenoso (rico em húmus), junto com Velloziaceae, expostas ao sol. Área recém queimada.",NA,NA,NA,"Prado, J",NA,"2002","01",NA,NA,"08","-45.886111","-18.58",NA,"1212",NA
"18","2020-02-11 18:26:32-03","UFMG","BHCB-SL","168806","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) Barbará","Prado, J; Barbara-Blubaugh, T","1404","2000","01","06","América","Brasil","Minas Gerais","Gouveia","BR 259, Gouveia-Presidente Juscelino, Fazenda Contagem ( antiga faz. do sr. Everaldo) afloramento rochoso no lado direito da estrada indo para P. Juscelino.","-43.875278","-18.730278","1199",NA,"Crescendo em campo rupestre, em solo arenoso ( rico em húmus), junto com Velloziaceae, expostas ao sol. Área recém queimada.",NA,NA,NA,"Prado, J",NA,"2002","01",NA,NA,"06","-43.875278","-18.730278",NA,"1199",NA
"19","2020-02-11 18:26:32-03","UFMG","BHCB-SL","154083","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) Barbará","Almeida, TE; Giacomin, LL; Echternacht, LA","3055","2011","11","29","América","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Campo Rupestre.","-43.564167","-19.329722","1083",NA,"Erva rupícola e encosta com solo pedregoso. Prensado em álcool.",NA,NA,NA,"Almeida, TE",NA,"2011","11",NA,NA,"29","-43.564167","-19.329722",NA,"1083",NA
"20","2021-01-12 15:24:50-03","UFMG","BHCB-SL","163600","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","cymbiformis","Ormopteris cymbiformis","(J.Prado) Barbará","Romão, GO; Flores, TB; Zappi, DC; Grupo de Kew Herbarium","2420","2009","11","28","América","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Fazenda Toucan, trilha João Carrinho para trilha da Captação (A196). Campo Rupestre.","-44.043098449707","-19.0060997009277",NA,NA,"Erva rupícola, entre pedriscos.",NA,NA,NA,"Salino, A; Trópia, A",NA,"2013","05","43251","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-01 15:18:15-03","UnB","UB","135547","PreservedSpecimen","Plantae","Pteridophyta",NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J. Prado","Furlan, A; Rossi, L; Menezes, NL; Hensold, N; Longhi, HM; Wagner; Isejima, EM","CFCR3271","1982","04","09","Southern America","Brasil","Minas Gerais","Gouvêa","Km 66 da estrada Curvelo - Diamantina. Estrada para Morro do Camilinho, a 9 km do asfalto. Serra do Brejo Grande","-43.916667","-18.516667",NA,NA,"Folhas rígidas; Planta entre pedras e pedregulhos, exposta ao sol.",NA,NA,"isotype","Prado, J",NA,"1993","12",NA,NA,"15","-43.916667","-18.516667",NA,NA,NA
"22","2019-11-21 10:17:23-03","IBt","SP","269942","S","Plantae",NA,NA,"Pteridaceae","Pellaea","cymbiformis","Pellaea cymbiformis","J.Prado","Furlan, A; et al.","CFCR3271","1982","04","09",NA,"Brasil","Minas Gerais","Gouveia","Km 66 da estrada Curvelo-Diamantina. Estrada para o Morro do Camilinho, a 9 km do asfalto. Serra do Brejo Grande","-43.916667","-18.516667",NA,NA,NA,"SP003807","SP003807","Isotype","Prado, J",NA,"2017",NA,NA,NA,NA,"-43.916667","-18.516667",NA,NA,NA
