"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","stateProvince","occurrenceRemarks","barcode","phylum","identifiedBy","recordNumber","year","month","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","individualCount","geoFlag","yearIdentified","monthIdentified","relatedCatalogItem"
"11","2019-10-07 09:18:42-03","UEFS","HUEFS","107345","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus","(Werderm.) Backeb.","Machado, M.",NA,"Brasil","Bahia",NA,"HUEFS0107345","Angiospermae",NA,"752","2006","01","10","Caetité","Brejinho das Ametistas, próximo ao cemitério","-42.526389","-14.266667","42W31'35''","14S16'0''","840","840","HUEFS0107345",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-15 07:53:28-03","UEFS","HUEFS","107359","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Machado, M.",NA,"Brasil","Bahia",NA,"HUEFS0107359","Angiospermae",NA,"769","2006","01","29","Morro do Chapéu","Tabuleiro dos Tigres, ca. 5km ao sul da cidade na rodovia para Bonito, tabuleiro arenoso ao oeste da estrada","-41.163056","-11.601389","41W9'47''","11S36'5''","1090","1090","HUEFS0107359","subsp. alvinii",NA,NA,NA,NA,NA,NA,NA
"13","2020-06-15 07:53:28-03","UEFS","HUEFS","119787","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Pastore, J.F.B.",NA,"Brasil","Bahia","Campo rupestre.","HUEFS0119787","Angiospermae","M.Machado","2025","2007","05","19","Morro do Chapéu","Lagedo do Bordado.","-41.094167","-11.258889","41W5'39''","11S15'32''","690","690","HUEFS0119787","subsp. alvinii",NA,NA,NA,NA,"2010","12",NA
"14","2020-06-15 07:53:28-03","UEFS","HUEFS","121938","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Melo, E.",NA,"Brasil","Bahia",NA,"HUEFS0121938","Angiospermae","M.Machado","4835","2007","06","29","Morro do Chapéu","Fazenda Guariba; nascentes do Rio Salitre.","-41.193889","-11.438056","41W11'38''","11S26'17''","1056","1056","HUEFS0121938","subsp. alvinii",NA,NA,NA,NA,"2008","10",NA
"15","2020-06-15 07:53:28-03","UEFS","HUEFS","166838","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Machado, M.",NA,"Brasil","Bahia","caatinga","HUEFS0166838","Angiospermae",NA,"1154","2008","10","11","Morro do Chapéu","Afloramentos de arenito no leito do Rio Salitre, próximo a vila de Bejões, passando pela vila de Icó. Local conhecido como Lagedo Bordado","-41.085","-11.273333","41W5'6''","11S16'24''","740","740","HUEFS0166838","subsp. alvinii",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-15 07:53:28-03","UEFS","HUEFS","64975","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Giulietti, A.M.",NA,"Brasil","Bahia","Campo rupestre. Solo arenoso","HUEFS0064975","Angiospermae","M.Machado","2119","2002","06","30","Morro do Chapéu","Arredores da cidade à Serra do Bexiguento.","-41.155278","-11.405","41W9'19''","11S24'18''",NA,NA,"HUEFS0064975","subsp. alvinii",NA,NA,NA,NA,"2008","10",NA
"17","2020-06-15 07:53:28-03","UEFS","HUEFS","71241","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Queiroz, L.P.de",NA,"Brasil","Bahia","Caatinga arenosa.","HUEFS0071241","Angiospermae","M.Machado","7763","2003","05","11","Morro do Chapéu","Formosa.","-41.085556","-11.272778","41W5'8''","11S16'22''","740","740","HUEFS0071241","subsp. alvinii",NA,NA,NA,NA,"2010","12",NA
"18","2020-06-15 07:53:28-03","UEFS","HUEFS","84829","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Machado, M.",NA,"Brasil","Bahia","solo arenoso. areia quartzosa.","HUEFS0084829","Angiospermae",NA,"32","2003","07","08","Morro do Chapéu","próximo ao Morrão, 1km ao sul da cidade na estrada para Bonito, daí c. 2km em estrada de terra em direção ao Morrão","-41.178611","-11.566111","41W10'43''","11S33'58''","1090","1090","HUEFS0084829","subsp. alvinii","Holótipo",NA,NA,NA,NA,NA,NA
"19","2020-06-15 07:53:28-03","UEFS","HUEFS","84830","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Machado, M.",NA,"Brasil","Bahia","solo arenoso. areia quartzosa.","HUEFS0084830","Angiospermae",NA,"33","2003","07","08","Morro do Chapéu","próximo ao Morrão, 1km ao sul da cidade na estrada para Bonito, daí c. 2km em estrada de terra em direção ao Morrão","-41.178611","-11.566111","41W10'43''","11S33'58''","1090","1090","HUEFS0084830","subsp. alvinii",NA,NA,NA,NA,NA,NA,NA
"20","2020-06-15 07:53:28-03","UEFS","HUEFS","84831","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Machado, M.",NA,"Brasil","Bahia","solo arenoso. areia quartzosa.","HUEFS0084831","Angiospermae",NA,"34","2003","07","08","Morro do Chapéu","próximo a Cachoeira do Ferro Doido, 18km a leste da cidade na rodovia BA 052","-41.006667","-11.617222","41W0'24''","11S37'2''","915","915","HUEFS0084831","subsp. alvinii",NA,NA,NA,NA,NA,NA,NA
"21","2020-06-15 07:53:28-03","UEFS","HUEFS","84832","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus subsp. alvinii","M.Machado & Hofacker","Machado, M.",NA,"Brasil","Bahia","solo arenoso. areia quartzosa.","HUEFS0084832","Angiospermae",NA,"36","2003","07","11","Morro do Chapéu","13km a oeste da cidade na rodovia BA 052, daí 5km ao sul em estrada de terra para a Serra Duas Irmãs, Fazenda Lagoa dos Dourados","-41.296667","-11.56","41W17'48''","11S33'36''","1175","1175","HUEFS0084832","subsp. alvinii",NA,NA,NA,NA,NA,NA,NA
"22","2020-07-23 12:01:19-03","CEPLAC","CEPEC","50955","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","polyanthus","Micranthocereus polyanthus",NA,"N. P. Taylor",NA,"Brasil","Bahia",NA,NA,NA,"N. P. Taylor","1537","1997","02","02","CAETITÉ","25Km Caetite. 1Km ao S Brejinho das Ametistas, prox. da mineração.","-42.4749984741211","-14.0693998336792",NA,NA,NA,NA,NA,NA,NA,"53684",NA,"auto",NA,NA,"30/12/1991"
