"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","identifiedBy","yearIdentified","class","imagecode","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag"
"22","2020-08-31 09:22:41-03","INPA","INPA","166861","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Stevenson, DW","726","1987","10","18","Southern America","Brasil","Amazonas","Ilha Tamanduá, Rio Negro, east bank at Ilha Tamanduá (locally Ilha Marajó), near Carapana. High caatinga forest.","-67.266667","1",NA,NA,NA,"INPA0166861",NA,"Windisch, PG","2017",NA,"INPA0166861 INPA0166861_e","-67.266667","1",NA,NA,"08","28","São Gabriel da Cachoeira",NA,NA
"23","2020-08-31 09:22:41-03","INPA","INPA","166993","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Stevenson, DW","866","1987","11","01","Southern America","Brasil","Amazonas","Rio Demiti, Rio Negro, Rio Demiti (= Bemite), 1-2 hours by motorboat from the mouth. High caatinga.","-66.883333","0.166667",NA,NA,NA,"INPA0166993",NA,"Windisch, PG","2017",NA,"INPA0166993 INPA0166993_e","-66.883333","0.166667",NA,NA,"08","27","São Gabriel da Cachoeira",NA,NA
"24","2020-08-31 09:22:41-03","INPA","INPA","263444","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Almeida, TE","3829","2014","10","24","Southern America","Brasil","Amazonas","Reserva Extrativista Ituxi, Trilhas às margens do Igarapé Punicici. Floresta Ombrófila Densa Aluvial com dossel emergente (UPN 12) e Floresta Ombrófila Aberta de Terras Baixas (UPN 4)","-65.183972","-8.031806","74",NA,NA,"INPA0263444","74","Windisch, PG","2017",NA,NA,"-65.183972","-8.031806",NA,NA,"08","27","Lábrea",NA,NA
"25","2020-08-31 09:22:41-03","INPA","INPA","270091","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Carvalho, FA de","1903","2009","07","03","Southern America","Brasil","Amazonas","Estrada São Gabriel da Cachoeira-Camanaus, Estrada SGC-Camanaus - Comunidade Itacoatiara-mirim","-67.00916","-0.10096","61",NA,NA,"INPA0270091","61","Windisch, PG","2017",NA,NA,"-67.00916","-0.10096",NA,NA,"08","28","São Gabriel da Cachoeira",NA,NA
"26","2020-08-31 09:22:41-03","INPA","INPA","34021","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Prance, GT","15804","1971","10","23","Southern America","Brasil","Amazonas","Tapuruquara, Tapuruquara. On rocky creek side.","-65.979629","-0.902882",NA,NA,NA,"INPA0034021",NA,"Windisch, PG","1984",NA,"INPA0034021 INPA0034021_e INPA0034021_e1","-65.979629","-0.902882",NA,NA,NA,NA,"Santa Isabel do Rio Negro",NA,NA
"27","2020-08-31 09:22:41-03","INPA","INPA","49360","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Araújo, I de J.","167","1975","04","28","Southern America","Brasil","Amazonas","Rio Cuieiras, boca do Rio Branquinho, Rio Cuieiras, 1 Km abaixo da boca do rio Branquinho. Mata de terra firme, solo arenoso, úmido.","-60.27","-2.47",NA,NA,NA,"INPA0049360",NA,"Windisch, PG","1985",NA,NA,"-60.27","-2.47",NA,NA,NA,NA,NA,NA,NA
"28","2020-08-31 09:22:41-03","INPA","INPA","62555","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Araújo, I de J.","360","1976","12","09","Southern America","Brasil","Amazonas","Cachoeira do Tarumã, Cachoeira do Tarumã. Solo arenoso, úmido.","-60","-2.9",NA,NA,NA,"INPA0062555",NA,"Windisch, PG","1984",NA,"INPA0062555 INPA0062555_e INPA0062555_e1","-60","-2.9",NA,NA,NA,NA,"Manaus",NA,NA
"29","2020-08-31 09:22:41-03","INPA","INPA","92074","S","Plantae","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Kubitzki, K","79-193","1979","09","09","Southern America","Brasil","Amazonas","Rio Marié, Vila Macobeta, Rio Negro, Rio Marié, village Macobeta ca. 30 Km above mouth.","-63.133333","-0.216667",NA,NA,NA,"INPA0092074",NA,"Windisch, PG","1985",NA,"INPA0092074 INPA0092074_e INPA0092074_e1","-63.133333","-0.216667",NA,NA,NA,NA,"São Gabriel da Cachoeira",NA,NA
"30","2020-06-15 15:30:47-03","UNESP-RC","HRCB","46729","PreservedSpecimen","Plantae",NA,NA,"Hymenophilaceae","Trichomanes","macilentum","Trichomanes macilentum",NA,"Pivetta","219","1981","12","07",NA,"Brasil","Amazonas",NA,"-60.0250015258789","-3.10193991661072",NA,NA,"caule rasteiro, pinadas, não frequente, folhas multimorfas",NA,NA,"Windish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manaus","138090","auto"
"31","2017-04-11 14:55:49-03","F","FMNH-PTERIDOPHYTES","C0650756F","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. M. Beitel","85242","1985","2","21","South America","Venezuela","Amazonas",NA,"-66","3.5",NA,NA,NA,"C0650756F",NA,NA,NA,"Pteridopsida","C0650756F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-04-11 14:57:09-03","F","FMNH-PTERIDOPHYTES","C0650774F","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Ll. Williams","14039","1942","1","28","South America","Venezuela","Amazonas",NA,"-66","3.5",NA,NA,NA,"C0650774F",NA,NA,NA,"Pteridopsida","C0650774F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","2136675","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. E. Schultes & I. Cabrera","14410 d","1951","10","25","South America - Neotropics","Colombia","Vaupés","Río Kananarí. Cachivera Mirití.",NA,NA,"250",NA,NA,"US01409024",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","826712","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. Spruce","s.n.","1850",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00065636",NA,NA,NA,"Pteridophyte","US00065636_01",NA,NA,"Type collection","1",NA,NA,NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","3204338","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. E. Schultes & I. Cabrera","13406","1951","8","6","South America - Neotropics","Colombia","Vaupés","Rio Kananarí (affluent of Rio Apaporis), Cerro Isibukurí.",NA,NA,NA,NA,NA,"US01409021",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","3252586","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. M. Beitel","85242","1985","2","21","South America - Neotropics","Venezuela","Amazonas","Neblina Base Camp on Río Barío (Río Mawarinuma), SE of Base Camp","-66.16","0.83","140",NA,NA,"US00785161",NA,"Smith, A. R., (UC)",NA,"Pteridophyte","US00785161_01",NA,NA,NA,"1",NA,NA,"Río Negro",NA,NA
"37","2020-09-12 05:00:02-03","US","US","3270037","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","M. J. Jansen-Jacobs, E. Nic Lughadha, B. Welle & D. Gopaul","1601","1989","9","15","South America - Neotropics","Guyana","U. Takutu-U. Essequibo","Toucan Mountain, Kamoa River","-58.83","1.53","260",NA,NA,"US00705317",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","2136840","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. E. Schultes & I. Cabrera","17559","1952","9","19","South America - Neotropics","Colombia","Vaupés","On rocks at water level. Caño Paca, Raudal Yo-ree-hwe-ro. Río Piraparan (tributary of Río Apaporis)","-70.5","0.25",NA,NA,NA,"US01409020",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","2136670","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. E. Schultes & I. Cabrera","14409","1951","10","25","South America - Neotropics","Colombia","Vaupés","On Rocks, Río Kananarí . Cachivera Mirití.",NA,NA,"250",NA,NA,"US01409023",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","1431503","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. Spruce","s.n.","1850","12",NA,"South America - Neotropics","Brazil",NA,"Barra, Rio Negro.",NA,NA,NA,NA,NA,"US01100976",NA,NA,NA,"Pteridophyte","US01100976_01",NA,NA,"Type collection","1",NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2587649","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. T. Baldwin","3209","1944","3","1","South America - Neotropics","Brazil","Amazonas","Cucuhy, Rio Negro",NA,NA,NA,NA,NA,"US01409016",NA,NA,NA,"Pteridophyte","US01409016_01",NA,NA,NA,"1",NA,NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","2414726","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Ll. Williams","14039","1942","1","28","South America - Neotropics","Venezuela","Amazonas","Yavita","-67.43","2.92","128",NA,NA,"US00785162",NA,"Windisch, Paulo Guenter",NA,"Pteridophyte","US00785162_01",NA,NA,NA,"1",NA,NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","2200042","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. E. Schultes, R. E. D. Baker & I. Cabrera","18235","1952","10","31","South America - Neotropics","Colombia","Vaupés","Río Guainía: Puerto Colombia (opposite Venezuelan town of Maroa) ans vicinity.","-67.5","2.67","244",NA,NA,"US01409022","259",NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","3204335","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","R. E. Schultes & I. Cabrera","13432","1951","8","7","South America - Neotropics","Colombia",NA,"Amazonas - Vaupés. Rio Apaporis, Raudal de Jirijirimo.",NA,NA,NA,NA,NA,"US01409019",NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","3674763","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","W. Meier & D. Elsner","6649","2000","3","22","South America - Neotropics","Venezuela","Sucre","Limites Distrito Arismendi/Valdez Península de Paria: Cerro Patao: al norestre de Puerto de Hierro: bosque nublado primario en la cumbre","62.05","10.68","1000",NA,NA,"US01409018","1048",NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"46","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","H. D. Clarke, R. Williams, C. Perry, E. Tripp, J. Kelly, D. Gittens & S. R. Stern","10967","2003","7","19","South America - Neotropics","Guyana","Potaro-Siparuni","Upper Potaro River, camp, NE of toe slope of Mt. Wokomung","-59.778","5.16589","620",NA,NA,NA,NA,"McKee, G. S., (US), NMNH",NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"47","2020-09-12 05:00:02-03","US","US","1877982","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","J. T. Baldwin","3209","1944","3","1","South America - Neotropics","Brazil","Amazonas","Cucuhy, Rio Negro",NA,NA,NA,NA,NA,"US01409017",NA,NA,NA,"Pteridophyte","US01409017_01",NA,NA,NA,"1",NA,NA,NA,NA,NA
"48","2020-01-31 10:39:43-03","IFAM","EAFM","4303","PreservedSpecimen","Plantae",NA,NA,"Trichomanaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Kubitzki, K.; Calderón, C.E. & Poppendieck, H.H.","193","1979","09","09",NA,"Brasil","Amazonas","Rio Negro, Rio Marié, village Macobeta ca. 30 Km above mouth. Between mosses on rocks at the river.",NA,NA,NA,NA,"; DESC: Material sem dados de coleta sobre a planta.",NA,NA,"Windisch, P.G.","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2018-12-04 20:32:02-02","UNIR","RON","15187","S","Plantae","Samambaia",NA,"Hymenophyllaceae","Trichomanes","macilentum","Trichomanes macilentum","Bosch","Mendes-Silva, I","508","2017","10","25","Southern America","Brasil","Rondônia","ESEC Samuel., Floresta Ombrófila Aberta, alta, com indivíduos acima de 25m. Sub-bosque pouco denso.","-63.166556","-8.952389","115",NA,"Terrestre.","RON00015187","115","Moran, R","2017",NA,"RON00015187","-63.166556","-8.952389",NA,NA,"10",NA,"Candeias do Jamari",NA,NA
