"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","493708","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1992","04","07","Brazil","Rio Grande do Sul","Sao Vendelino","Sao Vendelino","-51.3767","-29.3692",NA,NA,"NY00493708",NA,NA,"s.n.","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290442' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 03:05:00-03","NY","NYBG","01212746","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"T. M. Pederson",NA,NA,NA,"L. O. A. Teixeira","1982","05","12","Brazil","Rondônia","Ariquemes","Mineração Mibrasa, Setor Alto Candeias, km 128, Sudoeste de Ariquemes.","-63.58","-10.583333",NA,NA,"NY01212746","NY01212746_01",NA,"372","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465781' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 03:05:00-03","NY","NYBG","01212737","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima altissima","(Jacq.) Kunth","S. H. Sohmer",NA,NA,NA,"B. A. Krukoff","1934","08","28","Brazil","Pará",NA,NA,NA,NA,NA,NA,"NY01212737","NY01212737_01 NY01212737_02",NA,"5908","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465724' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","altissima",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 10:25:00-03","NY","NYBG","493717","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"M. Lillo","1908","07","05","Argentina","Tucumán",NA,"Capital",NA,NA,NA,NA,"NY00493717",NA,NA,"8437","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290452' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","493698","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima altissima","(Jacq.) Kunth","S. H. Sohmer",NA,NA,NA,"G. G. Hatschbach","1969","05","14","Brazil","Paraná","Terra Boa","Fda. Mururê","-52.4442","-23.7683",NA,NA,"NY00493698",NA,NA,"21485","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249220' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","altissima",NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-30 03:05:00-03","NY","NYBG","01212744","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,NA,NA,NA,NA,"W. Milliken","1987","09","24","Brazil","Roraima",NA,"SEMA Ecological Reserve, Ilha de Maracá; close to the station. Furo de Maracá","-61.42","3.35",NA,NA,"NY01212744","NY01212744_01",NA,"610","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465775' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","493707","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1997","06","06","Brazil","Santa Catarina",NA,"Piritiba - Estreito do Rio Uruguai",NA,NA,NA,NA,"NY00493707",NA,NA,"s.n.","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290443' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 10:25:00-03","NY","NYBG","493704","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Prov. Sebastianopolis",NA,NA,NA,NA,"NY00493704",NA,NA,"101","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290446' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","493687","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","T. M. Pedersen",NA,NA,NA,"G. G. Hatschbach","1981","03","27","Brazil","Paraná","Cerro Azul","Ponte do Ribeira","-49.2608","-24.8236",NA,NA,"NY00493687",NA,NA,"43692","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435348' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01212752","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"E. Forero","1968","07","20","Brazil","Acre",NA,"Quixadá. Road Abuña to Rio Branco, km 242-246, vicinity of campinas","-67.4365202","-10.0994597",NA,NA,"NY01212752","NY01212752_01",NA,"6418","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465803' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01212754","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"G. T. Prance","1968","07","28","Brazil","Rondônia",NA,"Island in rio Madeira almost opposite Misericórdia.",NA,NA,NA,NA,"NY01212754","NY01212754_01",NA,"6547","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465806' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","493693","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. V. Godoi",NA,NA,NA,"C. E. O. Lohmann","1992","07","24","Brazil","São Paulo","Moji-Guaçu","Reserva Biologica e Estaçao Experimental de Mogi-Guaçu, Mata do Portugues",NA,NA,NA,NA,"NY00493693",NA,NA,"26","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435364' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-30 05:00:00-03","NY","NYBG","1374290","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima altissima","(Jacq.) Kunth",NA,NA,NA,NA,"W. E. Broadway","1914","04","06","Trinidad and Tobago",NA,NA,"Mason Hall. Tobago.",NA,NA,NA,NA,"NY01374290","NY01374290_01",NA,"4791","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1615537' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","altissima",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","298179","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","T. M. Pederson",NA,NA,NA,"W. W. Thomas","1998","02","10","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17",NA,NA,"NY00298179",NA,NA,"11795","South America","450","800","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435352' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","868307","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. A. Kallunki",NA,NA,NA,"P. J. M. Maas","1971","05","17","Brazil","Acre","Porto Walter","Near Porangaba, Rio Jurúa-Mirim.","-72.7439","-8.26861",NA,NA,"NY00868307","NY00868307_01",NA,"P13065","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435360' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01212742","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. A. Kallunki",NA,NA,NA,"I. L. do Amaral","1982","11","03","Brazil","Amazonas","Maraã","Rio Japurá, margem direita.","-66.8767405","-1.8362477",NA,NA,"NY01212742","NY01212742_01",NA,"307","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465769' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 03:05:00-03","NY","NYBG","01212743","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"T. M. Pedersen",NA,NA,NA,"M. J. G. Hopkins","1986","06","12","Brazil","Roraima","Alto Alegre","Ilha de Maracá. Furo Paraná de Firmino.-Ilha de Maracá. Sema Estação. Furo do Paraná de Firmino of Rio Uraricuera on S side of island. Withn 1km of end of Nova Olinda","-61.433333","3.4",NA,NA,"NY01212743","NY01212743_01",NA,"687","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465772' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-29 10:25:00-03","NY","NYBG","493705","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima rubella","Suess.","S. H. Sohmer",NA,NA,NA,"L. B. Smith","1964","12","17","Brazil","Santa Catarina","Aguas de Chapecó","2-4 km. east of Aguas de Chapecó","-52.92","-27.12",NA,NA,"NY00493705",NA,NA,"14081","South America","280","350","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290445' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales","rubella",NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 13:00:00-03","NY","NYBG","493689","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"J. V. Godoi",NA,NA,NA,"S. Romaniuc Neto","1992","07","22","Brazil","São Paulo","Sao José do Rio Pardo","Sao Jose do Rio Pardo, Fazenda Tubaga, margem do Rio Pardo","-46.88","-21.5903",NA,NA,"NY00493689",NA,NA,"1327","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435362' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","868306","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. A. Kallunki",NA,NA,NA,"P. J. M. Maas","1971","05","12","Brazil","Acre","Cruzeiro do Sul","Rio Juruá. Near Igarapé Trene de Mais","-72.65","-7.78",NA,NA,"NY00868306","NY00868306_01",NA,"P12865","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435365' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","493690","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","T. M. Pedersen",NA,NA,NA,"W. W. Thomas","1994","05","20","Brazil","Bahia","Uruçuca","Uruçuca, Escola Media de Agropecuaria da RegiÔo Cacaueria Reserva Gregório Bondar","-39.2842","-14.6033",NA,NA,"NY00493690",NA,NA,"10410","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435349' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-29 13:00:00-03","NY","NYBG","493683","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"S. M. Silva",NA,NA,NA,"S. B. Mikich","1995","04",NA,"Brazil","Paraná","Fênix","Parque Estadual Vila Rica","-52.45","-23.4",NA,NA,"NY00493683",NA,NA,"288","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435356' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 13:00:00-03","NY","NYBG","493688","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"J. Lobâo",NA,NA,NA,"O. C. Goés","1944","03",NA,"Brazil","Rio de Janeiro","Petrópolis","Corrêas","-43.1783","-22.505",NA,NA,"NY00493688",NA,NA,"160","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435332' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-29 13:00:00-03","NY","NYBG","493692","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"J. V. Godoi",NA,NA,NA,"C. E. O. Lohmann","1992","07","23","Brazil","São Paulo","Moji-Guaçu","Reserva Biologica e Estaçao Experimental de Mogi-Guaçu, Mata da Figueira",NA,NA,NA,NA,"NY00493692",NA,NA,"25","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435363' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","868309","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","T. A. Zanoni",NA,NA,NA,"M. Silveira","1993","04","08","Brazil","Acre","Marechal Thaumaturgo","Bacia do Rio Juruá, margem esquerda, Reserva Extrativista do Alto Juruá, igarapé Ceará.","-72.73","-9.2",NA,NA,"NY00868309","NY00868309_01",NA,"498","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435358' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1146413","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. Egea",NA,NA,NA,"D. Sasaki","2008","08","22","Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino. Sudeste do Parque, a norte da Usina Hidrelétrica do Rio Rochedo.","-55.387242","-9.662253",NA,NA,"NY01146413","NY01146413_01",NA,"2355","South America","284","284","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340082' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01212747","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","T. M. Pedersen",NA,NA,NA,"C. A. Cid Ferreira","1984","06","18","Brazil","Rondônia","Rolin de Moura","Estrada para Brasilandia, linha 180, km 12.","-62.03","-11.2",NA,NA,"NY01212747","NY01212747_01",NA,"4609","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465784' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","868308","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","J. A. Kallunki",NA,NA,NA,"G. T. Prance","1971","04","19","Brazil","Acre","Mâncio Lima","Rio Moa between Republica and Serra da Moa.","-73.57","-7.48",NA,NA,"NY00868308","NY00868308_01",NA,"12082","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435359' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-30 03:05:00-03","NY","NYBG","01212748","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima",NA,"T. M. Pedersen",NA,NA,NA,"C. A. Cid Ferreira","1984","06","22","Brazil","Rondônia","Cacoal","BR 364, rodovia Cuiabá-Porto Velho, km 230, linha 09, ao longo da rodovia","-61.4472","-11.4386",NA,NA,"NY01212748","NY01212748_01",NA,"4698","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465787' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","493685","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth",NA,NA,NA,NA,"I. A. Rodrigues","1977","04","13","Brazil","Rio de Janeiro","Rio de Janeiro","Ampa da Praia Vermelha, encostado ao morro do Pao de Açucar","-43.164746","-22.955216",NA,NA,"NY00493685",NA,NA,"86","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435368' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01132942","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","altissima","Chamissoa altissima","(Jacq.) Kunth","M. H. Nee",NA,NA,NA,"B. C. Bennett","1990","08","08","Ecuador","Napo",NA,"N side of Rio Napo, 30-45 minutes downriver from Ajuano, Huambuno","-77.5","-0.98",NA,NA,"NY01132942",NA,NA,"4456","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=165933' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA
